STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;MO_N;MO_TT;MO_TX;MO_TN;MO_FK;MX_TX;MX_FX;MX_TN;MO_SD_S;QN_6;MO_RR;MX_RS;eor
       2667;20181101;20181130;    3;  5.51;   7.31;   10.95;    3.51;    2.57;  19.2;  16.5;  -4.3;  74.23;    9;    25.0;    9.7;eor
       2667;20181201;20181231;    3;  6.49;   5.64;    8.47;    2.61;    2.68;  15.0;  18.9;  -4.9;  33.83;    9;   101.9;   15.7;eor
       2667;20190101;20190131;    3;  6.66;   2.41;    4.74;   -0.26;    2.84;   8.8;  22.8; -10.7;  38.18;    9;   101.8;   22.3;eor
       2667;20190201;20190228;    3;  4.79;   6.40;   12.00;    1.12;    2.54;  21.0;  18.7;  -3.5; 127.35;    9;    30.0;   12.3;eor
       2667;20190301;20190331;    3;  5.62;   7.99;   12.67;    2.99;    3.06;  20.4;  28.8;  -2.8;  98.52;    9;    74.7;   18.2;eor
       2667;20190401;20190430;    3;  4.56;  11.33;   17.31;    4.60;    2.53;  25.9;  19.5;  -2.3; 196.96;    9;    50.1;   21.4;eor
       2667;20190501;20190531;    3;  5.37;  11.78;   17.09;    6.07;    2.32;  24.3;  16.5;  -1.8; 165.43;    3;    71.2;   10.6;eor
       2667;20190601;20190630;    3;  3.85;  20.51;   27.11;   13.09;    2.40;  36.2;  26.1;   7.3; 309.70;    3;    38.5;    8.8;eor
       2667;20190701;20190731;    3;  4.95;  19.76;   26.38;   12.84;    2.23;  40.3;  14.6;   4.4; 218.75;    3;    32.9;   11.9;eor
       2667;20190801;20190831;    3;  4.35;  19.66;   26.42;   13.00;    2.26;  33.2;  17.7;   7.3; 228.92;    3;    83.0;   17.2;eor
       2667;20190901;20190930;    3;  5.15;  14.84;   20.62;    8.96;    2.33;  27.1;  19.0;   2.4; 142.72;    3;    40.0;    8.6;eor
       2667;20191001;20191031;    3;  5.95;  11.94;   15.80;    8.37;    2.55;  24.6;  18.0;  -2.9;  76.32;    3;   107.0;   17.5;eor
       2667;20191101;20191130;    3;  6.10;   6.20;    9.40;    2.62;    2.53;  16.0;  13.5;  -3.3;  44.32;    3;    78.5;   20.4;eor
       2667;20191201;20191231;    3;  5.88;   5.64;    8.42;    2.57;    2.65;  16.0;  19.2;  -4.2;  50.58;    3;    74.8;   11.5;eor
       2667;20200101;20200131;    1;  6.08;   5.34;    8.12;    2.01;    2.74;  15.9;  18.2;  -5.6;  44.68;    3;    41.6;   10.9;eor
       2667;20200201;20200229;    1;  6.32;   6.89;   10.15;    3.01;    3.48;  18.7;  26.4;  -2.6;  49.62;    3;   102.5;   17.1;eor
       2667;20200301;20200331;    1;  4.39;   7.47;   12.33;    2.53;    2.81;  18.3;  19.0;  -4.1; 180.38;    3;    86.1;   19.8;eor
       2667;20200401;20200430;    1;  2.53;  12.50;   19.74;    4.09;    2.40;  25.0;  16.1;  -4.8; 289.60;    1;    19.2;   12.6;eor
       2667;20200501;20200531;    1;  3.68;  13.54;   20.27;    5.19;    2.32;  28.5;  17.5;  -1.3; 292.22;    1;    12.5;    4.3;eor
