STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;MO_N;MO_TT;MO_TX;MO_TN;MO_FK;MX_TX;MX_FX;MX_TN;MO_SD_S;QN_6;MO_RR;MX_RS;eor
        430;20181101;20181130;    3;  5.81;   5.78;    8.40;    2.95;    2.30;  17.5;  15.3;  -5.3;  56.20;    9;    15.0;    6.9;eor
        430;20181201;20181231;    3;  7.18;   4.72;    6.74;    2.68;    2.84;  13.5;  18.5;  -1.4;  14.67;    9;    48.1;    8.4;eor
        430;20190101;20190131;    3;  6.60;   1.61;    3.75;   -0.78;    2.94;   8.3;  18.0;  -7.0;  47.60;    9;    40.6;    7.6;eor
        430;20190201;20190228;    3;  5.15;   4.81;    9.31;    0.26;    2.64;  16.4;  20.2;  -3.9; 112.50;    9;    21.4;   11.8;eor
        430;20190301;20190331;    3;  6.07;   7.12;   10.97;    3.05;    3.29;  18.5;  28.5;  -2.3;  81.22;    9;    62.1;   14.2;eor
        430;20190401;20190430;    3;  3.49;  11.45;   17.06;    5.48;    2.67;  25.7;  18.2;  -2.4; 259.37;    9;     8.2;    3.2;eor
        430;20190501;20190531;    3;  5.42;  13.00;   18.15;    7.34;    2.61;  25.7;  20.6;  -1.2; 193.18;    3;    39.0;   15.3;eor
        430;20190601;20190630;    3;  3.73;  22.82;   29.20;   15.87;    2.43;  38.6;  22.6;  11.7; 347.38;    3;    71.1;   45.0;eor
        430;20190701;20190731;    3;  4.78;  19.84;   25.20;   14.43;    2.52;  33.7;  18.0;   8.5; 215.02;    3;    98.5;   44.4;eor
        430;20190801;20190831;    3;  4.17;  21.18;   27.05;   15.29;    2.23;  33.5;  15.3;  11.3; 243.55;    3;    24.3;   14.0;eor
        430;20190901;20190930;    3;  4.90;  15.22;   20.16;    9.88;    2.57;  29.9;  23.0;   4.3; 171.63;    3;    56.0;   16.3;eor
        430;20191001;20191031;    3;  5.31;  11.56;   15.71;    7.23;    2.48;  24.0;  16.1;  -3.2; 123.15;    3;    47.0;   14.5;eor
        430;20191101;20191130;    3;  6.37;   6.64;    9.20;    3.69;    2.47;  16.3;  14.9;  -2.8;  42.00;    3;    41.1;    7.2;eor
        430;20191201;20191231;    3;  5.85;   4.56;    6.89;    1.60;    2.68;  12.3;  17.7;  -4.3;  51.82;    3;    27.2;    5.4;eor
        430;20200101;20200131;    1;  5.83;   4.45;    7.16;    1.21;    2.90;  13.7;  19.9;  -4.3;  66.03;    3;    32.0;    8.1;eor
        430;20200201;20200229;    1;  6.63;   6.06;    8.87;    3.16;    3.62;  16.1;  23.5;  -0.7;  48.08;    3;    74.9;   14.8;eor
        430;20200301;20200331;    1;  4.30;   5.87;   10.20;    1.18;    2.84;  17.2;  23.0;  -7.1; 170.02;    3;    28.9;    9.8;eor
        430;20200401;20200430;    1;  2.99;  11.08;   17.35;    4.13;    2.53;  24.1;  14.1;  -3.7; 301.61;    1;    14.4;   10.6;eor
        430;20200501;20200531;    1;  5.02;  12.77;   18.29;    6.40;    2.61;  24.5;  17.8;  -0.4; 230.11;    1;    23.7;    8.2;eor
