STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;MO_N;MO_TT;MO_TX;MO_TN;MO_FK;MX_TX;MX_FX;MX_TN;MO_SD_S;QN_6;MO_RR;MX_RS;eor
       1832;20181101;20181130;    3;  5.44;   2.82;    6.05;    0.06;    3.77;  16.0;  20.2;  -9.7; 148.67;    9;    22.9;   11.7;eor
       1832;20181201;20181231;    3;  7.57;  -2.83;   -0.70;   -4.70;    4.97;   4.6;  33.8; -11.4;  23.35;    9;   205.2;   52.8;eor
       1832;20190101;20190131;    3;  6.98;  -6.88;   -4.62;   -8.96;    5.35;  -0.6;  33.4; -12.8;  45.80;    9;   157.2;   40.1;eor
       1832;20190201;20190228;    3;  5.84;  -0.63;    2.34;   -3.41;    4.36;  11.1;  32.5; -10.5; 148.45;-999;-999;   19.7;eor
       1832;20190301;20190331;    3;  6.68;  -0.16;    2.52;   -2.76;    4.71;  11.4;  40.3;  -6.6; 123.23;-999;-999;-999;eor
       1832;20190401;20190429;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;eor
       1832;20190401;20190430;    3;  5.09;   3.72;    7.29;    0.42;    3.63;  15.8;  18.4;  -7.9;-999;-999;-999;-999;eor
       1832;20190501;20190531;    3;  6.77;   4.19;    7.39;    1.59;    3.58;  14.9;  23.7;  -5.5; 112.95;    3;   115.8;   19.3;eor
       1832;20190601;20190630;    3;  4.43;  15.47;   19.88;   11.09;    3.13;  27.2;  19.7;   5.6; 272.53;    3;    67.3;   25.4;eor
       1832;20190701;20190731;    3;  -999;  13.84;   18.01;   10.39;    3.10;  26.6;  21.0;   2.8; 228.72;    3;    69.8;   23.7;eor
       1832;20190801;20190831;    3;  6.17;  13.34;   17.24;   10.45;-999;  21.8;  26.9;   5.5; 177.70;    3;   198.0;   46.0;eor
       1832;20190901;20190930;    3;  6.09;   8.58;   11.82;    5.83;    3.70;  20.3;  32.5;  -0.2; 150.15;    3;   100.4;   21.5;eor
       1832;20191001;20191031;    3;  6.22;   7.03;   10.18;    4.11;-999;  21.2;  23.3;  -5.5; 161.23;    3;   171.6;   41.0;eor
       1832;20191101;20191130;    3;  6.85;   1.55;    3.94;   -0.68;    4.10;  11.3;  23.6;  -7.0;  88.03;    3;    76.4;   16.5;eor
       1832;20191201;20191231;    3;  6.60;  -0.77;    1.61;   -3.45;    4.77;   9.9;  33.5; -10.6;  72.55;    3;    61.5;   11.3;eor
       1832;20200101;20200131;    1;  5.57;  -0.64;    1.98;   -3.25;    4.52;   8.8;  31.5;  -7.6;  92.30;    3;    37.6;    7.2;eor
       1832;20200201;20200229;    1;  7.37;  -2.07;    0.71;   -4.46;    5.86;   8.9;  44.8;  -9.3;-999;    3;   134.0;   19.4;eor
       1832;20200301;20200331;    1;  -999;  -1.82;    1.14;   -4.52;    4.39;   9.7;  28.6; -12.8;-999;    3;    56.1;   18.5;eor
       1832;20200401;20200430;    1;  3.49;   5.27;    9.78;    1.23;    3.27;  16.3;  19.8;  -9.4; 282.23;    1;    38.5;   19.8;eor
       1832;20200501;20200531;    1;  6.14;   5.47;    9.93;    1.87;    3.55;  18.6;  22.2;  -6.3; 165.43;    1;   104.0;   24.1;eor
