GENESIS-Tabelle: 46321-0002
Beförderte Güter, Beförderungsleistung (Binnenschifffahrt):;;;;;;;;;
Deutschland, Monate, Hauptverkehrsbeziehungen;;;;;;;;;
Güterverkehrsstatistik der Binnenschifffahrt;;;;;;;;;
Deutschland;;;;;;;;;
;;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen
;;Verkehr innerhalb Deutschlands;Verkehr innerhalb Deutschlands;Grenzüberschreitender Versand;Grenzüberschreitender Versand;Grenzüberschreitender Empfang;Grenzüberschreitender Empfang;Durchgangsverkehr;Durchgangsverkehr
;;Beförderte Güter;Beförderungsleistung;Beförderte Güter;Beförderungsleistung;Beförderte Güter;Beförderungsleistung;Beförderte Güter;Beförderungsleistung
;;t;Mill. Tkm;t;Mill. Tkm;t;Mill. Tkm;t;Mill. Tkm
1998;April;5318404;1166;3766752;1028;9725262;2321;1756444;1109
1998;Mai;5039312;1132;3660782;933;9093104;2162;2093738;1330
1998;Juni;5253034;1149;3773216;942;9419114;2207;1628550;1050
1998;Juli;5587530;1247;3647715;963;9651760;2356;1945135;1211
1998;August;5178231;1182;3206297;858;8382168;1938;1468358;901
1998;September;5660497;1273;3864313;993;9022781;2101;1612335;1007
1998;Oktober;5775756;1296;3887253;977;8980350;2047;1806138;1125
1998;November;5343879;1184;3290893;882;8675646;1999;1492016;939
1998;Dezember;5112541;1138;2879750;758;8606006;2038;1700407;1071
1999;Januar;4478232;1073;3078598;757;8022002;1941;1814139;1136
1999;Februar;4478064;1034;2892465;697;7350956;1669;1568170;999
1999;März;5792376;1285;3946009;1037;10094609;2479;1683282;1034
1999;April;5048221;1158;3626242;927;8686042;2052;1905584;1180
1999;Mai;4448996;984;3199112;761;8020060;1828;1376702;900
1999;Juni;5394688;1167;4075736;1020;8356662;1919;2224522;1426
1999;Juli;5523590;1236;3984864;1094;8211244;1928;1961393;1225
1999;August;5538082;1290;3778441;1078;7953849;1906;1963255;1259
1999;September;5557757;1174;4043488;1033;7972817;1883;1682981;1074
1999;Oktober;5596472;1189;4187046;1087;8746830;2041;1683258;1066
1999;November;5730808;1286;4163973;1126;8773443;2158;1686219;1093
1999;Dezember;5127963;1095;3726910;1005;8320066;1836;1565517;1032
2000;Januar;4355248;1041;3707894;980;8488569;1939;1663462;1065
2000;Februar;5100047;1194;4110049;1061;8409105;1994;1757106;1097
2000;März;5379157;1228;4620588;1266;8793247;2119;1868528;1140
2000;April;4845225;1086;3822151;1038;8992261;2113;2018019;1267
2000;Mai;5480178;1253;4391803;1175;9583712;2264;2000148;1269
2000;Juni;5027132;1093;3832685;1024;8749793;2003;2203877;1403
2000;Juli;5157052;1132;3761677;996;9399880;2164;1971895;1266
2000;August;5342597;1169;4024351;1126;9910905;2238;1993474;1262
2000;September;5043891;1063;4223041;1080;9195992;2197;1898658;1211
2000;Oktober;5314888;1088;4384330;1127;9594118;2212;2127653;1363
2000;November;5228232;1078;4395511;1161;9544922;2223;1946229;1242
2000;Dezember;4589263;926;3465228;895;8685962;1974;1819942;1159
2001;Januar;4410230;953;3865112;1029;9349831;2083;2063624;1294
2001;Februar;4258630;905;3822372;960;8387548;1956;2015970;1265
2001;März;4529020;923;3849606;927;8656915;1816;1943999;1230
2001;April;4832699;1050;4098219;1069;9244586;2116;2160415;1344
2001;Mai;5177495;1019;4549187;1209;9406146;2286;2275665;1421
2001;Juni;4799126;946;4310387;1078;7923280;1828;2152545;1387
2001;Juli;4873887;1016;3955779;1058;9075683;2243;2236501;1422
2001;August;5225828;1110;4135529;1126;9128778;2227;1906064;1228
2001;September;4700902;940;4229413;1093;8427419;1993;2002229;1274
2001;Oktober;4989011;995;4476072;1148;9323119;2160;2049247;1295
2001;November;4955690;1033;4352363;1153;8783332;2071;2004130;1326
2001;Dezember;4263293;881;3360468;903;7664663;1740;1886184;1283
2002;Januar;3970038;783;3699201;902;7673576;1681;1614832;974
2002;Februar;4109736;859;3852069;1025;7922339;1814;2116537;1354
2002;März;4457534;940;4230631;1098;8299470;1864;1883215;1193
2002;April;4979739;1046;4527264;1166;8775531;2063;2337196;1535
2002;Mai;4882329;984;4269117;1093;8756456;2037;2428676;1534
2002;Juni;4598525;979;4135594;1035;8501228;1950;2027547;1306
2002;Juli;4707326;1000;3870231;1011;9141950;2151;2385160;1528
2002;August;4739028;1007;4022246;1077;8816200;2033;2087952;1353
2002;September;5090401;1080;4240306;1086;8387495;2031;2057607;1347
2002;Oktober;5297215;1116;4766459;1260;9223134;2267;2173065;1399
2002;November;4887089;1009;4142657;1070;8271156;1915;1956542;1280
2002;Dezember;4124434;867;3322000;879;8065415;1873;1906930;1306
2003;Januar;3693738;724;3748133;942;7810907;1800;1922055;1210
2003;Februar;4297428;895;4059628;1077;8151342;1930;1948931;1269
2003;März;4772201;1045;4364364;1143;9150124;2161;2170671;1363
2003;April;4771261;999;4206976;1081;8616663;2029;2121390;1346
2003;Mai;4831125;1035;4393679;1200;9574419;2243;2337604;1483
2003;Juni;4372044;943;3894299;1001;8730501;2098;1911206;1249
2003;Juli;4855055;1003;3745110;950;8179162;1773;2107623;1334
2003;August;4222695;803;3207525;795;7087562;1506;1380152;855
2003;September;4055281;768;3335872;777;6905934;1376;1115468;709
2003;Oktober;4791172;915;3921347;963;8606124;1724;1594589;959
2003;November;4629443;928;3799457;925;7970438;1742;1508793;981
