GENESIS-Tabelle: 46131-0004
Beförderte Güter, Beförderungsleistung;;;;;;;;;;;
(Eisenbahngüterverkehr): Deutschland, Monate,;;;;;;;;;;;
Hauptverkehrsbeziehungen;;;;;;;;;;;
Güterverkehrsstatistik der Eisenbahn;;;;;;;;;;;
Deutschland;;;;;;;;;;;
;;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen
;;Verkehr innerhalb Deutschlands;Verkehr innerhalb Deutschlands;Grenzüberschreitender Versand;Grenzüberschreitender Versand;Grenzüberschreitender Empfang;Grenzüberschreitender Empfang;Durchgangsverkehr;Durchgangsverkehr;Insgesamt;Insgesamt
;;Beförderte Güter;Beförderungsleistung;Beförderte Güter;Beförderungsleistung;Beförderte Güter;Beförderungsleistung;Beförderte Güter;Beförderungsleistung;Beförderte Güter;Beförderungsleistung
;;t;tkm;t;tkm;t;tkm;t;tkm;t;tkm
2009;April;15244274;3693002725;3259226;1471240947;3387277;1435658010;1161769;757536472;23052546;7357438154
2009;Mai;15829190;3797418021;3288067;1474649619;3226516;1384065620;1287577;832974377;23631350;7489107637
2009;Juni;17191717;4064807402;3747600;1689775684;3550473;1488660390;1391320;916138844;25881110;8159382320
2009;Juli;18004488;4248218562;3395462;1542293952;3379640;1397871074;1324617;836680100;26104207;8025063688
2009;August;17849058;4023271224;2967163;1299927937;2709350;1082294193;928436;597931310;24454007;7003424664
2009;September;19531793;4517149125;3825736;1700388488;3884232;1592234120;1288837;854744938;28530598;8664516671
2009;Oktober;20415281;4647397315;4167780;1905579676;4189399;1710128053;1403339;962344653;30175799;9225449697
2009;November;19876310;4481918050;3951767;1779101766;4301202;1727284127;1487080;1013159403;29616359;9001463346
2009;Dezember;17550961;3858045679;3113302;1415876992;3810730;1528251506;1193966;801261388;25668959;7603435565
2010;Januar;16934304;3605617030;3072524;1443107861;3963424;1603929681;1083486;752237495;25053738;7404892067
2010;Februar;18117420;3979271465;3416066;1559747940;4183009;1699623228;1179185;821473251;26895680;8060115884
2010;März;20585286;4622461063;4058914;1856929087;5040411;2005345683;1706876;1149557964;31391487;9634293797
2010;April;20031686;4408881138;3601493;1691085105;4183855;1682567759;1360638;917166638;29177672;8699700640
2010;Mai;19844408;4438824445;3697999;1718619774;4477402;1808981244;1418483;931212989;29438292;8897638452
2010;Juni;21305500;4906089820;4212753;1920507135;4837230;1889073304;1616377;1083056377;31971860;9798726636
2010;Juli;20174958;4598895742;3784514;1731777009;3965179;1601894476;1382712;960212735;29307363;8892779962
2010;August;20720048;4682346756;3718434;1673048082;4018911;1623683582;1150867;775295287;29608260;8754373707
2010;September;21623375;5039789143;4074985;1868814855;4259558;1712991237;1432474;972542132;31390392;9594137367
2010;Oktober;22249384;5079570728;4109154;1871381200;4396923;1799995010;1443998;992259508;32199459;9743206446
2010;November;22222551;5037681009;4146279;1913361126;4786911;1923710532;1374665;915616623;32530406;9790369290
2010;Dezember;18263603;4129775673;3223389;1445262522;3976293;1598874278;1286818;872811672;26750103;8046724145
2011;Januar;19692419;4112428867;3184784;1463222408;4215076;1712488367;1140931;788458846;28233210;8076598488
2011;Februar;19981994;4508455708;3529190;1668294401;4477136;1818801021;1356043;926294937;29344363;8921846067
2011;März;23370871;5288763772;4282181;1966895018;5470690;2302927996;1471091;992972639;34594833;10551559425
2011;April;21244918;4766048473;3818501;1739031014;4722596;1951243332;1237931;845132286;31023946;9301455105
2011;Mai;22884078;5428290583;4458691;2020269939;5274119;2191014600;1439270;1019247319;34056158;10658822441
2011;Juni;20675296;4829576952;4010384;1811575807;4812419;1915146625;1257862;876514765;30755961;9432814149
2011;Juli;21416285;5183578719;4210918;1863069341;4779892;1922650408;1308481;903424659;31715576;9872723127
2011;August;21570386;4970166922;3751270;1628363479;4590130;1816977786;1157653;752490414;31069439;9167998601
2011;September;22282064;5098556033;4001107;1801139408;4655315;1885650958;1248150;867754393;32186636;9653100792
2011;Oktober;21621435;4963389732;3726667;1674381100;4483319;1791199888;1197838;836093369;31029259;9265064089
2011;November;22433982;5147601850;3979326;1797824156;4730304;1965953347;1200557;832553836;32344169;9743933189
2011;Dezember;19991121;4584567555;3382155;1502637150;4251235;1730597467;1015509;696061805;28640020;8513863977
2012;Januar;19328074;4244445594;3437991;1590668132;4244579;1787367592;952700;661791413;27963344;8284272731
2012;Februar;20275941;4643734569;3681938;1675335838;4253602;1745011017;1170721;780456711;29382202;8844538135
2012;März;21988825;4941110524;4071871;1877983282;4960282;2034446562;1361641;913798582;32382619;9767338950
2012;April;20473687;4595327085;3726940;1690940546;4849201;1940968289;1346865;901418704;30396693;9128654624
2012;Mai;20705083;4782276052;3844470;1753959606;4855279;1986433629;1361674;915372301;30766506;9438041588
2012;Juni;20957550;4863190366;3914785;1730530954;4997919;1968411638;1223910;815255526;31094164;9377388484
2012;Juli;20738673;4928068648;4179538;1776115876;5264052;2045221220;1291029;860262022;31473292;9609667766
2012;August;20797291;4748512585;3431074;1479084153;4520374;1769247959;1006661;664011358;29755400;8660856055
2012;September;20507546;4713870614;3767982;1670444449;4434475;1754782619;1164032;785278678;29874035;8924376360
2012;Oktober;22318374;5137959820;4035783;1845520480;5323683;2150272125;1807686;1179693951;33485526;10313446376
2012;November;21457218;4878437749;3932235;1815725906;5031579;2018729413;1717424;1100392731;32138456;9813285799
2012;Dezember;17568522;3848600595;3261168;1404108486;5490484;1958593095;1107833;691630525;27428007;7902932701
2013;Januar;19671589;4415293166;3495279;1527146423;4771272;1801809477;998619;637411053;28936759;8381660119
2013;Februar;19172358;4440937438;3534107;1514352479;5129540;1895384382;1125766;735992411;28961771;8586666710
2013;März;20179441;4591105901;3579711;1586781830;5229373;1982091479;1279244;847951913;30267769;9007931123
2013;April;21049762;4815907396;3740695;1663724798;5217392;1988155098;1167775;764115940;31175624;9231903232
2013;Mai;20442462;4760090421;3843964;1677611126;5419933;2012735205;1257967;858832851;30964326;9309269603
2013;Juni;20287928;4781084920;3898163;1657778251;5068802;1858703593;1548944;1002760999;30803837;9300327763
2013;Juli;21208581;4951347125;4089829;1770218533;5648169;2193784355;1643754;1053557916;32590333;9968907929
2013;August;20317268;4806038780;3657628;1593001548;4720676;1789218365;1282715;826197188;29978287;9014455881
2013;September;20134156;4876103783;3652530;1618551631;5112068;1928823097;1531010;988687501;30429764;9412166012
2013;Oktober;22153815;5181582282;4210853;1839113248;5923329;2241086560;1610814;1056621621;33898811;10318403711
2013;November;22123799;5119532159;4024208;1767407433;5354328;2036863675;1457273;958707953;32959608;9882511220
2013;Dezember;18711100;4324345127;3068258;1348570814;4673983;1790521877;1213674;776868695;27667015;8240306513
2014;Januar;19753736;4450638356;3542491;1601312699;5231776;1974533409;1383980;898322250;29911983;8924806714
2014;Februar;18868752;4377344788;3795025;1681229269;5388610;2024235897;1460454;948394994;29512841;9031204948
2014;März;20928328;4824246945;4191520;1823920946;5758248;2180185482;1741474;1129352561;32619570;9957705934
2014;April;20496878;4849852887;4003805;1730287315;5562090;2143629384;1574915;1020321124;31637688;9744090710
2014;Mai;20358387;4886680427;4007375;1767251383;5574875;2139311114;1703813;1096808911;31644450;9890051835
2014;Juni;18362959;4449060198;3751532;1665241434;4831302;1819300606;1543118;992711637;28488911;8926313875
2014;Juli;20993204;5143680449;4178955;1828698401;5584266;2116081149;1710585;1105936681;32467010;10194396680
2014;August;19333137;4573058879;3563796;1595277466;4504193;1767814581;1350136;869380044;28751262;8805530970
2014;September;20539914;5032997266;4058734;1825483886;5104722;2012788088;1629547;1062436920;31332917;9933706160
