GENESIS-Tabelle: 46100-0005
Unternehmen, Beförderte Personen, Personenkilometer;;;;;;;;;;;;;
(Personenverkehr mit Bussen und Bahnen): Deutschland,;;;;;;;;;;;;;
Quartale, Verkehrsart;;;;;;;;;;;;;
Personenverkehr mit Bussen und Bahnen;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;
;;1. Quartal;1. Quartal;1. Quartal;2. Quartal;2. Quartal;2. Quartal;3. Quartal;3. Quartal;3. Quartal;4. Quartal;4. Quartal;4. Quartal
;;Unternehmen;Beförderte Personen;Personenkilometer;Unternehmen;Beförderte Personen;Personenkilometer;Unternehmen;Beförderte Personen;Personenkilometer;Unternehmen;Beförderte Personen;Personenkilometer
;;Anzahl;1000;1000;Anzahl;1000;1000;Anzahl;1000;1000;Anzahl;1000;1000
2012;Liniennahverkehr insgesamt;905;2782269;26243145;905;2680688;25441203;901;2569199;24815374;900;2821392;27045194
2012;Liniennahverkehr mit Eisenbahnen;55;613366;12751399;55;588199;12451153;55;592050;12740521;55;618792;13468947
2012;Liniennahverkehr mit Straßenbahnen;60;953321;4185020;60;921327;4059406;60;902491;3981310;60;986387;4329830
2012;Liniennahverkehr mit Omnibussen;853;1385153;9306726;853;1331135;8930644;849;1232874;8093542;848;1392712;9246417
2012;Linienfernverkehr mit Omnibussen;23;500;193296;24;628;258636;23;700;304481;26;646;249879
2012;Linienfernverkehr mit Eisenbahnen;2;30355;8306807;2;32910;9392879;2;34062;10210338;2;34068;9437232
2013;Liniennahverkehr insgesamt;890;2789515;26194086;889;2710674;25970834;885;2586581;25199874;884;2829407;27334414
2013;Liniennahverkehr mit Eisenbahnen;53;619327;12797295;53;599838;12799245;53;604761;13160029;53;645359;13821815
2013;Liniennahverkehr mit Straßenbahnen;60;960891;4223620;60;936809;4154586;60;905120;3990128;60;977323;4294882
2013;Liniennahverkehr mit Omnibussen;840;1380084;9173171;839;1341029;9017002;835;1235320;8049717;834;1380888;9217717
2013;Linienfernverkehr mit Omnibussen;.;.;.;.;.;.;.;.;.;.;.;.
2013;Linienfernverkehr mit Eisenbahnen;4;30700;8478608;5;31915;9296626;5;33545;9872724;4;35266;9177396
2014;Liniennahverkehr insgesamt;872;2796293;26487833;874;2737299;26188693;873;2606910;25483612;868;2838624;27222627
2014;Liniennahverkehr mit Eisenbahnen;51;627330;13106784;52;618178;13032759;53;627706;13462217;53;648263;13698649
2014;Liniennahverkehr mit Straßenbahnen;59;978336;4280564;59;958574;4201349;59;921421;4048317;59;991427;4330434
2014;Liniennahverkehr mit Omnibussen;824;1365830;9100485;826;1326151;8954585;824;1215598;7973078;819;1372499;9193544
2014;Linienfernverkehr mit Omnibussen;.;.;.;.;.;.;.;.;.;.;.;.
2014;Linienfernverkehr mit Eisenbahnen;4;29758;8074213;5;32533;9190374;5;33764;9980932;4;32956;8853440
2015;Liniennahverkehr insgesamt;858;2800247;26247821;855;2729069;25851823;855;2603831;25158696;854;2853852;27044894
2015;Liniennahverkehr mit Eisenbahnen;51;626495;12932524;51;611426;12874183;51;621632;13245873;51;658932;13721238
2015;Liniennahverkehr mit Straßenbahnen;59;983033;4218164;59;970399;4168387;59;930241;4021179;59;1003006;4296193
2015;Liniennahverkehr mit Omnibussen;810;1361461;9097133;807;1319236;8809254;807;1214702;7891643;806;1367307;9027462
2015;Linienfernverkehr mit Omnibussen;.;.;.;.;.;.;.;.;.;.;.;.
2015;Linienfernverkehr mit Eisenbahnen;2;29848;8193812;2;30298;8812952;2;34746;10200631;2;36558;9653645
