date,M_TomTomAverageCityCongestion,M_TomTomAverageDiffRatio_20_To_29
2019-12,18.18,-0.4591118871033379
2020-01,26.954838709677414,-0.09663929343669343
2020-02,27.853793103448275,-0.04174760997332206
2020-03,20.891612903225806,-0.28178964166788373
2020-04,16.24,-0.4397532199662534
2020-05,21.449032258064516,-0.23679212986317066
2020-06,25.775652173913045,-0.12210435997318068
