year,month,ValMobilityReport
2020.0,1,5.442631370142887
2020.0,2,11.485517304519128
2020.0,3,-26.578386860509074
2020.0,4,-38.9086669921875
2020.0,5,-8.032413877289871
2020.0,6,17.31999969482422
2020.0,7,
2020.0,8,
2020.0,9,
2020.0,10,
2020.0,11,
2020.0,12,
