;;;;;Januar;Januar;Januar;Februar;Februar;Februar;März;März;März;April;April;April;Mai;Mai;Mai;Juni;Juni;Juni;Juli;Juli;Juli;August;August;August;September;September;September;Oktober;Oktober;Oktober;November;November;November;Dezember;Dezember;Dezember
;;;;;Luftfahrtbewegungen;Passagiere an Bord;Fracht und Post an Bord;Luftfahrtbewegungen;Passagiere an Bord;Fracht und Post an Bord;Luftfahrtbewegungen;Passagiere an Bord;Fracht und Post an Bord;Luftfahrtbewegungen;Passagiere an Bord;Fracht und Post an Bord;Luftfahrtbewegungen;Passagiere an Bord;Fracht und Post an Bord;Luftfahrtbewegungen;Passagiere an Bord;Fracht und Post an Bord;Luftfahrtbewegungen;Passagiere an Bord;Fracht und Post an Bord;Luftfahrtbewegungen;Passagiere an Bord;Fracht und Post an Bord;Luftfahrtbewegungen;Passagiere an Bord;Fracht und Post an Bord;Luftfahrtbewegungen;Passagiere an Bord;Fracht und Post an Bord;Luftfahrtbewegungen;Passagiere an Bord;Fracht und Post an Bord;Luftfahrtbewegungen;Passagiere an Bord;Fracht und Post an Bord
;;;;;Anzahl;Anzahl;t;Anzahl;Anzahl;t;Anzahl;Anzahl;t;Anzahl;Anzahl;t;Anzahl;Anzahl;t;Anzahl;Anzahl;t;Anzahl;Anzahl;t;Anzahl;Anzahl;t;Anzahl;Anzahl;t;Anzahl;Anzahl;t;Anzahl;Anzahl;t;Anzahl;Anzahl;t
2011;F-FRA;Frankfurt/Main;Landung;Flugzeuge über 75 bis 175 t Startgewicht;3468;417937;4045;3584;404109;4601;4232;516175;5371;4082;548221;4651;4570;625036;4385;4474;634705;4804;4471;671904;4649;4427;668192;4037;4764;729567;4680;4673;709641;4667;4143;560993;3905;3815;488389;3899
2011;F-FRA;Frankfurt/Main;Landung;Flugzeuge über 175 t Startgewicht;4292;799183;75321;3921;654989;71615;4404;820341;87733;4386;820419;82910;4580;899050;81781;4451;898382;78777;4749;958247;79907;4703;994800;74339;4609;937866;77216;4729;865645;81146;4354;777960;78281;4318;780103;73220
2011;F-FRA;Frankfurt/Main;Landung;Insgesamt;18401;1978074;81120;17771;1765843;78004;20172;2174293;95156;19903;2318213;89402;21280;2530313;88100;20184;2515848;85372;21055;2731035;86473;20896;2679556;79973;20904;2688062;83627;21004;2582313;87763;19764;2188729;84154;18954;2089237;79286
2011;;Insgesamt;Start;Flugzeuge bis 2 t Startgewicht;1951;261;-;2346;205;-;3723;573;-;3886;1034;-;3985;1396;-;3858;1472;-;4283;1554;-;4611;1625;-;5831;2161;0;4819;1126;-;2715;332;-;1602;138;-
2011;;Insgesamt;Start;Flugzeuge über 2 bis 5,7 t Startgewicht;1613;1319;13;1651;1378;25;2142;1749;29;2099;1895;8;2430;2457;29;2069;2495;7;2252;2529;11;2233;2456;17;2448;2698;13;2188;2073;12;2193;1797;9;1467;1448;6
2011;;Insgesamt;Start;Flugzeuge über 5,7 bis 14 t Startgewicht;1637;10757;108;1857;12234;119;2067;14721;240;1842;13777;168;2269;17134;196;1884;13323;188;1826;12230;188;1745;11966;206;2122;16226;212;1913;13461;209;2055;13419;244;1640;8911;185
2011;;Insgesamt;Start;Flugzeuge über 14 bis 20 t Startgewicht;914;13311;107;884;14023;144;1174;20539;99;990;18728;67;1160;22907;104;1148;24358;70;1102;24779;62;982;19941;78;1198;25910;67;1146;24101;74;1091;20645;97;935;18358;32
2011;;Insgesamt;Start;Flugzeuge über 20 bis 25 t Startgewicht;3515;88306;1649;3394;89735;1615;3612;104129;1701;3182;95075;1466;3319;102993;1533;3043;95952;1476;3085;96902;1414;2755;78931;1330;2878;88985;1543;2798;80018;1409;2730;76501;1459;2417;65032;1526
2011;;Insgesamt;Start;Flugzeuge über 25 bis 75 t Startgewicht;47409;3465682;7167;46563;3471313;6686;53162;4209981;8523;52974;4572489;7418;58979;5175719;7507;55660;5041563;7110;57501;5467101;7110;56436;5172573;6846;57857;5241959;6834;57255;5017047;6671;51410;4125172;6917;47856;3966358;6800
2011;;Insgesamt;Start;Flugzeuge über 75 bis 175 t Startgewicht;14897;1627087;30484;14835;1717416;30095;17560;2178669;36970;17019;2291700;33147;19156;2582564;35213;18935;2706050;34519;19473;2971033;34430;18843;2709962;30611;20295;2890906;35375;19986;2765961;34408;16480;1980594;34150;14318;1750040;34344
2011;;Insgesamt;Start;Flugzeuge über 175 t Startgewicht;7130;1110352;136635;6523;997306;141734;7437;1105285;167463;7399;1157606;154040;7840;1210919;161252;7578;1278779;149104;7973;1576706;159830;7938;1459520;146442;7754;1346859;149389;7983;1418231;159250;7359;1121532;153921;7345;1189965;151360
2011;;Insgesamt;Start;Insgesamt;79066;6317075;176163;78053;6303610;180418;90877;7635646;215025;89391;8152304;196314;99138;9116089;205834;94175;9163992;192474;97495;10152834;203045;95543;9456974;185530;100383;9615704;193433;98088;9322018;202033;86033;7339992;196797;77580;7000250;194253
2011;;Insgesamt;Landung;Flugzeuge bis 2 t Startgewicht;1934;287;-;2305;206;-;3680;539;-;3874;931;-;3966;1249;0;3816;1229;-;4280;1308;0;4626;1323;-;5851;2074;-;4833;1046;-;2731;318;-;1603;136;0
2011;;Insgesamt;Landung;Flugzeuge über 2 bis 5,7 t Startgewicht;1591;1356;4;1620;1304;5;2097;1654;6;2068;1680;4;2457;2404;6;2064;2187;6;2252;2124;11;2249;2022;5;2437;2345;8;2184;2010;3;2193;1703;8;1464;1330;8
2011;;Insgesamt;Landung;Flugzeuge über 5,7 bis 14 t Startgewicht;1660;10784;75;1852;12152;47;2048;14936;117;1857;13795;98;2271;17400;96;1872;13552;97;1871;12231;108;1783;12170;89;2230;16815;154;1944;13804;123;2076;13669;124;1612;8877;119
2011;;Insgesamt;Landung;Flugzeuge über 14 bis 20 t Startgewicht;909;12967;103;904;13678;120;1194;20004;109;993;18220;72;1170;22464;105;1156;24080;80;1114;23325;80;1009;20147;119;1216;26272;116;1171;24337;123;1110;20952;123;967;17301;84
2011;;Insgesamt;Landung;Flugzeuge über 20 bis 25 t Startgewicht;3475;90868;1283;3381;89694;1222;3569;102034;1229;3145;92652;1015;3313;103057;1160;3016;95324;1119;3069;96920;1103;2735;80097;1036;2873;89655;1199;2776;83610;1134;2723;78384;1172;2491;65671;1110
2011;;Insgesamt;Landung;Flugzeuge über 25 bis 75 t Startgewicht;47372;3540374;5046;46560;3472182;5137;53142;4171312;6260;52915;4513263;5205;58968;5104154;5354;55658;5023302;5088;57474;5318243;5351;56437;5187056;5062;57880;5422698;4866;57321;5252266;4772;51496;4311070;4923;47891;3983349;5359
2011;;Insgesamt;Landung;Flugzeuge über 75 bis 175 t Startgewicht;14873;1727437;25982;14821;1676769;27655;17547;2140832;32501;16960;2181924;28785;19164;2470690;30238;18899;2598458;29704;19443;2733542;30185;18828;2813632;26929;20307;3031592;31408;20025;2985813;30946;16561;2193457;30761;14339;1739536;30129
2011;;Insgesamt;Landung;Flugzeuge über 175 t Startgewicht;7043;1139869;126703;6504;958303;119678;7393;1209548;150589;7362;1212008;143842;7842;1323809;145470;7541;1320295;135983;7976;1402556;138187;7899;1452493;130595;7752;1390126;135825;7959;1285627;141288;7357;1134066;138812;7397;1122314;131425
2011;;Insgesamt;Landung;Insgesamt;78857;6523942;159196;77947;6224288;153864;90670;7660859;190811;89174;8034473;179021;99151;9045227;182429;94022;9078427;172077;97479;9590249;175025;95566;9568940;163835;100546;9981577;173576;98213;9648513;178389;86247;7753619;175923;77764;6938514;168234
2012;F-FRA;Frankfurt/Main;Start;Flugzeuge bis 2 t Startgewicht;-;-;-;-;-;-;-;-;-;2;2;-;1;1;-;1;-;-;1;-;-;1;2;-;5;8;-;1;-;-;-;-;-;1;1;-
2012;F-FRA;Frankfurt/Main;Start;Flugzeuge über 2 bis 5,7 t Startgewicht;30;61;3;30;53;2;47;65;1;43;62;1;35;58;3;49;85;1;41;52;6;31;45;6;44;68;2;45;87;-;51;78;-;40;57;-
2012;F-FRA;Frankfurt/Main;Start;Flugzeuge über 5,7 bis 14 t Startgewicht;131;245;59;120;139;76;149;208;80;100;198;61;118;159;62;121;174;64;125;189;77;99;154;80;128;184;73;124;190;75;130;195;72;86;152;52
2012;F-FRA;Frankfurt/Main;Start;Flugzeuge über 14 bis 20 t Startgewicht;26;357;0;43;611;1;36;580;3;34;545;1;39;604;1;60;1204;1;43;629;0;44;832;1;42;849;1;39;669;0;13;30;-;16;139;0
2012;F-FRA;Frankfurt/Main;Start;Flugzeuge über 20 bis 25 t Startgewicht;278;7186;137;277;8077;131;273;8005;136;234;6699;110;262;8232;131;220;6842;124;192;5245;124;227;6051;149;204;6137;124;191;4804;135;244;5753;140;219;5874;86
2012;F-FRA;Frankfurt/Main;Start;Flugzeuge über 25 bis 75 t Startgewicht;10358;759478;2654;9175;677919;2400;10840;862464;2686;10600;894325;2536;11216;973526;2519;11096;983587;2420;11319;1049382;2236;11115;997653;2288;11028;980755;2320;11385;928316;2521;10447;807854;2585;9341;759843;2532
2012;F-FRA;Frankfurt/Main;Start;Flugzeuge über 75 bis 175 t Startgewicht;3575;432433;4204;3367;417163;4163;4209;559253;5332;4413;642104;4762;4948;731465;5237;4946;748383;5287;4872;801193;5126;4849;729163;4872;4823;720356;5026;4861;694872;4976;3756;472792;5286;3230;430878;4767
2012;F-FRA;Frankfurt/Main;Start;Flugzeuge über 175 t Startgewicht;4244;784899;70981;3967;703918;81407;4409;822850;89575;4417;792446;82943;4611;833280;85380;4560;895838;89936;4767;1087123;92000;4735;1005625;85631;4541;922162;88474;4512;951922;89690;4185;766630;91931;3999;811596;84513
2012;F-FRA;Frankfurt/Main;Start;Insgesamt;18642;1984659;78038;16979;1807880;88180;19963;2253425;97813;19843;2336381;90414;21230;2547325;93333;21053;2636113;97833;21360;2943813;99569;21101;2739525;93027;20815;2630519;96020;21158;2580860;97397;18826;2053332;100014;16932;2008540;91950
2012;F-FRA;Frankfurt/Main;Landung;Flugzeuge bis 2 t Startgewicht;-;-;-;-;-;-;-;-;-;2;4;-;1;-;-;2;2;-;1;-;-;1;2;-;5;10;-;-;-;-;1;2;-;1;-;-
2012;F-FRA;Frankfurt/Main;Landung;Flugzeuge über 2 bis 5,7 t Startgewicht;26;46;-;27;53;-;52;85;-;39;69;-;30;60;-;36;83;-;35;72;-;28;58;-;41;75;-;51;91;-;46;83;-;37;58;-
2012;F-FRA;Frankfurt/Main;Landung;Flugzeuge über 5,7 bis 14 t Startgewicht;115;261;20;92;116;19;129;178;15;79;173;15;123;206;20;117;202;18;121;236;15;94;171;14;125;242;17;135;267;17;115;185;18;78;130;15
2012;F-FRA;Frankfurt/Main;Landung;Flugzeuge über 14 bis 20 t Startgewicht;29;441;0;41;634;1;41;650;1;35;592;0;40;532;2;60;1241;0;42;651;0;47;966;0;46;857;0;38;735;0;18;69;-;17;110;0
