GENESIS-Tabelle: 46421-0009
Starts, Landungen (Flight Stage): Deutschland, Monate,;;;;;;;;;;;;;;;;;;;;;;;;;;
Berichtsflughafen;;;;;;;;;;;;;;;;;;;;;;;;;;
Verkehrsleistungsstatistik im Luftverkehr;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Januar;Januar;Februar;Februar;März;März;April;April;Mai;Mai;Juni;Juni;Juli;Juli;August;August;September;September;Oktober;Oktober;November;November;Dezember;Dezember
;;;Starts;Landungen;Starts;Landungen;Starts;Landungen;Starts;Landungen;Starts;Landungen;Starts;Landungen;Starts;Landungen;Starts;Landungen;Starts;Landungen;Starts;Landungen;Starts;Landungen;Starts;Landungen
;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
2012;F-DUS;Düsseldorf;7407;7442;7641;7628;8975;8967;8464;8469;9775;9769;9726;9687;10097;10054;9394;9428;9729;9706;9714;9764;8244;8239;6966;6944
2012;F-ERF;Erfurt;328;325;343;348;466;470;409;404;381;376;858;831;288;280;523;523;462;461;352;344;283;286;299;297
2012;F-FRA;Frankfurt/Main;18642;18534;16979;16931;19963;19918;19843;19810;21230;21204;21053;21010;21360;21336;21101;21091;20815;20773;21158;21163;18826;18781;16932;16999
2012;F-FDH;Friedrichshafen;443;446;382;385;479;477;425;423;500;496;494;493;499;503;475;474;531;530;516;520;420;421;381;383
2012;F-HHN;Hahn;876;877;819;801;940;933;1165;1166;1183;1182;1169;1164;1205;1204;1205;1210;1159;1159;1135;1138;831;837;743;737
2012;F-HAM;Hamburg;4952;4963;5029;4999;5791;5785;5695;5649;6262;6252;6360;6304;6132;6096;6123;6099;6186;6142;6240;6234;5362;5348;4564;4536
2012;F-HAJ;Hannover;2212;2224;2183;2224;2929;2935;2958;2962;3396;3404;3526;3527;3701;3716;3613;3620;3520;3529;3271;3285;2566;2612;2267;2262
2012;F-FKB;Karlsruhe;931;924;865;867;1307;1300;1063;1072;1093;1089;1026;1023;1255;1252;1180;1176;1088;1075;1130;1146;724;735;580;571
2012;F-CGN;Köln/Bonn;3977;4013;3932;3966;4603;4604;4544;4572;5174;5221;5184;5213;5338;5361;5225;5281;5197;5237;5277;5320;4049;4110;3559;3601
2012;F-LEJ;Leipzig/Halle;2239;2212;2190;2189;2426;2451;2279;2258;2650;2625;2620;2624;2621;2603;2599;2595;2609;2618;2646;2632;2343;2350;2065;2076
2012;F-LBC;Lübeck;204;204;222;222;295;295;379;379;439;439;422;422;424;424;491;491;429;429;352;352;249;249;148;148
2012;F-FMM;Memmingen;287;289;321;324;433;434;457;456;522;527;513;520;549;550;517;509;518;515;538;547;314;309;212;208
2012;F-MUC;München;14860;14748;14860;14831;16529;16492;16105;16081;17405;17361;17082;17063;17402;17374;16223;16175;17009;17030;17414;17387;15482;15478;13728;13768
2012;F-FMO;Münster/Osnabrück;674;681;701;712;1021;1028;990;996;812;817;771;772;908;925;885;903;775;789;762;764;601;622;458;463
2012;F-NRN;Niederrhein;549;548;497;499;591;592;662;660;779;778;828;824;938;938;909;914;857;856;878;880;517;522;496;495
2012;F-NUE;Nürnberg;1879;1894;1951;1973;2254;2277;2093;2117;2019;2034;1988;2036;2015;2062;2218;2222;2238;2281;2141;2184;2066;2108;1756;1760
2012;F-PAD;Paderborn/Lippstadt;290;298;283;283;384;379;362;363;451;444;437;435;490;498;441;437;444;437;454;456;344;356;239;244
2012;F-RLG;Rostock-Laage;465;468;494;493;822;818;846;849;1107;1111;601;600;528;530;1124;1124;656;654;799;805;701;702;196;197
2012;F-SCN;Saarbrücken;390;394;536;538;540;538;454;455;504;500;472;473;467;463;569;570;468;470;668;668;584;580;407;407
2012;F-STR;Stuttgart;4231;4235;4386;4393;5413;5404;5131;5145;5833;5804;5764;5766;5231;5180;5158;5112;5878;5860;5623;5610;4498;4489;3750;3738
2012;F-GWT;Sylt-Westerland;65;64;67;68;117;118;228;230;434;429;364;366;651;655;615;612;335;335;182;183;65;63;59;60
2012;F-ZQW;Zweibrücken;130;130;166;173;189;197;217;216;353;354;248;256;299;306;318;327;248;246;310;315;107;117;138;144
2012;;Insgesamt;77119;76995;75792;75796;89279;89220;87443;87391;96320;96219;95755;95599;96613;96539;94801;94807;95776;95716;96304;96503;81629;81784;70817;70892
2013;F-SXF;Berlin-Schönefeld;2154;2135;2021;2000;2358;2344;2426;2418;2554;2528;2678;2654;2515;2524;2419;2426;2684;2652;2721;2721;2264;2269;2223;2204
2013;F-TXL;Berlin-Tegel;5881;5846;5838;5824;6686;6644;7081;7060;7446;7438;7615;7596;7626;7630;7374;7370;7784;7781;7717;7742;7005;7009;6257;6250
2013;F-BRE;Bremen;1362;1363;1227;1228;1535;1536;1616;1621;1762;1757;1748;1742;1768;1772;1586;1590;1633;1640;1679;1692;1395;1397;1182;1175
2013;F-DTM;Dortmund;527;529;546;548;898;901;1181;1194;1197;1217;1168;1170;1306;1313;1018;1024;994;1001;916;917;606;619;622;628
2013;F-DRS;Dresden;772;770;698;700;813;806;864;867;971;963;1010;1013;1067;1064;934;941;979;984;1005;1018;797;806;679;692
