GENESIS-Tabelle: 46421-0009
Starts, Landungen (Flight Stage): Deutschland, Monate,;;;;;;;;;;;;;;;;;;;;;;;;;;
Berichtsflughafen;;;;;;;;;;;;;;;;;;;;;;;;;;
Verkehrsleistungsstatistik im Luftverkehr;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Januar;Januar;Februar;Februar;März;März;April;April;Mai;Mai;Juni;Juni;Juli;Juli;August;August;September;September;Oktober;Oktober;November;November;Dezember;Dezember
;;;Starts;Landungen;Starts;Landungen;Starts;Landungen;Starts;Landungen;Starts;Landungen;Starts;Landungen;Starts;Landungen;Starts;Landungen;Starts;Landungen;Starts;Landungen;Starts;Landungen;Starts;Landungen
;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
2016;F-CGN;Köln/Bonn;4288;4293;4236;4217;4778;4787;5033;5003;5483;5482;5613;5636;5820;5781;5708;5808;5792;5794;5594;5748;4741;4725;4686;4628
2016;F-LEJ;Leipzig/Halle;2163;2128;2169;2116;2418;2394;2394;2350;2515;2467;2605;2579;2579;2540;2547;2517;2655;2631;2604;2598;2497;2468;2504;2458
2016;F-LBC;Lübeck;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2016;F-FMM;Memmingen;255;250;258;260;377;379;412;410;458;457;462;460;450;448;446;444;495;499;477;474;373;379;417;419
2016;F-MUC;München;13564;13472;14245;14230;15276;15254;15807;15819;16809;16739;17512;17501;17490;17467;16702;16671;17961;17975;17737;17756;14919;14935;14549;14577
2016;F-FMO;Münster/Osnabrück;354;362;416;414;598;603;801;812;880;889;864;866;1140;1153;1170;1190;1201;1209;857;859;629;632;471;471
2016;F-NRN;Niederrhein;347;346;317;314;395;396;631;629;661;664;664;659;692;692;688;686;674;674;672;686;324;326;325;324
2016;F-NUE;Nürnberg;1330;1354;1385;1391;1582;1589;1651;1646;1802;1821;1830;1855;2017;2026;2022;2021;2005;2045;1867;1907;1730;1788;1557;1580
2016;F-PAD;Paderborn/Lippstadt;343;349;395;398;670;673;766;758;739;745;652;668;1259;1252;1132;1145;1061;1072;728;738;514;527;667;660
2016;F-RLG;Rostock-Laage;147;146;198;198;243;241;245;252;315;308;499;506;644;646;341;338;288;288;277;275;194;194;132;133
2016;F-SCN;Saarbrücken;278;273;322;322;376;378;374;373;389;386;438;437;403;405;710;713;455;472;344;348;381;388;224;235
2016;F-STR;Stuttgart;3843;3844;4010;3991;4651;4644;5027;4997;5473;5408;5470;5421;5546;5476;5668;5611;5818;5803;5400;5380;4157;4141;3923;3922
2016;F-GWT;Sylt-Westerland;87;82;100;99;156;161;229;227;470;471;460;459;727;731;675;673;525;525;279;279;118;117;119;123
2016;F-ZQW;Zweibrücken;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2016;;Insgesamt;71576;71429;73318;73224;82287;82235;86724;86683;93267;93039;94523;94467;97574;97326;95717;95766;97995;98086;94977;95606;78868;79028;76410;76377
2017;F-SXF;Berlin-Schönefeld;3645;3651;3490;3482;3768;3727;3977;3977;4250;4267;4282;4273;4125;4089;4067;4094;4208;4209;4252;4220;3591;3623;3568;3541
2017;F-TXL;Berlin-Tegel;6605;6589;6215;6218;6665;6675;7278;7275;8163;8158;7991;7966;8286;8266;8014;7993;8078;8077;7338;7337;4779;4796;4655;4651
2017;F-BRE;Bremen;953;958;1063;1062;1259;1259;1194;1194;1398;1407;1412;1419;1467;1477;1398;1403;1438;1427;1454;1461;1058;1063;938;937
2017;F-DTM;Dortmund;758;759;692;701;968;974;967;975;996;1000;1019;1024;1008;1010;975;975;997;1004;959;962;813;810;674;678
2017;F-DRS;Dresden;771;775;785;793;968;1020;875;872;1053;1051;914;919;948;949;940;944;979;977;923;930;801;801;750;749
2017;F-DUS;Düsseldorf;7845;7893;7500;7509;8875;8890;9074;9055;10257;10261;9962;9928;10294;10223;10193;10211;10192;10165;9689;9686;7075;7137;6451;6419
2017;F-ERF;Erfurt;118;116;165;161;288;287;274;268;338;334;443;442;290;298;303;300;286;290;289;300;211;216;149;152
2017;F-FRA;Frankfurt/Main;16749;16671;16128;16108;18710;18706;19573;19589;20745;20726;20458;20443;21507;21485;21200;21232;21374;21377;21574;21625;19266;19297;17284;17371
2017;F-FDH;Friedrichshafen;342;342;307;299;348;352;314;319;288;288;283;281;331;325;300;301;311;308;315;315;218;219;221;224
2017;F-HHN;Hahn;671;660;597;593;689;668;854;847;867;861;832;818;905;890;880;866;909;898;894;880;683;678;668;683
2017;F-HAM;Hamburg;5332;5339;5035;5018;5958;5945;5950;5921;6621;6589;6618;6600;6812;6775;6854;6827;6779;6770;6680;6705;5379;5373;5057;5043
2017;F-HAJ;Hannover;2001;2001;1963;1960;2400;2397;2446;2467;3031;3028;2907;2919;3013;3043;3019;3045;3030;3028;2979;3052;2267;2299;1889;1890
2017;F-FKB;Karlsruhe;661;658;705;705;924;925;924;914;1164;1159;1078;1086;1001;1009;998;998;982;986;995;983;640;634;561;563
2017;F-CGN;Köln/Bonn;4487;4507;4177;4186;4942;4963;4966;4990;5731;5757;5758;5809;6210;6157;6207;6332;6016;6056;5965;5996;4957;4983;4678;4647
2017;F-LEJ;Leipzig/Halle;2252;2206;2133;2117;2599;2620;2282;2261;2661;2603;2974;2962;2788;2766;2856;2842;2885;2872;3023;2989;2809;2748;2664;2661
2017;F-LBC;Lübeck;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;F-FMM;Memmingen;334;332;320;321;453;457;465;455;474;477;508;504;433;430;556;555;527;526;603;607;414;411;460;460
2017;F-MUC;München;14491;14410;14348;14333;16481;16453;16154;16167;17897;17843;17645;17635;17967;17965;17047;17011;18025;18026;17685;17660;15537;15551;14278;14350
2017;F-FMO;Münster/Osnabrück;519;525;640;646;935;936;878;886;1069;1076;1062;1064;1227;1258;1389;1406;1145;1166;928;953;660;678;471;497
2017;F-NRN;Niederrhein;329;332;283;284;381;377;614;617;649;658;669;674;713;712;662;662;694;693;740;739;409;413;349;352
2017;F-NUE;Nürnberg;1479;1535;1549;1582;1799;1825;1768;1798;2005;2054;2121;2141;2220;2241;2196;2215;2239;2274;2186;2236;1688;1707;1494;1508
2017;F-PAD;Paderborn/Lippstadt;747;742;860;866;1093;1095;712;711;746;737;835;840;1238;1238;1472;1481;1013;1017;762;774;613;628;308;305
2017;F-RLG;Rostock-Laage;256;257;251;252;489;488;255;252;343;346;601;615;735;749;671;676;824;832;479;492;358;360;264;265
2017;F-SCN;Saarbrücken;271;270;252;253;350;349;328;319;361;365;365;359;403;401;601;604;391;391;368;373;247;245;169;164
2017;F-STR;Stuttgart;3578;3559;3494;3486;4307;4289;4473;4443;5211;5198;5333;5319;5348;5300;5264;5255;5446;5455;5447;5374;4151;4128;3735;3687
2017;F-GWT;Sylt-Westerland;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;F-ZQW;Zweibrücken;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;;Insgesamt;75194;75087;72952;72935;85649;85677;86595;86572;96318;96243;96070;96040;99269;99056;98062;98228;98768;98824;96527;96649;78624;78798;71735;71797
2018;F-SXF;Berlin-Schönefeld;3444;3459;3382;3370;3901;3853;4135;4165;4297;4296;4248;4264;4643;4658;4521;4563;4490;4492;4645;4622;3645;3663;3633;3627
2018;F-TXL;Berlin-Tegel;5514;5527;5860;5853;6749;6750;6992;6974;7581;7578;7823;7792;8368;8345;8488;8461;8697;8675;9089;9086;7935;7966;7671;7650
2018;F-BRE;Bremen;923;936;1044;1035;1310;1309;1308;1304;1397;1394;1430;1444;1494;1504;1509;1521;1486;1490;1451;1458;1127;1135;1000;995
2018;F-DTM;Dortmund;825;817;891;898;934;931;1089;1090;1154;1156;1165;1168;1210;1203;1184;1187;1280;1280;1143;1149;892;898;898;898
2018;F-DRS;Dresden;727;730;729;725;862;854;862;863;1022;1014;971;969;1038;1042;1026;1028;1067;1061;1103;1114;889;893;743;739
2018;F-DUS;Düsseldorf;7149;7181;7113;7118;8126;8087;8185;8186;9171;9128;9384;9313;9946;9884;9912;9967;9842;9851;10204;10227;8814;8831;8185;8180
2018;F-ERF;Erfurt;126;127;195;198;207;206;202;204;261;270;319;327;328;330;325;326;289;288;287;297;174;180;157;156
2018;F-FRA;Frankfurt/Main;18201;18103;17370;17347;20314;20296;21221;21161;22527;22489;22266;22220;23045;23047;22911;22925;22667;22707;22942;22990;20307;20333;18885;18972
2018;F-FDH;Friedrichshafen;299;299;252;251;274;265;264;268;297;297;360;362;372;374;328;327;347;353;406;407;280;280;234;240
2018;F-HHN;Hahn;679;669;644;636;731;710;830;848;815;835;789;812;809;818;751;772;719;720;757;765;533;533;567;545
2018;F-HAM;Hamburg;4949;4965;4736;4732;5548;5522;5822;5794;6322;6283;6133;6049;6508;6432;6401;6361;6528;6420;6597;6602;5786;5731;5381;5315
2018;F-HAJ;Hannover;2067;2083;1947;1966;2295;2300;2508;2523;2926;2953;3055;3104;3199;3205;3073;3110;3214;3187;3228;3285;2287;2328;2001;2010
2018;F-FKB;Karlsruhe;654;649;708;703;764;758;841;851;925;902;962;954;1111;1087;989;976;1102;1105;892;875;641;642;495;487
2018;F-CGN;Köln/Bonn;4526;4523;4257;4267;4951;4964;5322;5335;5835;5879;5775;5855;6332;6319;6327;6464;6218;6271;6501;6591;5001;4994;4738;4715
2018;F-LEJ;Leipzig/Halle;2637;2599;2519;2489;2809;2779;2708;2657;3175;3107;3162;3158;3288;3290;3208;3211;3167;3134;3287;3279;3035;3033;2775;2776
2018;F-LBC;Lübeck;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2018;F-FMM;Memmingen;432;429;407;407;501;499;604;610;579;575;565;569;606;609;643;647;608;607;629;631;486;483;479;477
2018;F-MUC;München;14889;14785;14309;14287;16206;16198;16464;16441;17598;17545;17758;17728;18201;18162;17723;17652;18341;18331;18531;18484;16444;16430;15458;15511
2018;F-FMO;Münster/Osnabrück;671;676;920;923;882;886;951;961;871;892;990;1017;1159;1173;1026;1045;1087;1122;1128;1170;787;812;562;554
2018;F-NRN;Niederrhein;373;376;364;364;429;428;639;640;655;652;566;564;618;614;598;595;511;509;576;581;304;301;294;300
2018;F-NUE;Nürnberg;1459;1494;1493;1529;1706;1732;1823;1845;2114;2134;2132;2201;2163;2203;2288;2309;2250;2310;2219;2253;1748;1792;1576;1589
2018;F-PAD;Paderborn/Lippstadt;608;612;1040;1036;899;903;1090;1086;1199;1205;1106;1107;1655;1671;1190;1202;1220;1228;995;1005;942;966;672;672
2018;F-RLG;Rostock-Laage;318;323;541;540;474;475;461;463;527;524;632;638;534;533;542;545;625;625;601;609;569;575;264;264
2018;F-SCN;Saarbrücken;266;268;265;263;296;296;318;315;387;380;401;411;442;448;445;446;417;409;361;365;299;308;243;247
2018;F-STR;Stuttgart;3801;3815;3965;3925;4628;4584;5049;5037;5356;5317;5692;5660;5746;5695;5835;5789;5987;5993;5852;5820;4674;4658;4192;4172
2018;F-GWT;Sylt-Westerland;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2018;F-ZQW;Zweibrücken;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2018;;Insgesamt;75537;75445;74951;74862;85796;85585;89688;89621;96991;96805;97684;97686;102815;102646;101243;101429;102159;102168;103424;103665;87599;87765;81103;81091
2019;F-SXF;Berlin-Schönefeld;3432;3458;3418;3403;3783;3783;3803;3757;3980;3985;3976;3964;4039;4058;3921;3951;3816;3817;3865;3842;3094;3100;3222;3187
2019;F-TXL;Berlin-Tegel;7294;7300;7151;7153;7906;7912;8044;8065;8560;8562;8263;8241;8323;8310;8152;8137;8518;8508;8444;8432;6807;6794;7008;7009
2019;F-BRE;Bremen;948;968;991;1012;1130;1135;1287;1288;1356;1353;1278;1291;1334;1334;1240;1243;1463;1472;1484;1503;1127;1136;1065;1062
2019;F-DTM;Dortmund;831;834;969;969;904;906;1074;1074;1114;1111;1231;1229;1346;1344;1330;1329;1288;1295;1209;1204;1078;1078;1022;1020
2019;F-DRS;Dresden;784;788;724;721;766;768;800;800;958;957;873;876;943;939;897;902;986;981;950;955;779;780;754;752
2019;F-DUS;Düsseldorf;8153;8211;7749;7757;8793;8802;9116;9102;9920;9905;9808;9792;10205;10140;9981;10039;10156;10144;10324;10340;7946;7954;7529;7521
2019;F-ERF;Erfurt;163;166;211;216;221;222;186;185;266;270;442;444;247;247;234;235;312;306;274;281;194;199;205;205
2019;F-FRA;Frankfurt/Main;18610;18568;18191;18165;20762;20769;21576;21588;22802;22765;22673;22641;23291;23288;22938;22968;23023;23055;22633;22685;19106;19104;18030;18133
2019;F-FDH;Friedrichshafen;463;454;426;420;416;418;425;419;271;283;603;604;673;670;730;728;707;704;564;557;329;336;276;273
2019;F-HHN;Hahn;626;611;553;565;655;645;602;592;581;580;590;580;631;626;580;572;598;595;641;642;487;485;433;453
2019;F-HAM;Hamburg;5160;5147;4942;4866;5720;5682;6014;5988;6461;6435;6253;6206;6536;6499;6334;6302;6476;6428;6489;6413;5196;5155;5050;4998
2019;F-HAJ;Hannover;1950;1983;2010;2022;2273;2273;2502;2479;2840;2819;2991;2985;3146;3122;3102;3116;3207;3167;3102;3119;2197;2158;2080;2075
2019;F-FKB;Karlsruhe;576;569;685;692;727;723;834;831;891;883;1031;1021;1126;1109;1042;1036;1011;1005;872;873;631;630;570;562
2019;F-CGN;Köln/Bonn;4516;4569;4266;4306;4803;4847;5181;5192;5885;5952;5906;6025;6382;6384;6262;6417;6223;6309;6263;6407;4724;4789;4610;4618
2019;F-LEJ;Leipzig/Halle;2749;2717;2674;2639;2987;2945;2865;2846;3167;3166;3081;3066;3242;3216;3074;3082;3205;3149;3403;3391;2867;2856;2798;2736
2019;F-LBC;Lübeck;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2019;F-FMM;Memmingen;503;504;486;485;601;601;626;620;644;639;639;645;694;696;740;734;366;366;676;676;518;516;480;475
2019;F-MUC;München;15445;15315;14618;14593;16808;16773;16768;16764;18471;18436;17918;17896;18562;18542;17838;17804;18649;18644;18333;18304;15483;15491;14956;14993
2019;F-FMO;Münster/Osnabrück;594;608;694;701;782;788;940;934;1204;1209;1198;1202;1207;1197;1034;1058;1033;1061;1061;1089;882;885;745;737
2019;F-NRN;Niederrhein;317;313;308;310;295;295;459;460;455;456;456;456;488;487;492;493;450;449;452;449;268;272;239;236
2019;F-NUE;Nürnberg;1531;1556;1468;1490;1639;1647;1637;1648;1691;1713;1945;1987;1977;1980;2123;2091;2051;2115;2049;2072;1562;1604;1532;1561
2019;F-PAD;Paderborn/Lippstadt;835;832;1271;1272;764;767;886;883;931;942;855;863;1158;1177;1211;1224;1177;1180;1282;1294;815;805;528;531
2019;F-RLG;Rostock-Laage;472;479;369;368;300;302;564;567;407;408;364;366;378;382;651;656;368;364;587;597;487;485;437;442
2019;F-SCN;Saarbrücken;308;316;255;261;90;89;279;282;338;343;363;360;354;350;369;369;364;367;361;362;262;263;253;249
2019;F-STR;Stuttgart;4051;4071;4223;4206;4787;4763;5309;5286;5961;5895;5987;5983;6148;6112;6060;6015;6178;6246;5883;5890;4600;4623;4496;4473
2019;F-GWT;Sylt-Westerland;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2019;F-ZQW;Zweibrücken;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2019;;Insgesamt;80311;80337;78652;78592;87912;87855;91777;91650;99154;99067;98724;98723;102430;102209;100335;100501;101625;101727;101201;101377;81439;81498;78318;78301
2020;F-SXF;Berlin-Schönefeld;2977;2980;3018;3006;1957;1988;188;207;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
2020;F-TXL;Berlin-Tegel;6436;6463;6264;6275;4095;4145;356;360;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
2020;F-BRE;Bremen;1049;1048;1113;1112;814;831;212;218;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
2020;F-DTM;Dortmund;995;994;916;921;661;662;149;149;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
2020;F-DRS;Dresden;731;734;727;727;469;473;23;23;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
2020;F-DUS;Düsseldorf;7623;7639;7279;7269;4344;4607;331;396;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
2020;F-ERF;Erfurt;210;207;267;269;190;196;87;90;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
2020;F-FRA;Frankfurt/Main;18004;17918;17665;17650;10818;11264;3031;3117;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
2020;F-FDH;Friedrichshafen;385;385;315;301;166;159;14;10;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
2020;F-HHN;Hahn;456;451;492;500;451;453;249;266;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
2020;F-HAM;Hamburg;4851;4823;4665;4602;2958;3013;302;282;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
2020;F-HAJ;Hannover;2049;2067;2019;2004;1308;1434;218;227;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
2020;F-FKB;Karlsruhe;661;656;720;725;469;476;268;302;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
2020;F-CGN;Köln/Bonn;4530;4621;4303;4340;3291;3471;1473;1506;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
2020;F-LEJ;Leipzig/Halle;2695;2655;2594;2588;2496;2511;2052;2036;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
2020;F-LBC;Lübeck;-;-;-;-;-;-;-;-;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
2020;F-FMM;Memmingen;514;506;526;527;326;328;11;13;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
2020;F-MUC;München;15138;15065;14382;14357;8288;8510;826;825;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
2020;F-FMO;Münster/Osnabrück;738;749;711;717;617;635;208;208;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
2020;F-NRN;Niederrhein;233;238;225;224;143;150;-;-;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
2020;F-NUE;Nürnberg;1535;1551;1407;1440;824;914;88;129;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
2020;F-PAD;Paderborn/Lippstadt;930;932;634;639;602;617;34;32;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
2020;F-RLG;Rostock-Laage;507;510;418;415;382;379;7;6;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
2020;F-SCN;Saarbrücken;228;229;273;274;163;164;10;11;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
2020;F-STR;Stuttgart;4224;4229;4201;4176;2535;2612;75;75;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
2020;F-GWT;Sylt-Westerland;-;-;-;-;-;-;-;-;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
2020;F-ZQW;Zweibrücken;-;-;-;-;-;-;-;-;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
2020;;Insgesamt;77699;77650;75134;75058;48367;49992;10212;10488;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
__________
© Statistisches Bundesamt (Destatis), 2020
Stand: 19.06.2020 / 12:08:32
