date,ECO_MDAX
1996-02,2622.889893
1996-03,2590.200485904762
1996-04,2593.8245405909092
1996-05,2619.829122826087
1996-06,2771.0255127000005
1996-07,2794.8399923043476
1996-08,2827.9954612272727
1996-09,2858.9933616666667
1996-10,2965.4604067391306
1996-11,2906.292840809524
1996-12,2942.797707363636
1997-01,3088.369989826087
1997-02,3290.81549065
1997-03,3503.1328706190475
1997-04,3544.4236283181817
1997-05,3698.3741121818184
1997-06,3891.82618347619
1997-07,4045.4786854782606
1997-08,4073.845226571428
1997-09,3883.129993863636
1997-10,3910.9117591739127
1997-11,3672.5835082499993
1997-12,3701.294773260869
1998-01,3748.3909246363637
1998-02,3973.1550049000007
1998-03,4261.842729045455
1998-04,4505.875909954546
1998-05,4591.200939285714
1998-06,4656.555464318181
1998-07,4767.768236304348
1998-08,4366.930966333332
1998-09,3920.3904363636366
1998-10,3585.3531716363646
1998-11,3925.0900063333343
1998-12,3877.290453130435
1999-01,3855.787144333333
1999-02,3810.1334960500003
1999-03,3753.8060781739123
1999-04,3804.946810636364
1999-05,3910.7976306666665
1999-06,3912.5695357272725
1999-07,4149.874101181818
1999-08,4075.818181772729
1999-09,4139.31958
1999-10,4016.0266810952376
1999-11,4063.1808860454544
1999-12,4045.817839217392
2000-01,4168.720482238095
2000-02,4215.265718047619
2000-03,4376.584366521741
2000-04,4361.795581049999
2000-05,4492.726541260869
2000-06,4522.798672772727
2000-07,4591.973749095238
2000-08,4859.112644304348
2000-09,4875.589518190476
2000-10,4849.076771136363
2000-11,4881.186368090909
2000-12,4668.019066333332
2001-01,4642.174804608696
2001-02,4825.6510253
2001-03,4586.613170318183
2001-04,4546.438662619048
2001-05,4667.756963391305
2001-06,4770.1214425238095
2001-07,4687.311368045454
2001-08,4636.8151962173915
2001-09,4030.27947985
2001-10,4132.632164956522
2001-11,4232.987260227273
2001-12,4232.409086571429
2002-01,4374.065705608696
2002-02,4348.498510800001
2002-03,4439.245745047619
2002-04,4488.246337818182
2002-05,4436.651282347826
2002-06,4077.7199585999997
2002-07,3645.860871695652
2002-08,3404.5186545454544
2002-09,3115.0576171904763
2002-10,2954.0847380869563
2002-11,3128.146205428571
2002-12,3077.895485454546
2003-01,3053.275231434782
2003-02,2896.2635132
2003-03,2795.8223935238098
2003-04,3027.4022772272724
2003-05,3284.7959318636363
2003-06,3502.2252255238104
2003-07,3659.85826047826
2003-08,3919.4133068571427
2003-09,4102.353637636364
2003-10,4176.141750130435
2003-11,4322.909496900002
2003-12,4438.340480565217
2004-01,4643.022349863635
2004-02,4821.788989299999
2004-03,4763.848271956522
2004-04,4950.746382363636
2004-05,4794.050013904761
2004-06,4975.241787954546
2004-07,4975.486816409091
2004-08,4854.563654045455
2004-09,4992.639959227273
2004-10,5072.279529476191
2004-11,5197.287730727273
2004-12,5340.207009956523
2005-01,5506.678548142857
2005-02,5737.214453050002
2005-03,5696.047894043479
2005-04,5708.181431380952
2005-05,5751.507302045454
2005-06,6175.55224609091
2005-07,6524.821916904762
2005-08,6748.847401391305
2005-09,6938.574107727272
2005-10,6828.399483761906
2005-11,6998.066361909091
2005-12,7231.050470545454
2006-01,7676.545454454546
2006-02,8196.840966749998
2006-03,8511.162661347826
2006-04,8702.627333
2006-05,8497.139936863636
2006-06,7676.895507818181
2006-07,7740.604771238095
2006-08,8005.372176565217
2006-09,8270.891299190478
2006-10,8629.066361863637
2006-11,8831.971324636363
2006-12,9144.571545894738
2007-01,9574.943137363638
2007-02,10036.26499025
2007-03,9784.994096272725
2007-04,10591.939093421053
2007-05,10855.518508142857
2007-06,10951.600493
2007-07,11085.388228045456
2007-08,10092.513544608695
2007-09,10193.629589850003
2007-10,10567.229194999998
2007-11,9779.96590909091
2007-12,9803.024126941178
2008-01,8738.662264818182
2008-02,9037.340029809524
2008-03,8671.54636094737
2008-04,9069.044566909091
2008-05,9661.566173809522
2008-06,9492.13769538095
2008-07,8408.52222752174
2008-08,8361.79373604762
2008-09,7811.839533090909
2008-10,5665.602156869567
2008-11,5364.023974600002
2008-12,5282.570029842105
2009-01,5242.136649
2009-02,5018.402050949999
2009-03,4418.107732545454
2009-04,5116.9639648
2009-05,5758.9695312
2009-06,5779.04685290909
2009-07,5857.530867782609
2009-08,6546.1819428571425
2009-09,7127.952725499999
2009-10,7290.39135740909
2009-11,7177.167643238095
2009-12,7387.615478549999
2010-01,7726.070483350001
2010-02,7434.755517549999
2010-03,7937.169136478261
2010-04,8394.293554700002
2010-05,8026.696172904761
2010-06,8197.369029681817
2010-07,8235.034912090909
2010-08,8343.444047363635
2010-09,8673.465953545454
2010-10,9094.900390761906
2010-11,9371.116832454545
2010-12,9938.374720952379
2011-01,10170.188616047622
2011-02,10384.792529299997
2011-03,10074.988196434784
2011-04,10480.826840000002
2011-05,10717.497247954547
2011-06,10625.19176140909
2011-07,10837.147646952382
2011-08,8989.050441608695
2011-09,8589.206321045456
2011-10,8823.6530519
2011-11,8736.713134818181
2011-12,8744.41382995238
2012-01,9577.105424454543
2012-02,10357.104259714286
2012-03,10568.216441772727
2012-04,10618.80684631579
2012-05,10380.359907772725
2012-06,10068.583798428574
2012-07,10624.655007090909
2012-08,11049.089122130434
2012-09,11091.43544915
2012-10,11351.519975227273
2012-11,11386.215021318183
2012-12,11906.364832235295
2013-01,12442.54150395455
2013-02,12924.22944335
2013-03,13363.25395515
2013-04,13225.561011904761
2013-05,13977.068181818184
2013-06,13814.53388685
2013-07,14036.769913391303
2013-08,14650.574618363637
2013-09,14860.34040180952
2013-10,15500.239035954542
