date,ECO_MDAX
2016-06,20128.37784095455
2016-07,20427.595424142855
2016-08,21473.431895434787
2016-09,21414.710049818183
2016-10,21349.629883049998
2016-11,20648.504882954545
2016-12,21631.318080428566
2017-01,22505.22293533333
2017-02,23110.03154295
2017-03,23490.170006869565
2017-04,24239.826497555554
2017-05,25025.89062504545
2017-06,25192.298177190474
2017-07,24784.976841523807
2017-08,24794.69021743478
2017-09,25329.384570450005
2017-10,26143.549023450007
2017-11,26681.693181909097
2017-12,26317.265111000008
2018-01,26956.39186804545
2018-02,25887.43525405
2018-03,25657.97851566667
2018-04,25744.370898450004
2018-05,26597.704334095237
2018-06,26472.72674838095
2018-07,26424.229137272723
2018-08,26785.006708695648
2018-09,26280.62890639999
2018-10,24319.964044727272
2018-11,23773.48712713636
2018-12,22284.585133470584
2019-01,22915.285333863634
2019-02,24050.351172050003
2019-03,24797.63085942857
2019-04,25609.528027449993
2019-05,25404.284446090915
2019-06,25340.78690384211
2019-07,25946.974014999996
2019-08,25206.77894186364
2019-09,25875.945219571426
2019-10,25883.784179772738
2019-11,27140.310546904762
2019-12,27769.542968944446
2020-01,28461.22070313636
2020-02,28411.579589849996
2020-03,21568.920543454544
2020-04,21961.894531249993
2020-05,24115.675976650004
2020-06,26270.47836546154
