date,ECO_DAX
1990-01,1814.7277277727271
1990-02,1855.8065002500002
1990-03,1885.929559909091
1990-04,1893.9636936842105
1990-05,1856.984752857143
1990-06,1849.0710578947367
1990-07,1927.3372636363638
1990-08,1697.0713103043477
1990-09,1507.9775085499998
1990-10,1453.2590942727272
1990-11,1425.6833437619048
1990-12,1471.1058707647057
1991-01,1373.611822
1991-02,1510.7430054
1991-03,1545.8344970500002
1991-04,1591.403337714286
1991-05,1633.6863113684212
1991-06,1693.1574889999997
1991-07,1624.0960959130437
1991-08,1624.8313709545453
1991-09,1630.8995420476192
1991-10,1580.4222689545456
1991-11,1596.2489929499998
1991-12,1555.5811225555558
1992-01,1647.6340831818188
1992-02,1700.2565063999998
1992-03,1733.253645545454
1992-04,1733.8095032999997
1992-05,1764.5252685263158
1992-06,1777.2519836500003
1992-07,1696.0895623913045
1992-08,1548.0195137142862
1992-09,1539.6218095454549
1992-10,1475.658180909091
1992-11,1518.6109924500001
1992-12,1511.01249995
1993-01,1555.7760132
1993-02,1647.3575013000002
1993-03,1687.1591266086955
1993-04,1659.5900086000001
1993-05,1621.945261157895
1993-06,1677.9019020476194
1993-07,1796.6463566363639
1993-08,1896.3713600454548
1993-09,1895.5113747272733
1993-10,2017.262369809524
1993-11,2046.830944238095
1993-12,2170.360002809524
1994-01,2165.3438546666675
1994-02,2123.6964966
1994-03,2128.895645782609
1994-04,2212.9136770000005
1994-05,2217.5290284499997
1994-06,2065.892851380953
1994-07,2094.3504754285714
1994-08,2165.2169773043483
1994-09,2112.4818281818184
1994-10,2039.1290100500003
1994-11,2069.2195346666667
1994-12,2063.1366606190472
1995-01,2054.9081754090907
1995-02,2101.8595214499996
1995-03,1995.9199749565214
1995-04,1981.1883206666664
1995-05,2071.6956960952384
1995-06,2128.5254883499997
1995-07,2186.1042829523817
1995-08,2242.5682639130437
1995-09,2257.492385142857
1995-10,2163.531935952381
1995-11,2200.402266045455
1995-12,2270.342632105263
1996-01,2380.3390781363632
1996-02,2433.919549952381
1996-03,2474.3376349047617
1996-04,2521.83752445
1996-05,2517.20301505
1996-06,2555.4142037894735
1996-07,2519.4887057826086
1996-08,2542.9140735909086
1996-09,2600.671421619048
1996-10,2695.6722744999997
1996-11,2763.8114419999993
1996-12,2851.6683349444447
1997-01,2965.627286045455
1997-02,3196.046020449999
1997-03,3357.8994911578943
1997-04,3337.296375590908
1997-05,3580.2247250526316
1997-06,3727.813825380953
1997-07,4161.707413347825
1997-08,4191.352376333333
1997-09,4044.672718454545
1997-10,4078.9749644545464
1997-11,3824.8549682999997
1997-12,4133.676847842105
1998-01,4284.106189571429
1998-02,4575.527514650001
1998-03,4915.276855499999
1998-04,5254.515478550001
1998-05,5403.894222789474
1998-06,5726.9635254
1998-07,6003.131305217391
1998-08,5388.9285249047625
1998-09,4747.751353863637
1998-10,4345.53323640909
1998-11,4833.552339095238
1998-12,4770.49951165
1999-01,5140.372998
1999-02,4960.824487249999
1999-03,4878.616550695652
1999-04,5183.967016749999
1999-05,5217.082673736841
1999-06,5293.569963809524
1999-07,5461.107288681818
1999-08,5203.999134454545
1999-09,5309.290460727273
1999-10,5320.763299809525
1999-11,5786.716375136363
1999-12,6354.989560047619
2000-01,6915.297177285713
2000-02,7524.347516761904
2000-03,7812.148267739131
2000-04,7354.530056444443
2000-05,7180.694491272729
2000-06,7184.1304155
2000-07,7192.507626428571
2000-08,7221.729152565218
2000-09,7027.639508952382
2000-10,6721.190476238095
2000-11,6814.955433227274
2000-12,6477.8452405789485
2001-01,6560.646795136363
2001-02,6462.667504800001
2001-03,5917.008678227272
2001-04,5963.021021789475
2001-05,6155.762273636364
2001-06,6025.635230666666
2001-07,5840.614013681819
2001-08,5438.16038973913
2001-09,4372.371997
2001-10,4577.537364043478
2001-11,4949.808660272727
2001-12,5074.5506089411765
2002-01,5151.290926772727
2002-02,4894.536035149999
2002-03,5323.3984863999995
2002-04,5199.655226904762
2002-05,4939.631835909091
2002-06,4427.91752945
2002-07,4002.092157782609
2002-08,3687.1658935454543
2002-09,3230.0585471904765
2002-10,2967.309124565217
2002-11,3226.8766392857146
2002-12,3117.739434111111
2003-01,2921.702747590909
2003-02,2611.2234986
2003-03,2491.0519438571428
2003-04,2790.5395141
2003-05,2922.9385696190475
2003-06,3179.537144238095
2003-07,3336.310440695652
2003-08,3446.789039238094
2003-09,3506.7609198636374
2003-10,3498.739979695652
2003-11,3722.7705077500004
2003-12,3866.933131157895
2004-01,4077.490001857142
2004-02,4064.2935180999993
2004-03,3921.3834705652166
2004-04,4036.8120117
2004-05,3869.154308523809
2004-06,3986.439553136363
2004-07,3883.5586381363637
2004-08,3760.090908999999
2004-09,3909.4331942272725
2004-10,3963.5642786666667
2004-11,4108.663208090909
2004-12,4216.389043857143
2005-01,4246.440011142857
2005-02,4344.74401865
2005-03,4357.401460285713
2005-04,4293.807617238095
2005-05,4329.549138999999
2005-06,4569.209938727273
2005-07,4726.5790782380955
2005-08,4886.299167782609
2005-09,4946.1418235
2005-10,4951.816662095238
2005-11,5092.508189772728
2005-12,5343.132324238096
2006-01,5493.997691772728
2006-02,5762.51252435
2006-03,5861.706054652175
2006-04,6010.0061035555555
2006-05,5845.802268227272
2006-06,5495.312278045455
2006-07,5594.173293428572
2006-08,5750.306937826086
2006-09,5901.002394904763
2006-10,6161.296342272727
2006-11,6368.680886045454
2006-12,6492.591000263158
2007-01,6692.5390625
2007-02,6913.124999899999
2007-03,6705.958673590908
2007-04,7237.294767631579
2007-05,7581.970982142859
2007-06,7874.479027190476
