date_start;date_ende;val_BAST
03/18/2020;03/24/2020;-40
03/25/2020;03/31/2020;-47
04/01/2020;04/07/2020;-45
04/08/2020;04/15/2020;-54
04/15/2020;04/21/2020;-40
04/22/2020;04/28/2020;-35
04/29/2020;05/05/2020;-36
05/06/2020;05/12/2020;-28
05/13/2020;05/19/2020;-15
05/20/2020;05/26/2020;-19
05/27/2020;06/02/2020;-10
06/03/2020;06/09/2020;-14
06/10/2020;06/16/2020;-12
06/17/2020;06/23/2020;-5
