STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;MO_N;MO_TT;MO_TX;MO_TN;MO_FK;MX_TX;MX_FX;MX_TN;MO_SD_S;QN_6;MO_RR;MX_RS;eor
        691;20181101;20181130;    3;  5.87;   6.13;    8.98;    2.86;    2.80;  16.5;  16.3;  -2.6;  65.83;    9;    17.8;    3.7;eor
        691;20181201;20181231;    3;  6.69;   5.62;    7.56;    3.24;    3.16;  12.8;  20.6;  -2.6;  30.35;    9;    53.8;    9.8;eor
        691;20190101;20190131;    3;  6.13;   2.43;    4.79;   -0.48;    3.26;   8.8;  24.7;  -9.1;  50.65;    9;    65.4;   12.0;eor
        691;20190201;20190228;    3;  5.19;   5.22;    9.85;    0.79;    2.79;  18.1;  20.9;  -3.4; 110.38;    9;    25.8;    9.8;eor
        691;20190301;20190331;    3;  5.84;   7.29;   10.90;    3.27;    3.61;  18.9;  26.6;   0.2;  86.77;    9;    66.0;   11.4;eor
        691;20190401;20190430;    3;  3.73;  10.24;   15.79;    4.44;    2.93;  24.0;  17.0;  -1.6; 251.08;    9;    36.2;   19.0;eor
        691;20190501;20190531;    3;  5.33;  11.58;   16.67;    5.43;    2.90;  24.6;  14.9;  -0.9; 199.84;    3;    27.0;    7.2;eor
        691;20190601;20190630;    3;  4.92;  19.53;   25.58;   12.83;    2.77;  35.4;  20.4;   7.3; 270.23;    3;    43.3;    9.3;eor
        691;20190701;20190731;    3;  5.54;  18.93;   24.35;   13.61;    2.81;  37.4;  16.8;   6.6; 189.93;    3;    29.5;   19.0;eor
        691;20190801;20190831;    3;  4.60;  19.37;   25.60;   13.40;    2.55;  33.5;  21.4;   9.1; 230.70;    3;    71.0;   24.4;eor
        691;20190901;20190930;    3;  5.32;  14.23;   19.49;    8.96;    2.70;  25.6;  22.1;   3.9; 152.43;    3;    74.1;   25.6;eor
        691;20191001;20191031;    3;  5.59;  11.28;   15.25;    7.87;    2.90;  21.5;  22.3;  -2.9; 109.80;    3;    77.3;   23.9;eor
        691;20191101;20191130;    3;  6.26;   5.79;    8.32;    2.83;    2.53;  16.1;  14.6;  -1.9;  44.70;    3;    63.1;   13.7;eor
        691;20191201;20191231;    3;  6.12;   5.19;    7.60;    2.15;    2.94;  13.5;  21.3;  -3.5;  56.80;    3;    30.2;    5.1;eor
        691;20200101;20200131;    1;  6.44;   5.31;    7.93;    2.07;    3.16;  13.8;  21.4;  -4.6;  36.97;    3;    35.7;    6.7;eor
        691;20200201;20200229;    1;  6.17;   6.19;    8.99;    3.02;    4.03;  18.1;  28.5;  -3.5;  56.75;    3;   113.2;   13.9;eor
        691;20200301;20200331;    1;  4.45;   6.21;   10.50;    1.70;    3.23;  15.5;  27.1;  -5.9; 184.77;    3;    47.5;    7.8;eor
        691;20200401;20200430;    1;  3.68;  10.30;   16.52;    3.72;    2.87;  23.1;  17.8;  -2.7; 297.08;    1;     6.8;    4.3;eor
        691;20200501;20200531;    1;  4.65;  12.20;   17.90;    5.68;    2.77;  24.2;  17.0;  -0.2; 248.40;    1;    20.7;    8.7;eor
