STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;MO_N;MO_TT;MO_TX;MO_TN;MO_FK;MX_TX;MX_FX;MX_TN;MO_SD_S;QN_6;MO_RR;MX_RS;eor
       1078;20181101;20181130;    3;  5.30;   7.25;   10.85;    3.45;    2.97;  20.1;  20.1;  -2.8;  91.58;    9;    19.5;    6.4;eor
       1078;20181201;20181231;    3;  6.48;   6.01;    8.26;    3.12;    3.23;  14.3;  19.7;  -3.5;  33.30;    9;    92.8;   13.3;eor
       1078;20190101;20190131;    3;  6.42;   2.75;    5.04;   -0.21;    3.03;   9.4;  19.5;  -8.5;  39.33;    9;    65.6;   14.0;eor
       1078;20190201;20190228;    3;  4.73;   6.82;   11.99;    2.04;    2.96;  21.0;  20.6;  -2.6; 126.96;    9;    51.3;   18.4;eor
       1078;20190301;20190331;    3;  5.68;   8.30;   12.39;    3.90;    3.42;  20.5;  30.5;  -3.0;  97.80;    9;    70.9;   11.6;eor
       1078;20190401;20190430;    3;  4.38;  11.38;   17.04;    5.28;    2.60;  26.0;  27.1;  -0.1; 207.08;    9;    25.7;    7.3;eor
       1078;20190501;20190531;    3;  5.38;  11.91;   16.86;    6.32;    2.52;  23.3;  14.9;  -0.2; 172.38;    3;    54.9;   11.2;eor
       1078;20190601;20190630;    3;  4.14;  20.46;   26.54;   13.53;    2.70;  36.8;  22.5;   9.1; 298.29;    3;    48.8;   13.7;eor
       1078;20190701;20190731;    3;  4.75;  20.20;   26.32;   13.65;    2.45;  40.7;  19.2;   7.0; 213.16;    3;    14.7;   10.3;eor
       1078;20190801;20190831;    3;  4.22;  20.11;   26.12;   13.97;    2.71;  34.2;  23.1;   9.4; 237.15;    3;    63.0;   13.7;eor
       1078;20190901;20190930;    3;  5.22;  15.50;   20.63;   10.22;    2.77;  28.4;  19.0;   3.1; 154.70;    3;    46.0;   13.3;eor
       1078;20191001;20191031;    3;  5.97;  12.40;   16.12;    9.15;    3.03;  24.9;  26.6;  -4.2;  87.50;    3;    74.8;   13.2;eor
       1078;20191101;20191130;    3;  5.87;   6.37;    9.65;    2.88;    2.83;  15.5;  18.2;  -2.9;  49.55;    3;    87.8;   25.6;eor
       1078;20191201;20191231;    3;  5.92;   5.91;    8.41;    2.92;    3.32;  15.4;  25.7;  -4.2;  50.32;    3;    66.8;    8.8;eor
       1078;20200101;20200131;    1;  6.17;   5.67;    8.16;    2.35;    3.13;  13.4;  18.3;  -4.5;  39.32;    3;    41.5;    7.4;eor
       1078;20200201;20200229;    1;  6.23;   7.05;   10.10;    3.40;    4.10;  18.0;  30.5;  -1.9;  53.87;    3;   146.4;   20.0;eor
       1078;20200301;20200331;    1;  4.49;   7.41;   11.75;    2.79;    3.32;  16.9;  20.2;  -5.5; 178.17;    3;    63.0;   17.6;eor
       1078;20200401;20200430;    1;  2.85;  12.18;   19.06;    4.51;    2.57;  24.5;  16.3;  -3.9; 283.38;    1;    11.2;    5.8;eor
       1078;20200501;20200531;    1;  3.73;  13.68;   19.90;    5.97;    2.52;  28.7;  17.5;  -1.1; 282.97;    1;    10.2;    5.8;eor
