STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;MO_N;MO_TT;MO_TX;MO_TN;MO_FK;MX_TX;MX_FX;MX_TN;MO_SD_S;QN_6;MO_RR;MX_RS;eor
       1346;20181101;20181130;    3;  4.62;   2.95;    5.73;    0.61;    4.43;  12.5;  26.1;  -8.1; 107.12;    9;    48.3;   10.7;eor
       1346;20181201;20181231;    3;  6.43;  -0.63;    1.67;   -2.89;    5.19;  10.1;  43.5;  -9.7;  54.67;    9;   332.4;   72.5;eor
       1346;20190101;20190131;    3;  6.78;  -5.79;   -3.90;   -7.66;    4.97;   0.2;  34.6; -12.3;  37.54;-999;-999;    9.8;eor
       1346;20190201;20190228;    3;  -999;   1.58;    4.15;   -1.17;-999;  16.7;  41.1;  -9.3; 166.75;-999;-999;   13.8;eor
       1346;20190301;20190331;    3;  4.94;   0.20;    3.32;   -2.45;    5.68;   9.8;  45.5;  -7.5; 131.48;-999;-999;-999;eor
       1346;20190401;20190430;    3;  4.99;   2.80;    5.30;    0.36;    4.00;  14.1;  27.1;  -6.0;-999;    9;-999;-999;eor
       1346;20190501;20190531;    3;  5.66;   3.68;    6.41;    1.08;    4.00;  13.9;  32.7;  -6.8; 131.05;    3;   207.5;   37.0;eor
       1346;20190601;20190630;    3;  3.26;  13.77;   17.09;   10.31;    3.67;  27.0;  25.9;   2.7; 272.77;    3;   143.5;   42.3;eor
       1346;20190701;20190731;    3;  3.93;  14.01;   16.79;   10.96;    3.48;  26.7;  27.2;   4.5; 261.27;    3;   121.8;   48.0;eor
       1346;20190801;20190831;    3;  4.02;  13.15;   16.14;   10.56;-999;  22.5;  29.7;   5.9; 224.85;    3;   177.9;   34.7;eor
       1346;20190901;20190930;    3;  4.16;   8.93;   11.70;    6.38;    4.10;  17.8;  40.5;   1.7; 168.07;    3;-999;   31.8;eor
       1346;20191001;20191031;    3;  5.50;   7.03;    9.85;    4.54;    4.74;  17.6;  30.0;  -1.2; 101.57;    3;   263.2;   37.4;eor
       1346;20191101;20191130;    3;  6.30;   0.17;    2.23;   -1.65;    4.67;   8.6;  31.8;  -6.3;-999;    3;   219.1;   39.9;eor
       1346;20191201;20191231;    3;  4.91;   0.67;    3.20;   -1.52;-999;  10.6;  36.9;  -7.9;-999;-999;-999;   35.7;eor
       1346;20200101;20200131;    1;  4.59;   0.53;    2.98;   -1.85;    5.06;   8.4;  39.7;  -8.1;-999;    3;   133.3;   28.1;eor
       1346;20200201;20200229;    1;  -999;  -0.34;    2.79;   -2.80;    6.52;  10.4;  49.1;  -7.9;  78.93;-999;-999;  102.6;eor
       1346;20200301;20200331;    1;  4.52;  -0.89;    2.01;   -3.60;    5.10;  10.5;  36.8; -10.3; 157.57;    3;   108.9;   40.0;eor
       1346;20200401;20200430;    1;  2.71;   6.65;   10.06;    3.24;    3.77;  15.4;  25.2;  -7.2; 285.58;    1;    29.0;   12.5;eor
       1346;20200501;20200531;    1;  4.21;   6.78;   10.20;    3.52;    4.03;  17.1;  28.7;  -5.8; 226.20;    1;    75.2;   15.5;eor
