Stations_ID;Von_Datum;Bis_Datum;Stationsname;Parameter;Parameterbeschreibung;Einheit;Datenquelle (Strukturversion=SV);Zusatz-Info;Besonderheiten;Literaturhinweis;eor;
1346;19450101;20010331;Feldberg/Schwarzwald;MO_FK;Monatsmittel der Windstärke in Bft;Bft;Klimadaten aus Klimaroutine des DWD (3 Termine: um  07, 14, 21 MOZ, ab 01.01.1987 07:30,14:30,21:30 MEZ) und Tageswerte jeweils nach Beobachteranleitung für Klimastationen (BAK));arithm.Mittel aus Tagesmittelwerten;;;eor;
1346;20010401;20200531;Feldberg/Schwarzwald;MO_FK;Monatsmittel der Windstärke in Bft;Bft;Klimadaten aus der Klimaroutine nach 1.4.2001, generiert aus SYNOP-Meldungen (3 Termine 06, 12, 18 UTC und Tageswerte aus stündlichen Werten oder Beobachtungen an Hauptterminen);arithm.Mittel aus Tagesmittelwerten;;;eor;
1346;19450101;20010331;Feldberg/Schwarzwald;MO_N;Monatsmittel des Bedeckunsgrades;Achtel;Klimadaten aus Klimaroutine des DWD (3 Termine: um  07, 14, 21 MOZ, ab 01.01.1987 07:30,14:30,21:30 MEZ) und Tageswerte jeweils nach Beobachteranleitung für Klimastationen (BAK));arithm.Mittel aus Tagesmittelwerten;;;eor;
1346;20010401;20200531;Feldberg/Schwarzwald;MO_N;Monatsmittel des Bedeckunsgrades;Achtel;Klimadaten aus der Klimaroutine nach 1.4.2001, generiert aus SYNOP-Meldungen (3 Termine 06, 12, 18 UTC und Tageswerte aus stündlichen Werten oder Beobachtungen an Hauptterminen);arithm.Mittel aus Tagesmittelwerten;;;eor;
1346;19260101;19401231;Feldberg/Schwarzwald;MO_RR;Monatssumme der Niederschlagshoehe;mm;Monatswerte (Messnetz=6) ohne Tageswerte;Summe aus Tagessummen;;;eor;
1346;19410101;20010331;Feldberg/Schwarzwald;MO_RR;Monatssumme der Niederschlagshoehe;mm;Niederschlagsdaten aus Niederschlagsroutine des DWD oder Vorgängerdienste bis Einrichtung Nst(A) oder Nst(k) (1 Termin ca 7 MOZ und Tagessummen);Summe aus Tagessummen;;;eor;
1346;20010401;20200531;Feldberg/Schwarzwald;MO_RR;Monatssumme der Niederschlagshoehe;mm;Niederschlagsdaten aus Niederschlagsroutine nach 01.04.2001 Terminwert und Tagessummen generiert aus SYNOP-Meldung des 06 UTC Termins;Summe aus Tagessummen;;;eor;
1346;19450101;20010331;Feldberg/Schwarzwald;MO_SD_S;Monatssumme der Sonnenscheindauer;Stunde;Klimadaten aus Klimaroutine des DWD (3 Termine: um  07, 14, 21 MOZ, ab 01.01.1987 07:30,14:30,21:30 MEZ) und Tageswerte jeweils nach Beobachteranleitung für Klimastationen (BAK));Summe aus Tagessummen;;;eor;
1346;20010401;20200531;Feldberg/Schwarzwald;MO_SD_S;Monatssumme der Sonnenscheindauer;Stunde;Klimadaten aus der Klimaroutine nach 1.4.2001, generiert aus SYNOP-Meldungen (3 Termine 06, 12, 18 UTC und Tageswerte aus stündlichen Werten oder Beobachtungen an Hauptterminen);Summe aus Tagessummen;;;eor;
1346;19210101;19441231;Feldberg/Schwarzwald;MO_TN;Monatsmittel des Lufttemperatur Minimums;°C;Monatswerte (Messnetz=4) ohne Tageswerte.;arithm.Mittel aus Tages-Extremen;;;eor;
1346;19450101;20010331;Feldberg/Schwarzwald;MO_TN;Monatsmittel des Lufttemperatur Minimums;°C;Klimadaten aus Klimaroutine des DWD (3 Termine: um  07, 14, 21 MOZ, ab 01.01.1987 07:30,14:30,21:30 MEZ) und Tageswerte jeweils nach Beobachteranleitung für Klimastationen (BAK));arithm.Mittel aus Tages-Extremen;;;eor;
1346;20010401;20200531;Feldberg/Schwarzwald;MO_TN;Monatsmittel des Lufttemperatur Minimums;°C;Klimadaten aus der Klimaroutine nach 1.4.2001, generiert aus SYNOP-Meldungen (3 Termine 06, 12, 18 UTC und Tageswerte aus stündlichen Werten oder Beobachtungen an Hauptterminen);arithm.Mittel aus Tages-Extremen;;;eor;
1346;19210101;19441231;Feldberg/Schwarzwald;MO_TT;Monatsmittel der Lufttemperatur in 2m Hoehe;°C;Monatswerte (Messnetz=4) ohne Tageswerte.;arithm.Mittel aus Tagesmittelwerten;;;eor;
