GENESIS-Tabelle: 46331-0004;;;;;;;;;
Umgeschlagene Güter (Seeverkehr): Deutschland, Monate,;;;;;;;;;
Güterabteilungen, Hauptverkehrsbeziehungen,;;;;;;;;;
Flagge des Schiffes;;;;;;;;;
Seeverkehrsstatistik;;;;;;;;;
Deutschland;;;;;;;;;
;;;;Umgeschlagene Güter;Umgeschlagene Güter;Umgeschlagene Güter;Umgeschlagene Güter;Umgeschlagene Güter;Umgeschlagene Güter
;;;;Verkehr innerhalb Deutschlands;Verkehr innerhalb Deutschlands;Grenzüberschreitender Versand;Grenzüberschreitender Versand;Grenzüberschreitender Empfang;Grenzüberschreitender Empfang
;;;;Flagge des Schiffes;Flagge des Schiffes;Flagge des Schiffes;Flagge des Schiffes;Flagge des Schiffes;Flagge des Schiffes
;;year;month;Deutschland;Schiffe fremder Flagge;Deutschland;Schiffe fremder Flagge;Deutschland;Schiffe fremder Flagge
;;;;t;t;t;t;t;t
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2011;Oktober;231;945;18789;131340;35789;275880
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2011;November;91;455;19882;117643;27271;247283
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2011;Dezember;45;320;14981;125686;22588;223457
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2012;Januar;103;949;16199;119683;30451;265183
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2012;Februar;34;813;12827;120315;25065;270679
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2012;März;41;515;11883;100149;35296;236405
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2012;April;120;1367;10891;99287;28490;242765
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2012;Mai;199;755;13966;107548;18967;271484
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2012;Juni;36;734;12659;98353;30216;248560
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2012;Juli;73;89;13129;114047;30722;281284
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2012;August;28;165;14430;125678;42196;291876
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2012;September;14;489;18267;128091;30129;256831
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2012;Oktober;330;373;16448;134014;24232;240564
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2012;November;34;241;13667;114238;24220;204948
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2012;Dezember;163;564;14142;128285;25069;186169
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2013;Januar;43;398;13821;114937;25703;255163
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2013;Februar;22;269;20994;118251;23448;237191
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2013;März;29;361;13067;128379;28263;223738
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2013;April;72;1047;18166;120931;22899;216253
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2013;Mai;105;741;14902;122978;26728;235438
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2013;Juni;93;1156;14970;148339;23575;230934
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2013;Juli;98;596;13954;143288;26719;230715
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2013;August;12;329;19635;139837;26301;273844
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2013;September;18;443;16561;141914;24546;234703
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2013;Oktober;19;704;14312;141203;22715;239582
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2013;November;31;1796;10844;112497;29962;222621
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2013;Dezember;26;1682;15497;110186;30331;216419
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2014;Januar;17;1825;10485;111459;20969;246595
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2014;Februar;84;1919;12767;108374;26142;191406
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2014;März;72;2662;12062;110115;15778;202936
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2014;April;33;1135;11213;120866;24040;204954
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2014;Mai;124;1761;14107;119792;20230;200216
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2014;Juni;112;2173;12599;117352;29498;195239
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2014;Juli;76;1251;20007;114450;25435;217531
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2014;August;164;851;18732;116159;26574;210870
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2014;September;71;1744;14183;116070;16732;218074
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2014;Oktober;38;821;20909;113700;24077;197812
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2014;November;91;502;13706;126387;18917;206946
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2014;Dezember;323;2443;13858;95955;11138;158785
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2015;Januar;129;1967;11787;87857;30179;209131
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2015;Februar;307;1867;11810;103746;10935;228574
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2015;März;117;1223;12920;86868;23586;190285
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2015;April;80;911;8167;82872;8205;160381
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2015;Mai;99;673;9194;76943;13333;160002
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2015;Juni;62;586;8666;74311;15603;168622
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2015;Juli;92;458;5313;81763;5063;222012
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2015;August;164;540;7272;70871;23235;185265
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2015;September;33;434;6643;69431;16990;205806
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2015;Oktober;32;520;3921;71302;7664;191838
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2015;November;94;1048;4969;61358;12960;147121
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2015;Dezember;113;1647;6263;64772;18748;178583
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2016;Januar;38;1157;3610;57555;9040;198052
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2016;Februar;40;1558;5577;59182;13828;168727
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2016;März;116;1010;4669;68982;14546;170056
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2016;April;132;491;4102;72837;5679;148485
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2016;Mai;101;719;6780;72858;15119;158520
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2016;Juni;133;436;4599;83616;8069;176595
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2016;Juli;87;321;6105;89670;6132;194239
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2016;August;69;540;10218;83030;21315;195040
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2016;September;152;525;8125;82221;10651;197992
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2016;Oktober;215;854;8836;84254;10196;169716
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2016;November;66;630;9670;79972;14682;172758
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2016;Dezember;505;475;6633;88870;10310;168153
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2017;Januar;128;3213;11760;90057;17521;171542
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2017;Februar;82;893;7983;83728;8118;169703
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2017;März;110;2303;8666;95846;9766;196646
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2017;April;203;1075;10501;98553;12290;168942
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2017;Mai;117;1160;6508;103808;9979;195748
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2017;Juni;68;2043;4806;101863;13826;169159
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2017;Juli;258;1418;5870;106267;8589;193600
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2017;August;52;3439;7625;109164;10152;219333
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2017;September;164;1396;6807;109630;11546;205953
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2017;Oktober;95;1045;5715;99736;10422;175276
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2017;November;70;244;4729;86710;7809;149259
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2017;Dezember;54;1003;6450;98644;17736;163126
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2018;Januar;29;987;6107;94930;9927;179678
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2018;Februar;57;287;5893;85589;3203;178136
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2018;März;130;671;5430;101606;6592;196901
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2018;April;132;640;3883;94755;6599;172703
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2018;Mai;70;516;4124;86547;4242;182359
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2018;Juni;98;115;4595;106727;1279;183174
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2018;Juli;38;732;5454;41382;735;119036
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2018;August;6;260;3531;49689;3619;216408
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2018;September;22;267;6003;41067;857;171650
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2018;Oktober;6;23;6436;44843;872;195318
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2018;November;18;84;5133;35784;946;144305
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2018;Dezember;-;85;5621;35216;575;94120
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2019;Januar;-;69;5272;32882;1122;186979
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2019;Februar;-;666;3718;39392;13238;165757
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2019;März;-;568;5011;45958;877;149665
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2019;April;-;72;3964;32217;7922;90646
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2019;Mai;-;195;4491;38523;4859;158853
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2019;Juni;-;-;6158;38412;4062;161093
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2019;Juli;-;-;6260;47395;7652;201204
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2019;August;19;59;6299;36326;2930;211729
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2019;September;21;-;6538;37943;8914;164867
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2019;Oktober;-;-;3660;34118;1068;97505
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2019;November;-;-;3767;28495;6798;132983
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2019;Dezember;-;-;4278;36758;410;95786
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2020;Januar;-;-;4781;38336;654;196347
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2020;Februar;-;-;3788;32584;8290;166733
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2020;März;...;...;...;...;...;...
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2020;April;...;...;...;...;...;...
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2020;Mai;...;...;...;...;...;...
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2020;Juni;...;...;...;...;...;...
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2020;Juli;...;...;...;...;...;...
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2020;August;...;...;...;...;...;...
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2020;September;...;...;...;...;...;...
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2020;Oktober;...;...;...;...;...;...
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2020;November;...;...;...;...;...;...
NST7-05;Textilien, Bekleidung, Leder und Lederwaren;2020;Dezember;...;...;...;...;...;...
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2011;Januar;511;3642;57091;549587;91213;791327
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2011;Februar;891;3703;40481;393933;86254;744238
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2011;März;2914;1488;51045;449373;89848;699453
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2011;April;377;6249;48672;479382;79781;814140
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2011;Mai;253;14732;46831;506092;104133;790610
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2011;Juni;126;15337;50076;456394;93141;716262
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2011;Juli;933;4519;66701;535993;99012;799345
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2011;August;184;3691;58153;487927;91161;752115
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2011;September;188;3218;35535;485437;77438;720007
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2011;Oktober;223;5729;50791;542202;75104;703933
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2011;November;36;1983;35411;550242;69531;676478
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2011;Dezember;187;3084;54613;572684;62950;701104
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2012;Januar;205;6067;57470;552937;50637;755412
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2012;Februar;31;5698;31652;556648;57345;673630
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2012;März;173;4971;65969;556612;55372;774957
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2012;April;358;6496;45545;553117;40746;704437
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2012;Mai;500;4350;32456;510760;37491;741793
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2012;Juni;200;4290;48579;541631;45463;730797
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2012;Juli;1004;4452;34149;566881;40905;777828
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2012;August;1669;2578;51881;615720;53107;838162
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2012;September;8;5199;67411;569227;49729;767703
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2012;Oktober;248;2734;67806;699028;35670;871642
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2012;November;139;2355;56348;640025;32625;816208
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2012;Dezember;997;4290;59399;616815;31736;652879
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2013;Januar;105;6783;49006;659232;47450;841642
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2013;Februar;56;14104;58386;608290;24510;679371
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2013;März;792;3647;43290;640806;36214;664263
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2013;April;1302;3480;76121;741382;45569;879314
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2013;Mai;358;7899;68911;748800;41339;849188
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2013;Juni;184;4715;47888;660586;29353;667276
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2013;Juli;243;5394;43451;630210;33626;668959
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2013;August;5;1667;59587;791778;42120;856932
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2013;September;15;4385;47981;591500;31021;707654
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2013;Oktober;154;10084;35765;665982;52792;730629
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2013;November;5;6294;83354;731535;64838;788568
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2013;Dezember;32;2979;59366;740929;66212;797727
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2014;Januar;-;6292;45839;679374;44363;817150
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2014;Februar;46;2944;39212;327073;29521;690708
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2014;März;388;4211;49440;554703;42862;985583
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2014;April;55;1729;48825;548133;49645;897836
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2014;Mai;205;2333;39740;401961;37132;730860
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2014;Juni;107;11720;29616;347831;30968;750079
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2014;Juli;425;3180;67847;543173;38813;888000
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2014;August;431;2056;41343;366158;40834;764973
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2014;September;209;2617;38395;545195;35092;910675
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2014;Oktober;99;2760;59797;387899;54141;768055
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2014;November;139;2328;43153;532397;44550;649873
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2014;Dezember;246;2806;38178;507642;53644;880594
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2015;Januar;162;2603;56402;506582;43378;840932
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2015;Februar;330;2050;48989;685891;43614;796219
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2015;März;364;3477;81166;675597;53879;939044
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2015;April;273;2788;41229;766662;49545;861305
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2015;Mai;214;2568;77056;739764;47671;907836
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2015;Juni;186;2098;61874;771913;46367;856847
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2015;Juli;324;1900;37069;900126;35844;914242
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2015;August;820;2514;77285;771049;45538;874441
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2015;September;90;2585;73048;805772;37252;829127
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2015;Oktober;252;6020;39811;895125;39771;850553
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2015;November;126;2716;63427;794422;31257;822052
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2015;Dezember;252;2745;86679;928459;39683;867596
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2016;Januar;338;3905;30150;790322;40599;822124
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2016;Februar;560;3319;74754;865714;27074;854178
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2016;März;645;2355;52993;942137;36521;783390
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2016;April;578;6357;42162;1085044;48626;829230
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2016;Mai;342;5276;113027;904094;40327;798262
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2016;Juni;358;5484;50614;1011994;35603;808831
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2016;Juli;619;2674;36821;966362;29308;869119
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2016;August;424;3776;108482;849168;32199;841653
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2016;September;817;4814;57383;903878;32203;816558
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2016;Oktober;433;4195;65461;887851;27152;889100
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2016;November;307;4634;92350;804828;34946;910275
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2016;Dezember;904;5385;58055;919175;37212;885974
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2017;Januar;1625;10881;108308;875443;46240;865969
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2017;Februar;244;4604;67118;787628;34782;843984
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2017;März;384;8897;86843;888754;40123;935750
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2017;April;1183;4727;83332;866715;41223;846169
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2017;Mai;437;4852;73010;835783;28647;873075
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2017;Juni;1022;3939;58094;804440;35436;730407
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2017;Juli;852;6241;61647;851764;39783;899282
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2017;August;315;4441;69057;883856;38303;782247
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2017;September;462;3044;55491;842585;51088;746393
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2017;Oktober;399;1275;58314;863857;31880;792614
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2017;November;2668;5038;53683;809478;37147;731509
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2017;Dezember;725;3034;67918;926481;26687;841054
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2018;Januar;1013;5464;55082;756660;34808;832746
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2018;Februar;680;13120;39857;829248;41660;777784
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2018;März;184;8815;43828;920500;32839;849362
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2018;April;725;11700;29150;909683;43103;888291
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2018;Mai;606;10088;34297;871069;53547;818026
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2018;Juni;1959;1716;23751;994810;41133;847903
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2018;Juli;1883;20548;24256;770130;56891;802121
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2018;August;681;26513;30435;905268;57510;782776
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2018;September;557;17754;25914;814221;51223;797745
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2018;Oktober;1289;13809;26333;805429;53135;680583
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2018;November;1726;22929;29057;901889;61801;774674
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2018;Dezember;181;8190;26153;768590;67569;719633
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2019;Januar;442;2328;16976;758640;57718;824979
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2019;Februar;658;17508;52994;937317;51968;851075
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2019;März;294;15175;28169;1150136;55769;943721
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2019;April;147;13952;43177;844044;53792;808578
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2019;Mai;138;446;20671;1044357;48256;846874
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2019;Juni;286;3225;32705;1103286;49312;785967
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2019;Juli;351;3992;43571;1182754;47325;860117
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2019;August;369;6159;38776;1121978;54572;884207
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2019;September;1537;2568;35591;1091503;49637;810248
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2019;Oktober;135;5008;35053;835455;57824;789297
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2019;November;1173;7460;42698;1136955;37825;763536
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2019;Dezember;202;2737;25538;751959;43576;763210
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2020;Januar;35;14032;20243;1063759;44767;781972
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2020;Februar;1152;9961;26617;920592;39158;627666
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2020;März;...;...;...;...;...;...
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2020;April;...;...;...;...;...;...
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2020;Mai;...;...;...;...;...;...
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2020;Juni;...;...;...;...;...;...
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2020;Juli;...;...;...;...;...;...
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2020;August;...;...;...;...;...;...
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2020;September;...;...;...;...;...;...
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2020;Oktober;...;...;...;...;...;...
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2020;November;...;...;...;...;...;...
NST7-06;Holzwaren, Papier, Pappe, Druckerzeugnisse;2020;Dezember;...;...;...;...;...;...
NST7-07;Kokerei- und Mineralölerzeugnisse;2011;Januar;19066;123305;25816;369645;112755;773558
NST7-07;Kokerei- und Mineralölerzeugnisse;2011;Februar;31264;85973;15233;264617;37778;800236
NST7-07;Kokerei- und Mineralölerzeugnisse;2011;März;36831;71934;18999;265973;24739;867924
NST7-07;Kokerei- und Mineralölerzeugnisse;2011;April;28103;41494;8689;209865;98677;603397
NST7-07;Kokerei- und Mineralölerzeugnisse;2011;Mai;20182;39797;9189;257094;82911;867262
NST7-07;Kokerei- und Mineralölerzeugnisse;2011;Juni;27947;34654;18807;250041;37700;533189
NST7-07;Kokerei- und Mineralölerzeugnisse;2011;Juli;51101;37479;10610;287447;262729;753528
NST7-07;Kokerei- und Mineralölerzeugnisse;2011;August;30184;39522;10536;212541;3631;971429
NST7-07;Kokerei- und Mineralölerzeugnisse;2011;September;33995;61662;6230;254802;3648;757919
NST7-07;Kokerei- und Mineralölerzeugnisse;2011;Oktober;26299;97758;12857;217828;20084;747548
NST7-07;Kokerei- und Mineralölerzeugnisse;2011;November;38534;57178;10689;320938;67513;996065
NST7-07;Kokerei- und Mineralölerzeugnisse;2011;Dezember;35884;66123;17164;323143;90770;761263
NST7-07;Kokerei- und Mineralölerzeugnisse;2012;Januar;19525;89948;7518;211806;16096;700066
NST7-07;Kokerei- und Mineralölerzeugnisse;2012;Februar;19613;196533;8860;287630;86964;513972
NST7-07;Kokerei- und Mineralölerzeugnisse;2012;März;21867;125586;6693;231776;120300;482779
NST7-07;Kokerei- und Mineralölerzeugnisse;2012;April;23781;115611;28581;281036;29730;621191
NST7-07;Kokerei- und Mineralölerzeugnisse;2012;Mai;40922;168189;19560;215480;47994;501642
NST7-07;Kokerei- und Mineralölerzeugnisse;2012;Juni;47047;141339;23476;230528;42267;572554
NST7-07;Kokerei- und Mineralölerzeugnisse;2012;Juli;24661;149340;7341;284226;128232;642578
NST7-07;Kokerei- und Mineralölerzeugnisse;2012;August;21086;144227;16898;290664;65621;630303
NST7-07;Kokerei- und Mineralölerzeugnisse;2012;September;22424;56834;24935;419850;103459;481919
