GENESIS-Tabelle: 46331-0004;;;;;;;;;
Umgeschlagene Güter (Seeverkehr): Deutschland, Monate,;;;;;;;;;
Güterabteilungen, Hauptverkehrsbeziehungen,;;;;;;;;;
Flagge des Schiffes;;;;;;;;;
Seeverkehrsstatistik;;;;;;;;;
Deutschland;;;;;;;;;
;;;;Umgeschlagene Güter;Umgeschlagene Güter;Umgeschlagene Güter;Umgeschlagene Güter;Umgeschlagene Güter;Umgeschlagene Güter
;;;;Verkehr innerhalb Deutschlands;Verkehr innerhalb Deutschlands;Grenzüberschreitender Versand;Grenzüberschreitender Versand;Grenzüberschreitender Empfang;Grenzüberschreitender Empfang
;;;;Flagge des Schiffes;Flagge des Schiffes;Flagge des Schiffes;Flagge des Schiffes;Flagge des Schiffes;Flagge des Schiffes
;;year;month;Deutschland;Schiffe fremder Flagge;Deutschland;Schiffe fremder Flagge;Deutschland;Schiffe fremder Flagge
;;;;t;t;t;t;t;t
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2014;November;14565;36082;18571;751297;41356;993474
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2014;Dezember;7949;45166;14789;698475;57774;1150010
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2015;Januar;11438;46802;17914;991019;63470;1049914
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2015;Februar;6953;50224;15316;1372639;41063;959831
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2015;März;17312;95325;21882;1502242;79432;1185407
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2015;April;24728;71041;16013;1522678;50769;1108605
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2015;Mai;14860;49247;19375;1262117;63568;1049467
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2015;Juni;5091;9748;17364;824257;59289;979280
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2015;Juli;4910;30076;22261;814958;55411;993182
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2015;August;11009;17694;29712;460074;63533;974230
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2015;September;12839;22095;19495;421538;54061;959458
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2015;Oktober;9069;18870;14117;679117;59096;1162765
