date,heating_oil_price_in_usd
2007-03,66.79
2007-04,66.35
2007-05,66.61500000000001
2007-06,67.545
2007-07,67.33500000000001
2007-08,69.11
2007-09,69.17
2007-10,65.44
2007-11,69.19466666666668
2007-12,68.954
2008-01,70.3008695652174
2008-02,74.79238095238097
2008-03,76.87954545454546
2008-04,81.47434782608694
2008-05,90.1531818181818
2008-06,93.1425
2008-07,89.60304347826084
2008-08,80.74136363636363
2008-09,77.75949999999999
2008-10,62.660833333333336
2008-11,60.256818181818176
2008-12,50.73809523809524
2009-01,39.940909090909095
2009-02,37.698095238095235
2009-03,39.562272727272735
2009-04,39.319545454545455
2009-05,41.925714285714285
2009-06,45.88809523809524
2009-07,44.88130434782609
2009-08,47.80047619047618
2009-09,45.56999999999999
2009-10,50.199130434782624
2009-11,50.058
2009-12,49.6647619047619
2010-01,54.32608695652175
2010-02,54.997894736842106
2010-03,56.639523809523794
2010-04,58.58272727272726
2010-05,54.28772727272728
2010-06,56.3352380952381
2010-07,55.19954545454546
2010-08,54.89260869565215
2010-09,56.7995652173913
2010-10,58.84095238095237
2010-11,59.53150000000001
2010-12,62.583333333333336
2011-01,73.84500000000001
2011-02,76.88684210526317
2011-03,79.44954545454546
2011-04,81.80636363636361
2011-05,77.23047619047618
2011-06,77.45272727272726
2011-07,80.56739130434781
2011-08,79.07318181818181
2011-09,77.23954545454545
2011-10,78.97999999999999
2011-11,79.48227272727273
2011-12,76.61545454545454
2012-01,80.13000000000001
2012-02,82.8618181818182
2012-03,83.55782608695652
2012-04,81.6615
2012-05,76.7678260869565
2012-06,73.36521739130436
2012-07,77.03333333333333
2012-08,81.59272727272727
2012-09,82.13904761904762
2012-10,81.26318181818182
2012-11,79.78727272727274
2012-12,79.73772727272728
2013-01,80.00304347826086
2013-02,81.36200000000001
2013-03,79.205
2013-04,76.51772727272727
2013-05,77.28250000000001
2013-06,77.76200000000001
2013-07,79.96619047619048
2013-08,80.91869565217392
2013-09,79.47849999999998
2013-10,78.94090909090912
2013-11,79.1004347826087
2013-12,79.89000000000001
2014-01,77.07478260869564
2014-02,77.61899999999999
2014-03,75.66260869565218
2014-04,76.65909090909092
2014-05,75.97090909090906
2014-06,78.05850000000001
2014-07,76.01217391304347
2014-08,74.36238095238096
2014-09,71.97149999999999
2014-10,68.486
2014-11,66.62428571428572
2014-12,60.35222222222222
2015-01,43.29176470588236
2015-02,47.6085
2015-03,45.13449999999999
2015-04,47.848571428571425
2015-05,49.45666666666666
2015-06,48.113499999999995
2015-07,43.55521739130434
2015-08,41.65571428571428
2015-09,41.95043478260869
2015-10,40.98869565217392
2015-11,39.6115
2015-12,36.017999999999994
2016-01,29.693181818181813
2016-02,31.306315789473686
2016-03,33.065000000000005
2016-04,34.085714285714275
2016-05,37.3905
2016-06,38.43045454545455
2016-07,36.025454545454544
2016-08,37.51826086956522
2016-09,37.215909090909086
2016-10,39.227
2016-11,36.960952380952385
2016-12,40.841818181818184
2017-01,43.6115
2017-02,43.34894736842105
2017-03,41.24916666666666
2017-04,42.37588235294117
2017-05,42.005500000000005
2017-06,40.257916666666674
2017-07,42.238181818181815
2017-08,43.300000000000004
2017-09,45.97333333333333
2017-10,46.1009090909091
2017-11,48.363809523809515
2017-12,48.626000000000005
2018-01,55.4975
2018-02,53.0095
2018-03,53.26800000000001
2018-04,56.10105263157895
2018-05,57.690000000000005
2018-06,55.61636363636364
2018-07,55.67857142857144
2018-08,56.64478260869566
2018-09,57.951428571428565
2018-10,59.081428571428575
2018-11,53.614761904761906
2018-12,50.13590909090908
2019-01,50.486666666666665
2019-02,51.88333333333333
2019-03,51.38142857142857
2019-04,52.9055
2019-05,52.271739130434796
2019-06,50.1695
2019-07,50.30714285714286
2019-08,49.44173913043478
2019-09,51.6665
2019-10,51.402608695652184
2019-11,50.79714285714286
2019-12,52.315238095238115
2020-01,43.014117647058825
2020-02,41.287333333333336
2020-03,30.635555555555552
2020-04,23.691666666666663
2020-05,27.44375
2020-06,33.987
2020-07,36.5875
2020-08,32.9525
2020-09,34.6075
2020-10,39.3875
2020-11,31.84
2020-12,31.54
