area,year,month,Arbeitslose,Arbeitslose_quote_allerZivil,Arbeitslose_quote_abhZivil,gemeldeteArbeitsstellen,Kurzarbeiter,Kurzarbeitsbetriebe
Neue Länder,2013-08,08,838770,"9,9","11,1",87751,15827,1459
Neue Länder,2013-09,09,811608,"9,6","10,8",88288,15776,1202
Neue Länder,2013-10,10,802895,"9,5","10,7",88481,17178,1076
Neue Länder,2013-11,11,810123,"9,6","10,8",86658,14018,1041
Neue Länder,2013-12,12,839528,"9,9","11,1",83313,44058,4872
Neue Länder,2014-01,01,928428,11,"12,3",81112,84470,9612
Neue Länder,2014-02,02,927706,11,"12,3",88184,104355,9234
Neue Länder,2014-03,03,895178,"10,6","11,9",94186,49883,6798
Neue Länder,2014-04,04,849656,10,"11,3",95049,14405,1186
Neue Länder,2014-05,05,821006,"9,7","10,9",93865,12811,1018
Neue Länder,2014-06,06,798746,"9,5","10,6",96672,10948,892
Neue Länder,2014-07,07,795775,"9,4","10,6",96909,8960,805
Neue Länder,2014-08,08,797022,"9,4","10,6",98440,8350,732
Neue Länder,2014-09,09,770628,"9,1","10,3",98312,8453,718
Neue Länder,2014-10,10,758370,9,"10,1",97101,9004,707
Neue Länder,2014-11,11,760053,9,"10,1",98073,9427,754
Neue Länder,2014-12,12,783448,"9,3","10,4",95378,40847,5335
Neue Länder,2015-01,01,871146,"10,3","11,6",94245,70329,9055
Neue Länder,2015-02,02,864030,"10,2","11,5",101086,77077,9778
Neue Länder,2015-03,03,834241,"9,9","11,1",105698,59590,8312
Neue Länder,2015-04,04,798957,"9,5","10,6",106059,11400,1048
Neue Länder,2015-05,05,766572,"9,1","10,2",106656,9177,891
Neue Länder,2015-06,06,742429,"8,8","9,9",109084,9844,857
Neue Länder,2015-07,07,754127,9,10,111636,7401,745
Neue Länder,2015-08,08,753543,9,10,113477,5861,620
Neue Länder,2015-09,09,729464,"8,7","9,7",114581,8669,590
Neue Länder,2015-10,10,719399,"8,6","9,6",119372,10177,626
Neue Länder,2015-11,11,717411,"8,5","9,5",118536,10128,691
Neue Länder,2015-12,12,738619,"8,8","9,8",115202,35434,4634
Neue Länder,2016-01,01,808966,"9,6","10,7",114949,78963,10125
Neue Länder,2016-02,02,803719,"9,6","10,7",121909,74838,9589
Neue Länder,2016-03,03,779617,"9,3","10,4",126239,58967,8000
Neue Länder,2016-04,04,739726,"8,8","9,8",127028,11842,871
Neue Länder,2016-05,05,709149,"8,4","9,4",127909,10744,697
Neue Länder,2016-06,06,686460,"8,2","9,1",129306,9650,636
Neue Länder,2016-07,07,690495,"8,2","9,2",128914,6089,508
Neue Länder,2016-08,08,686649,"8,2","9,1",131966,9633,526
Neue Länder,2016-09,09,665532,"7,9","8,8",131326,9139,498
Neue Länder,2016-10,10,651530,"7,7","8,6",131046,9346,472
Neue Länder,2016-11,11,654527,"7,8","8,7",129294,9569,526
Neue Länder,2016-12,12,671263,8,"8,9",127465,39195,5657
Neue Länder,2017-01,01,729654,"8,7","9,7",125795,79523,10536
Neue Länder,2017-02,02,722699,"8,6","9,6",131770,82143,10510
Neue Länder,2017-03,03,688026,"8,2","9,1",135065,44843,7091
Neue Länder,2017-04,04,651985,"7,7","8,6",136467,7496,478
Neue Länder,2017-05,05,626624,"7,4","8,3",136620,6772,429
Neue Länder,2017-06,06,615512,"7,3","8,1",138400,5991,391
Neue Länder,2017-07,07,620612,"7,4","8,2",140697,5477,358
Neue Länder,2017-08,08,622085,"7,4","8,2",142586,6816,351
Neue Länder,2017-09,09,601622,"7,1","7,9",144319,6405,328
Neue Länder,2017-10,10,591906,7,"7,8",145434,6368,292
Neue Länder,2017-11,11,589566,7,"7,8",145117,6908,311
Neue Länder,2017-12,12,602227,"7,1",8,143469,34228,5130
Neue Länder,2018-01,01,651960,"7,7","8,6",140721,64979,8676
Neue Länder,2018-02,02,646549,"7,7","8,5",146334,81693,10435
Neue Länder,2018-03,03,624291,"7,4","8,2",148664,78609,10202
Neue Länder,2018-04,04,597993,"7,1","7,9",149894,3803,315
Neue Länder,2018-05,05,577129,"6,8","7,6",151733,2631,254
Neue Länder,2018-06,06,562568,"6,6","7,4",152858,2904,260
Neue Länder,2018-07,07,571972,"6,8","7,5",153139,4421,258
Neue Länder,2018-08,08,572251,"6,8","7,5",153473,10665,294
Neue Länder,2018-09,09,549651,"6,5","7,2",153041,8530,269
Neue Länder,2018-10,10,539266,"6,4","7,1",149843,8555,281
Neue Länder,2018-11,11,535719,"6,3",7,148491,9452,329
Neue Länder,2018-12,12,548107,"6,5","7,2",145127,37950,5092
Neue Länder,2019-01,01,599130,"7,1","7,9",142731,78832,9897
Neue Länder,2019-02,02,591149,7,"7,8",151595,73758,9307
Neue Länder,2019-03,03,567987,"6,7","7,5",156826,50328,7185
Neue Länder,2019-04,04,541283,"6,4","7,1",154639,9634,412
Neue Länder,2019-05,05,537687,"6,3",7,152906,10672,403
Neue Länder,2019-06,06,528653,"6,2","6,9",153830,9060,391
Neue Länder,2019-07,07,538246,"6,3",7,154414,10636,404
Neue Länder,2019-08,08,540858,"6,4","7,1",152347,13444,460
Neue Länder,2019-09,09,521488,"6,1","6,8",150644,13468,499
Neue Länder,2019-10,10,517980,"6,1","6,8",149269,15157,577
Neue Länder,2019-11,11,512791,6,"6,7",144890,16362,653
Neue Länder,2019-12,12,526679,"6,2","6,9",136631,...,...
Neue Länder,2020-01,01,572880,"6,8","7,5",134870,...,...
Neue Länder,2020-02,02,564181,"6,6","7,4",139743,...,...
Neue Länder,2020-03,03,546439,"6,4","7,1",143681,...,...
Neue Länder,2020-04,04,615324,"7,3",8,132552,...,...
Neue Länder,2020-05,05,652641,"7,7","8,5",126007,...,...
Neue Länder,2020-06,06,...,...,...,...,...,...
Neue Länder,2020-07,07,...,...,...,...,...,...
Neue Länder,2020-08,08,...,...,...,...,...,...
Neue Länder,2020-09,09,...,...,...,...,...,...
Neue Länder,2020-10,10,...,...,...,...,...,...
Neue Länder,2020-11,11,...,...,...,...,...,...
Neue Länder,2020-12,12,...,...,...,...,...,...
