buisnesstype,date,Originalwerte
"Hotels, Gasthöfe und Pensionen",1999-01,"91,6"
"Hotels, Gasthöfe und Pensionen",1999-02,"93,4"
"Hotels, Gasthöfe und Pensionen",1999-03,"106,2"
"Hotels, Gasthöfe und Pensionen",1999-04,"105,5"
"Hotels, Gasthöfe und Pensionen",1999-05,"127,4"
"Hotels, Gasthöfe und Pensionen",1999-06,"121,6"
"Hotels, Gasthöfe und Pensionen",1999-07,"113,3"
"Hotels, Gasthöfe und Pensionen",1999-08,"118,3"
"Hotels, Gasthöfe und Pensionen",1999-09,"139,6"
"Hotels, Gasthöfe und Pensionen",1999-10,"132,9"
"Hotels, Gasthöfe und Pensionen",1999-11,"109,7"
"Hotels, Gasthöfe und Pensionen",1999-12,"111,8"
"Hotels, Gasthöfe und Pensionen",2000-01,"92,9"
"Hotels, Gasthöfe und Pensionen",2000-02,"100,4"
"Hotels, Gasthöfe und Pensionen",2000-03,110
"Hotels, Gasthöfe und Pensionen",2000-04,111
"Hotels, Gasthöfe und Pensionen",2000-05,"140,4"
"Hotels, Gasthöfe und Pensionen",2000-06,"134,3"
"Hotels, Gasthöfe und Pensionen",2000-07,"127,6"
"Hotels, Gasthöfe und Pensionen",2000-08,"131,9"
"Hotels, Gasthöfe und Pensionen",2000-09,"153,7"
"Hotels, Gasthöfe und Pensionen",2000-10,"141,1"
"Hotels, Gasthöfe und Pensionen",2000-11,"112,7"
"Hotels, Gasthöfe und Pensionen",2000-12,"112,7"
"Hotels, Gasthöfe und Pensionen",2001-01,"97,5"
"Hotels, Gasthöfe und Pensionen",2001-02,"96,2"
"Hotels, Gasthöfe und Pensionen",2001-03,"113,6"
"Hotels, Gasthöfe und Pensionen",2001-04,"112,1"
"Hotels, Gasthöfe und Pensionen",2001-05,"137,2"
"Hotels, Gasthöfe und Pensionen",2001-06,"130,7"
"Hotels, Gasthöfe und Pensionen",2001-07,"126,7"
"Hotels, Gasthöfe und Pensionen",2001-08,"129,3"
"Hotels, Gasthöfe und Pensionen",2001-09,"142,9"
"Hotels, Gasthöfe und Pensionen",2001-10,"135,8"
"Hotels, Gasthöfe und Pensionen",2001-11,"110,9"
"Hotels, Gasthöfe und Pensionen",2001-12,108
"Hotels, Gasthöfe und Pensionen",2002-01,"92,6"
"Hotels, Gasthöfe und Pensionen",2002-02,"93,7"
"Hotels, Gasthöfe und Pensionen",2002-03,"105,1"
"Hotels, Gasthöfe und Pensionen",2002-04,"111,1"
"Hotels, Gasthöfe und Pensionen",2002-05,"122,6"
"Hotels, Gasthöfe und Pensionen",2002-06,"123,1"
"Hotels, Gasthöfe und Pensionen",2002-07,"117,5"
"Hotels, Gasthöfe und Pensionen",2002-08,"120,7"
"Hotels, Gasthöfe und Pensionen",2002-09,"135,4"
"Hotels, Gasthöfe und Pensionen",2002-10,"123,9"
"Hotels, Gasthöfe und Pensionen",2002-11,"100,7"
"Hotels, Gasthöfe und Pensionen",2002-12,"96,8"
"Hotels, Gasthöfe und Pensionen",2003-01,"82,7"
"Hotels, Gasthöfe und Pensionen",2003-02,"84,9"
"Hotels, Gasthöfe und Pensionen",2003-03,"96,7"
"Hotels, Gasthöfe und Pensionen",2003-04,"96,5"
"Hotels, Gasthöfe und Pensionen",2003-05,"117,7"
"Hotels, Gasthöfe und Pensionen",2003-06,113
"Hotels, Gasthöfe und Pensionen",2003-07,"106,3"
"Hotels, Gasthöfe und Pensionen",2003-08,"109,2"
"Hotels, Gasthöfe und Pensionen",2003-09,124
"Hotels, Gasthöfe und Pensionen",2003-10,"118,5"
"Hotels, Gasthöfe und Pensionen",2003-11,96
"Hotels, Gasthöfe und Pensionen",2003-12,95
"Hotels, Gasthöfe und Pensionen",2004-01,"78,7"
"Hotels, Gasthöfe und Pensionen",2004-02,"85,4"
"Hotels, Gasthöfe und Pensionen",2004-03,"97,4"
"Hotels, Gasthöfe und Pensionen",2004-04,"99,4"
"Hotels, Gasthöfe und Pensionen",2004-05,121
"Hotels, Gasthöfe und Pensionen",2004-06,"111,5"
