date,Originalwerte
2019-03,"109,4"
2019-04,"112,5"
2019-05,"111,3"
2019-06,"107,7"
2019-07,"112,6"
2019-08,"109,2"
2019-09,"105,8"
2019-10,"113,1"
2019-11,"119,8"
2019-12,"126,4"
2020-01,"105,3"
2020-02,"104,3"
2020-03,"109,6"
2020-04,"105,3"
2020-05,...
2020-06,...
2020-07,...
2020-08,...
2020-09,...
2020-10,...
2020-11,...
2020-12,...
