Date,Close
2008-06,6716
2008-07,6341
2008-08,6421
2008-09,6135
2008-10,4946
2008-11,4691
2008-12,4657
2009-01,4534
2009-02,4265
2009-03,3969
2009-04,4519
2009-05,4886
2009-06,4930
2009-07,4949
2009-08,5395
2009-09,5583
2009-10,5680
2009-11,5642
2009-12,5836
2010-01,5863
2010-02,5586
2010-03,5965
2010-04,6215
2010-05,5966
2010-06,6080
2010-07,6061
2010-08,6122
2010-09,6214
2010-10,6436
2010-11,6744
2010-12,6991
2011-01,7039
2011-02,7294
2011-03,6952
2011-04,7227
2011-05,7330
2011-06,7158
2011-07,7292
2011-08,5923
2011-09,5402
2011-10,5896
2011-11,5826
2011-12,5867
2012-01,6278
2012-02,6789
2012-03,6966
2012-04,6731
2012-05,6424
2012-06,6184
2012-07,6549
2012-08,6949
2012-09,7274
2012-10,7286
2012-11,7238
2012-12,7576
2013-01,7747
2013-02,7666
2013-03,7913
2013-04,7723
2013-05,8317
2013-06,8089
2013-07,8161
2013-08,8332
2013-09,8497
2013-10,8809
2013-11,9170
2013-12,9235
2014-01,9516
2014-02,9507
2014-03,9339
2014-04,9489
2014-05,9709
2014-06,9927
2014-07,9751
2014-08,9273
2014-09,9638
2014-10,8971
2014-11,9490
2014-12,9812
2015-01,10138
2015-02,10977
2015-03,11784
2015-04,11956
2015-05,11599
2015-06,11236
2015-07,11288
2015-08,10817
2015-09,9953
2015-10,10222
2015-11,10986
2015-12,10673
2016-01,9827
2016-02,9291
2016-03,9859
2016-04,10023
2016-05,10010
2016-06,9859
2016-07,9960
2016-08,10530
2016-09,10504
2016-10,10624
2016-11,10595
2016-12,11214
2017-01,11620
2017-02,11745
2017-03,12047
2017-04,12232
2017-05,12661
2017-06,12710
2017-07,12397
2017-08,12153
2017-09,12479
2017-10,13012
2017-11,13159
2017-12,13079
2018-01,13270
2018-02,12459
2018-03,12165
2018-04,12411
2018-05,12911
2018-06,12667
2018-07,12581
2018-08,12458
2018-09,12185
2018-10,11659
2018-11,11359
2018-12,10834
2019-01,10968
2019-02,11280
2019-03,11542
2019-04,12067
2019-05,12079
2019-06,12164
2019-07,12406
2019-08,11719
2019-09,12285
2019-10,12538
2019-11,13200
2019-12,13193
2020-01,13370
2020-02,13330
2020-03,10034
2020-04,10374
2020-05,10993
2020-06,12351
