GENESIS-Tabelle: 45212-0004
Umsatz im Einzelhandel (real/nominal) (Messzahlen und;;;;;
Veränderungsraten): Deutschland, Monate/Quartale/Halbjahre,;;;;;
Wirtschaftszweige;;;;;
Monatsstatistik im Einzelhandel;;;;;
Deutschland;;;;;
;;;;Preisarten;Preisarten
;;;;in konstanten Preisen;in konstanten Preisen
;;;;Umsatz;Veränderung zur Vorjahresperiode
;;;;2015=100;in (%)
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);1999;Januar;87,4;-2,2
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);1999;Februar;84,5;+1,0
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);1999;März;102,6;+4,9
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);1999;April;93,4;-2,7
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);1999;Mai;91,7;-2,3
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);1999;Juni;91,5;+2,5
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);1999;Juli;95,5;-1,4
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);1999;August;89,7;+0,6
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);1999;September;91,9;-2,3
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);1999;Oktober;99,3;-1,0
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);1999;November;102,7;+0,5
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);1999;Dezember;120,6;+0,1
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2000;Januar;86,0;-1,6
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2000;Februar;88,7;+5,0
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2000;März;98,5;-4,0
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2000;April;96,1;+2,9
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2000;Mai;100,6;+9,7
