GENESIS-Tabelle: 45212-0004
Umsatz im Einzelhandel (real/nominal) (Messzahlen und;;;;;
Veränderungsraten): Deutschland, Monate/Quartale/Halbjahre,;;;;;
Wirtschaftszweige;;;;;
Monatsstatistik im Einzelhandel;;;;;
Deutschland;;;;;
;;;;Preisarten;Preisarten
;;;;in konstanten Preisen;in konstanten Preisen
;;;;Umsatz;Veränderung zur Vorjahresperiode
;;;;2015=100;in (%)
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2015;Januar;92,3;+2,6
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2015;Februar;87,1;+2,7
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2015;März;99,9;+4,4
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2015;April;98,5;+0,4
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2015;Mai;97,6;+0,4
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2015;Juni;98,9;+7,2
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2015;Juli;103,0;+6,1
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2015;August;95,8;+3,2
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2015;September;98,4;+4,9
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2015;Oktober;104,4;+3,9
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2015;November;103,0;+4,4
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2015;Dezember;121,0;+5,8
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2016;Januar;92,6;+0,3
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2016;Februar;93,4;+7,2
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2016;März;102,3;+2,4
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2016;April;103,1;+4,7
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2016;Mai;100,4;+2,9
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2016;Juni;101,5;+2,6
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2016;Juli;101,3;-1,7
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2016;August;100,0;+4,4
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2016;September;99,5;+1,1
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2016;Oktober;104,6;+0,2
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2016;November;107,9;+4,8
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2016;Dezember;124,1;+2,6
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2017;Januar;96,1;+3,8
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2017;Februar;92,0;-1,5
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2017;März;108,1;+5,7
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2017;April;104,0;+0,9
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2017;Mai;107,3;+6,9
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2017;Juni;104,7;+3,2
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2017;Juli;104,5;+3,2
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2017;August;103,1;+3,1
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2017;September;104,6;+5,1
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2017;Oktober;104,0;-0,6
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2017;November;113,3;+5,0
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2017;Dezember;124,8;+0,6
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2018;Januar;98,7;+2,7
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2018;Februar;93,4;+1,5
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2018;März;110,5;+2,2
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2018;April;106,4;+2,3
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2018;Mai;106,7;-0,6
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2018;Juni;109,0;+4,1
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2018;Juli;106,4;+1,8
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2018;August;105,5;+2,3
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2018;September;101,8;-2,7
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2018;Oktober;110,8;+6,5
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2018;November;116,1;+2,5
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2018;Dezember;123,5;-1,0
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2019;Januar;102,4;+3,7
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2019;Februar;97,8;+4,7
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2019;März;109,4;-1,0
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2019;April;112,5;+5,7
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2019;Mai;111,3;+4,3
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2019;Juni;107,7;-1,2
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2019;Juli;112,6;+5,8
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2019;August;109,2;+3,5
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2019;September;105,8;+3,9
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2019;Oktober;113,1;+2,1
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2019;November;119,8;+3,2
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2019;Dezember;126,4;+2,3
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2020;Januar;105,3;+2,8
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2020;Februar;104,3;+6,6
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2020;März;109,6;+0,2
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2020;April;105,3;-6,4
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2020;Mai;...;...
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2020;Juni;...;...
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2020;Juli;...;...
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2020;August;...;...
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2020;September;...;...
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2020;Oktober;...;...
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2020;November;...;...
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2020;Dezember;...;...
__________
"Umsatz in konstanten Preisen:
Ab 2005 liegen der Berechnung der Messzahl Preisindizes ohne
Mehrwertsteuer zugrunde.

Mai 2015:
Die Berücksichtigung eines größeren Unternehmens des
Online-Handels, das im Mai 2015 eine Niederlassung in
Deutschland gründete, führte zu einem Bruch in den
Zeitreihen."
© Statistisches Bundesamt (Destatis), 2020
Stand: 25.06.2020 / 10:38:50
