GENESIS-Tabelle: 45213-0004;;;;;;;
Umsatz im Gastgewerbe (real/nominal) (Messzahlen und;;;;;;;
Veränderungsraten): Deutschland, Monate/Quartale/Halbjahre,;;;;;;;
Wirtschaftszweige;;;;;;;
Monatsstatistik im Gastgewerbe;;;;;;;
Deutschland;;;;;;;
;;;;Preisarten;Preisarten;Preisarten;Preisarten
;;;;in konstanten Preisen;in konstanten Preisen;in jeweiligen Preisen;in jeweiligen Preisen
;;;;Umsatz;Veränderung zur Vorjahresperiode;Umsatz;Veränderung zur Vorjahresperiode
;;;;2015=100;in (%);2015=100;in (%)
WZ08-55;Beherbergung;2000;September;154,2;9,8;111,7;8,9
WZ08-55;Beherbergung;2000;Oktober;140,4;5,7;101,4;4,9
WZ08-55;Beherbergung;2000;November;110;2,1;78,9;3,4
WZ08-55;Beherbergung;2000;Dezember;110;0,1;81,8;3,7
WZ08-55;Beherbergung;2001;Januar;96,4;4,1;69,6;5,3
WZ08-55;Beherbergung;2001;Februar;95,1;-4,6;69,5;-3,3
WZ08-55;Beherbergung;2001;März;111,7;2,8;81,1;4
WZ08-55;Beherbergung;2001;April;113,2;1;82,6;2,6
WZ08-55;Beherbergung;2001;Mai;137,2;-2,2;100,2;-0,7
WZ08-55;Beherbergung;2001;Juni;132;-2,7;97,3;-1,2
WZ08-55;Beherbergung;2001;Juli;130,3;0,2;97,5;1,9
WZ08-55;Beherbergung;2001;August;132,5;-1,6;99,3;0,3
WZ08-55;Beherbergung;2001;September;143,4;-7;105,8;-5,3
WZ08-55;Beherbergung;2001;Oktober;135,2;-3,7;99,6;-1,8
WZ08-55;Beherbergung;2001;November;108,1;-1,7;79,4;0,6
WZ08-55;Beherbergung;2001;Dezember;105,3;-4,3;80,2;-2
WZ08-55;Beherbergung;2002;Januar;91,7;-4,9;68,9;-1
WZ08-55;Beherbergung;2002;Februar;92,5;-2,7;70,3;1,2
WZ08-55;Beherbergung;2002;März;104,7;-6,3;79,3;-2,2
WZ08-55;Beherbergung;2002;April;111,5;-1,5;84,4;2,2
WZ08-55;Beherbergung;2002;Mai;123,8;-9,8;94,4;-5,8
WZ08-55;Beherbergung;2002;Juni;124,6;-5,6;95;-2,4
WZ08-55;Beherbergung;2002;Juli;121,1;-7,1;94,3;-3,3
WZ08-55;Beherbergung;2002;August;124,2;-6,3;96,5;-2,8
WZ08-55;Beherbergung;2002;September;136,2;-5;104,3;-1,4
WZ08-55;Beherbergung;2002;Oktober;123,8;-8,4;94,5;-5,1
WZ08-55;Beherbergung;2002;November;98,3;-9,1;74,9;-5,7
WZ08-55;Beherbergung;2002;Dezember;94,7;-10,1;74,6;-7
WZ08-55;Beherbergung;2003;Januar;82,7;-9,8;63,4;-8
WZ08-55;Beherbergung;2003;Februar;84,8;-8,3;65,6;-6,7
WZ08-55;Beherbergung;2003;März;97,1;-7,3;74,7;-5,8
WZ08-55;Beherbergung;2003;April;97,9;-12,2;75,6;-10,4
WZ08-55;Beherbergung;2003;Mai;118,3;-4,4;91,2;-3,4
WZ08-55;Beherbergung;2003;Juni;114,7;-7,9;88,9;-6,4
WZ08-55;Beherbergung;2003;Juli;109;-10;85,4;-9,4
WZ08-55;Beherbergung;2003;August;112,4;-9,5;88,1;-8,7
