Monat 2000 2001 2002 2003 2004 2005 2006
Januar 2015 1957 2002 1888 1890 1849 1736
Februar 2231 2037 2060 1949 1938 1725 1663
Maerz 2477 2364 2367 2196 2193 2013 1850
April 2443 2310 2317 2222 2226 2056 1868
Mai 2638 2447 2365 2293 2098 2119 1985
Juni 2423 2387 2274 2218 2094 2027 1864
Juli 2491 2479 2404 2283 2166 2031 1949
August 2498 2465 2359 2181 2135 2016 1952
September 2452 2320 2272 2208 2062 1912 1901
Oktober 2393 2481 2370 2239 2150 1974 1942
November 2348 2356 2187 2057 2042 1857 1851
Dezember 2398 2345 2217 2117 2044 1851 2044
