Sektor 2000 2001 2002 2003 2004 2005 2006
Strassenverkehr 25794 25545 25740 25102 26117 25721 26440
Landwirtschaft 1723 1674 1654 1643 1618 1590 1550
SchifffahrtUndFischerei 276 266 232 242 273 314 269
Schienenverkehr 591 548 513 503 479 430 400
Militaerverbrauch 32 45 42 25 23 80 45
Sonstiges 506 467 450 429 410 396 430
Gesamt 28922 28545 28631 27944 28920 28531 29134
