date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02,1.2,2.4,10.333333333333334,0.4666666666666667,-4.733333333333333,1.2666666666666666
2020-03,-28.225806451612904,-3.4193548387096775,10.129032258064516,-29.677419354838708,-19.225806451612904,8.064516129032258
2020-04,-52.3,-11.333333333333334,38.93333333333333,-48.333333333333336,-38.9,14.033333333333333
2020-05,-31.64516129032258,-4.67741935483871,53.16129032258065,-33.193548387096776,-24.096774193548388,8.838709677419354
2020-06,-20.4,-14.8,99.4,-30.2,-36.6,9.4
