Date;Close;Adj Close
01.01.1990;1821209961;1821209961
01.02.1990;1806630005;1806630005
01.03.1990;1966750000;1966750000
01.04.1990;1812910034;1812910034
01.05.1990;1836689941;1836689941
01.06.1990;1884670044;1884670044
01.07.1990;1922920044;1922920044
01.08.1990;1622010010;1622010010
01.09.1990;1327979980;1327979980
01.10.1990;1434500000;1434500000
01.11.1990;1441199951;1441199951
01.12.1990;1389349976;1389349976
01.01.1991;1421160034;1421160034
01.02.1991;1564449951;1564449951
01.03.1991;1515319946;1515319946
01.04.1991;1606869995;1606869995
01.05.1991;1707959961;1707959961
01.06.1991;1623729980;1623729980
01.07.1991;1619290039;1619290039
01.08.1991;1649880005;1649880005
01.09.1991;1605469971;1605469971
01.10.1991;1579770020;1579770020
01.11.1991;1571060059;1571060059
01.12.1991;1577260010;1577260010
01.01.1992;1685699951;1685699951
01.02.1992;1746760010;1746760010
01.03.1992;1718349976;1718349976
01.04.1992;1728089966;1728089966
01.05.1992;1806359985;1806359985
01.06.1992;1754949951;1754949951
01.07.1992;1608489990;1608489990
01.08.1992;1529969971;1529969971
01.09.1992;1470089966;1470089966
01.10.1992;1489680054;1489680054
01.11.1992;1545119995;1545119995
01.12.1992;1538430054;1538430054
01.01.1993;1574040039;1574040039
01.02.1993;1680020020;1680020020
01.03.1993;1676839966;1676839966
01.04.1993;1626829956;1626829956
01.05.1993;1627209961;1627209961
01.06.1993;1700930054;1700930054
01.07.1993;1823069946;1823069946
01.08.1993;1931880005;1931880005
01.09.1993;1910229980;1910229980
01.10.1993;2064979980;2064979980
01.11.1993;2052919922;2052919922
01.12.1993;2255290039;2255290039
01.01.1994;2192600098;2192600098
01.02.1994;2103239990;2103239990
01.03.1994;2142879883;2142879883
01.04.1994;2252510010;2252510010
01.05.1994;2137340088;2137340088
01.06.1994;2020849976;2020849976
01.07.1994;2152189941;2152189941
01.08.1994;2207090088;2207090088
01.09.1994;2002300049;2002300049
01.10.1994;2061580078;2061580078
01.11.1994;2057280029;2057280029
01.12.1994;2097510010;2097510010
01.01.1995;2024819946;2024819946
01.02.1995;2097850098;2097850098
01.03.1995;1914689941;1914689941
01.04.1995;2017949951;2017949951
01.05.1995;2099949951;2099949951
01.06.1995;2089040039;2089040039
01.07.1995;2222510010;2222510010
01.08.1995;2234229980;2234229980
01.09.1995;2201270020;2201270020
01.10.1995;2165760010;2165760010
01.11.1995;2254949951;2254949951
01.12.1995;2260689941;2260689941
