STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;MO_N;MO_TT;MO_TX;MO_TN;MO_FK;MX_TX;MX_FX;MX_TN;MO_SD_S;QN_6;MO_RR;MX_RS;eor
        722;20181101;20181130;    3;  6.09;   2.03;    4.52;   -0.51;    5.73;  14.7;  31.3;  -9.2;  89.57;    9;    60.0;    9.4;eor
        722;20181201;20181231;    3;  7.70;  -1.40;    0.31;   -3.15;    6.65;   6.2;  43.2;  -9.1;  13.22;    9;   339.1;   40.0;eor
        722;20190101;20190131;    3;  6.79;  -4.66;   -2.77;   -6.70;    6.39;   1.4;  39.0; -13.1;  51.37;    9;   355.8;   41.6;eor
        722;20190201;20190228;    3;  5.61;   1.05;    3.45;   -1.16;    5.86;  14.2;  38.3;  -7.4; 113.86;    9;   118.6;   69.6;eor
        722;20190301;20190331;    3;  6.86;   0.10;    2.95;   -2.33;    6.42;  12.7;  42.4;  -5.6;  71.50;    9;   202.4;   27.6;eor
        722;20190401;20190430;    3;  3.90;   3.91;    7.07;    0.68;    4.90;  17.4;  27.9;  -6.7; 245.95;    9;    51.4;   10.1;eor
        722;20190501;20190531;    3;  6.29;   4.45;    7.60;    1.56;    4.71;  15.2;  23.1;  -5.5; 160.77;    3;   152.4;   65.6;eor
        722;20190601;20190630;    3;  4.39;  14.38;   18.47;   10.01;    4.57;  26.7;  32.1;   4.4; 297.48;    3;    77.6;   15.0;eor
        722;20190701;20190731;    3;  5.74;  12.29;   16.02;    8.94;    4.10;  29.7;  22.6;   2.5; 188.78;    3;    58.5;   10.7;eor
        722;20190801;20190831;    3;  5.05;  13.56;   17.06;   10.84;    4.45;  24.9;  32.7;   5.1; 196.38;    3;    55.6;   17.2;eor
        722;20190901;20190930;    3;  6.15;   8.15;   11.24;    5.69;    5.03;  18.9;  39.6;   1.2; 123.51;    3;   156.0;   38.8;eor
        722;20191001;20191031;    3;  6.95;   5.59;    8.35;    3.50;    6.10;  20.7;  34.2;  -4.3;  82.85;    3;   161.5;   33.7;eor
        722;20191101;20191130;    3;  7.17;   0.97;    2.98;   -0.77;    5.47;  11.2;  35.0;  -5.2;  46.73;    3;   137.0;   24.1;eor
        722;20191201;20191231;    3;  7.01;  -0.48;    1.45;   -2.34;    6.23;  10.2;  43.7;  -7.3;  45.45;    3;   171.6;   20.0;eor
        722;20200101;20200131;    1;  5.99;  -0.17;    2.03;   -2.42;-999;   8.2;  37.0;  -6.1;  80.72;    3;   175.5;   23.1;eor
        722;20200201;20200229;    1;  7.36;  -1.50;    0.62;   -3.47;    7.69;   7.8;  47.8;  -6.6;  32.78;    3;   401.6;   70.2;eor
        722;20200301;20200331;    1;  5.43;  -1.30;    1.45;   -3.92;    5.74;  10.3;  42.3; -10.8; 163.12;    3;   176.0;   44.4;eor
        722;20200401;20200430;    1;  3.56;   4.82;    9.27;    0.95;    4.50;  16.1;  25.1;  -7.7; 297.32;    1;    25.9;   13.4;eor
        722;20200501;20200531;    1;  5.97;   5.22;    8.78;    1.92;    4.39;  16.1;  25.4;  -5.1; 191.98;    1;    57.7;   13.3;eor
