GENESIS-Tabelle: 43311-0002
Elektrizitätserzeugung, Nettowärmeerzeugung,;;;;;;
Brennstoffeinsatz: Deutschland, Monate, Energieträger;;;;;;
Monatserhebung über die Elektrizitätsversorgung;;;;;;
Deutschland;;;;;;
;;;Elektrizitätserzeugung (brutto);Elektrizitätserzeugung (netto);Nettowärmeerzeugung;Brennstoffeinsatz
;;;MWh;MWh;MWh;GJ
2002;März;Kohlenwertstoffe aus Steinkohle;-;-;-;-
2002;März;Sonstige Steinkohlen;-;-;-;-
2002;März;Rohbraunkohlen;13299816;12261746;-;131131746
2002;März;Hartbraunkohlen;219555;200321;-;2063529
2002;März;Braunkohlenbriketts;4929;4261;-;72938
2002;März;Braunkohlenkoks;-;-;-;-
2002;März;Wirbelschichtkohle;-;-;-;-
2002;März;Staub- und Trockenkohle;51066;46219;-;318925
2002;März;Sonstige Braunkohlen;9980;9146;-;90277
2002;März;Dieselkraftstoff;234;203;-;2287
2002;März;Heizöl, leicht;42477;38294;-;464268
2002;März;Heizöl, schwer;43393;40441;-;409742
2002;März;Flüssiggas;-;-;-;57
2002;März;Raffineriegas;-;-;-;-
2002;März;Petrolkoks;21003;19489;-;350922
2002;März;Sonstige Mineralölprodukte;20766;18508;-;190384
2002;März;Erdgas, Erdölgas;4006821;3852764;-;25851121
2002;März;Grubengas;8607;7561;-;120475
2002;März;Kokereigas;4102;3582;-;59293
2002;März;Hochofengas;305891;290414;-;2990434
2002;März;Sonstige hergestellte Gase;22846;21051;-;111171
2002;März;Wasserstoff;-;-;-;-
2002;März;Laufwasser;1526524;1507357;-;-
2002;März;Speicherwasser;222063;217800;-;-
2002;März;Pumpspeicherwasser;315999;308950;-;-
2002;März;Pumpspeicher mit natürlichem Zufluss;-;-;-;-
2002;März;Pumpspeicher ohne natürlichen Zufluss;-;-;-;-
2002;März;Windkraft;13239;12644;-;-
2002;März;Photovoltaik;153;139;-;-
2002;März;Geothermie;-;-;-;-
2002;März;Wärmepumpen (Erd- und Umweltwärme);-;-;-;-
2002;März;Solarthermie;-;-;-;-
2002;März;Feste biogene Stoffe;16161;14603;-;208622
2002;März;Flüssige biogene Stoffe;-;-;-;-
2002;März;Biogas;2911;2746;-;11524
2002;März;Biomethan (Bioerdgas);-;-;-;-
2002;März;Klärgas;906;892;-;4818
2002;März;Deponiegas;9896;9422;-;61638
2002;März;Sonstige erneuerbare Energien;27764;25401;-;259856
2002;März;Klärschlamm;3041;2658;-;37177
2002;März;Abfall (Hausmüll, Industrie);312942;233628;-;4571952
2002;März;Abfall (Industrie);-;-;-;-
2002;März;Abfall (Hausmüll, Siedlungsabfälle);-;-;-;-
2002;März;Kernenergie;14192287;13459262;-;-
2002;März;Wärme;-;-;-;-
2002;März;Strom (Elektrokessel);-;-;-;-
2002;März;Sonstige Energieträger;473;473;-;1704
2002;März;Andere Speicher;-;-;-;-
2002;März;Insgesamt;45403283;42450106;-;33515513
2002;April;Steinkohlen;10373168;9567448;-;91862048
2002;April;Steinkohlenkoks;-;-;-;-
2002;April;Steinkohlenbriketts;-;-;-;-
2002;April;Kohlenwertstoffe aus Steinkohle;-;-;-;-
2002;April;Sonstige Steinkohlen;-;-;-;-
2002;April;Rohbraunkohlen;12627825;11658294;-;124029712
2002;April;Hartbraunkohlen;224032;204789;-;2159029
2002;April;Braunkohlenbriketts;2636;2199;-;51908
2002;April;Braunkohlenkoks;-;-;-;-
2002;April;Wirbelschichtkohle;-;-;-;-
2002;April;Staub- und Trockenkohle;46417;41573;-;280552
2002;April;Sonstige Braunkohlen;6605;6178;-;58967
2002;April;Dieselkraftstoff;207;189;-;2266
2002;April;Heizöl, leicht;37647;34352;-;444801
2002;April;Heizöl, schwer;45765;42131;-;438673
2002;April;Flüssiggas;-;-;-;-
2002;April;Raffineriegas;-;-;-;-
2002;April;Petrolkoks;37211;34057;-;480042
2002;April;Sonstige Mineralölprodukte;83885;76882;-;754468
2002;April;Erdgas, Erdölgas;3492244;3355661;-;22583065
2002;April;Grubengas;18416;16934;-;203503
2002;April;Kokereigas;4557;4188;-;50595
2002;April;Hochofengas;255719;242132;-;2496137
2002;April;Sonstige hergestellte Gase;21425;19787;-;108463
2002;April;Wasserstoff;-;-;-;-
2002;April;Laufwasser;1519960;1498684;-;-
2002;April;Speicherwasser;167516;163671;-;-
2002;April;Pumpspeicherwasser;332583;326503;-;-
2002;April;Pumpspeicher mit natürlichem Zufluss;-;-;-;-
2002;April;Pumpspeicher ohne natürlichen Zufluss;-;-;-;-
2002;April;Windkraft;10492;9629;-;-
2002;April;Photovoltaik;405;392;-;-
2002;April;Geothermie;-;-;-;-
2002;April;Wärmepumpen (Erd- und Umweltwärme);-;-;-;-
2002;April;Solarthermie;-;-;-;-
2002;April;Feste biogene Stoffe;15021;13607;-;206600
2002;April;Flüssige biogene Stoffe;-;-;-;-
2002;April;Biogas;2868;2727;-;11252
2002;April;Biomethan (Bioerdgas);-;-;-;-
2002;April;Klärgas;977;963;-;5344
2002;April;Deponiegas;9499;9051;-;59147
2002;April;Sonstige erneuerbare Energien;30633;28154;-;294081
2002;April;Klärschlamm;1996;1707;-;23718
2002;April;Abfall (Hausmüll, Industrie);306349;229742;-;4258556
2002;April;Abfall (Industrie);-;-;-;-
2002;April;Abfall (Hausmüll, Siedlungsabfälle);-;-;-;-
2002;April;Kernenergie;12787268;12137025;-;-
2002;April;Wärme;-;-;-;-
2002;April;Strom (Elektrokessel);-;-;-;-
2002;April;Sonstige Energieträger;792;792;-;3306
2002;April;Andere Speicher;-;-;-;-
2002;April;Insgesamt;42464119;39729440;-;28183031
2002;Mai;Steinkohlen;8545081;7864876;-;77179850
2002;Mai;Steinkohlenkoks;-;-;-;-
2002;Mai;Steinkohlenbriketts;-;-;-;-
2002;Mai;Kohlenwertstoffe aus Steinkohle;-;-;-;-
2002;Mai;Sonstige Steinkohlen;-;-;-;-
2002;Mai;Rohbraunkohlen;12331339;11377287;-;120836721
2002;Mai;Hartbraunkohlen;192303;174806;-;1941983
2002;Mai;Braunkohlenbriketts;2196;1862;-;53381
2002;Mai;Braunkohlenkoks;-;-;-;-
2002;Mai;Wirbelschichtkohle;-;-;-;-
2002;Mai;Staub- und Trockenkohle;10710;8862;-;147207
2002;Mai;Sonstige Braunkohlen;5999;5564;-;54858
2002;Mai;Dieselkraftstoff;158;146;-;1461
2002;Mai;Heizöl, leicht;37541;34373;-;433874
2002;Mai;Heizöl, schwer;51607;47082;-;500822
2002;Mai;Flüssiggas;-;-;-;-
2002;Mai;Raffineriegas;-;-;-;-
2002;Mai;Petrolkoks;15887;14312;-;317229
2002;Mai;Sonstige Mineralölprodukte;23657;21828;-;220800
2002;Mai;Erdgas, Erdölgas;2451615;2360126;-;15385734
2002;Mai;Grubengas;23716;21329;-;246134
2002;Mai;Kokereigas;5630;5058;-;58590
2002;Mai;Hochofengas;286216;269619;-;2856896
2002;Mai;Sonstige hergestellte Gase;23436;21451;-;121100
2002;Mai;Wasserstoff;-;-;-;-
2002;Mai;Laufwasser;1733795;1713581;-;-
2002;Mai;Speicherwasser;156683;152268;-;-
2002;Mai;Pumpspeicherwasser;329817;326095;-;-
2002;Mai;Pumpspeicher mit natürlichem Zufluss;-;-;-;-
2002;Mai;Pumpspeicher ohne natürlichen Zufluss;-;-;-;-
2002;Mai;Windkraft;6597;6172;-;-
2002;Mai;Photovoltaik;197;187;-;-
2002;Mai;Geothermie;-;-;-;-
2002;Mai;Wärmepumpen (Erd- und Umweltwärme);-;-;-;-
2002;Mai;Solarthermie;-;-;-;-
2002;Mai;Feste biogene Stoffe;13979;12615;-;172030
2002;Mai;Flüssige biogene Stoffe;-;-;-;-
2002;Mai;Biogas;2568;2426;-;10157
2002;Mai;Biomethan (Bioerdgas);-;-;-;-
2002;Mai;Klärgas;1007;993;-;5035
2002;Mai;Deponiegas;8915;8456;-;60149
2002;Mai;Sonstige erneuerbare Energien;21916;20126;-;215373
2002;Mai;Klärschlamm;2012;1721;-;24668
2002;Mai;Abfall (Hausmüll, Industrie);345998;262389;-;4761209
2002;Mai;Abfall (Industrie);-;-;-;-
2002;Mai;Abfall (Hausmüll, Siedlungsabfälle);-;-;-;-
2002;Mai;Kernenergie;13094510;12412223;-;-
2002;Mai;Wärme;-;-;-;-
2002;Mai;Strom (Elektrokessel);-;-;-;-
2002;Mai;Sonstige Energieträger;1258;1258;-;5305
2002;Mai;Andere Speicher;-;-;-;-
2002;Mai;Insgesamt;39726343;37149091;-;20451587
2002;Juni;Steinkohlen;8045972;7397929;-;72897539
2002;Juni;Steinkohlenkoks;-;-;-;-
2002;Juni;Steinkohlenbriketts;-;-;-;-
2002;Juni;Kohlenwertstoffe aus Steinkohle;-;-;-;-
2002;Juni;Sonstige Steinkohlen;-;-;-;-
2002;Juni;Rohbraunkohlen;11867076;10948427;-;115633341
2002;Juni;Hartbraunkohlen;156491;143069;-;1610164
2002;Juni;Braunkohlenbriketts;2285;1937;-;56845
2002;Juni;Braunkohlenkoks;-;-;-;-
2002;Juni;Wirbelschichtkohle;-;-;-;-
2002;Juni;Staub- und Trockenkohle;17740;15809;-;178776
2002;Juni;Sonstige Braunkohlen;8576;7905;-;80101
2002;Juni;Dieselkraftstoff;352;317;-;3630
2002;Juni;Heizöl, leicht;33588;31182;-;395416
2002;Juni;Heizöl, schwer;48167;44332;-;488822
2002;Juni;Flüssiggas;-;-;-;-
2002;Juni;Raffineriegas;-;-;-;-
2002;Juni;Petrolkoks;18766;17249;-;338527
2002;Juni;Sonstige Mineralölprodukte;99904;91435;-;900004
2002;Juni;Erdgas, Erdölgas;2386429;2286543;-;16173463
2002;Juni;Grubengas;27108;24320;-;249171
2002;Juni;Kokereigas;6155;5518;-;56562
2002;Juni;Hochofengas;284579;268093;-;2887290
2002;Juni;Sonstige hergestellte Gase;23171;21237;-;121609
2002;Juni;Wasserstoff;-;-;-;-
2002;Juni;Laufwasser;1551303;1531272;-;-
2002;Juni;Speicherwasser;104637;101649;-;-
2002;Juni;Pumpspeicherwasser;341847;335473;-;-
2002;Juni;Pumpspeicher mit natürlichem Zufluss;-;-;-;-
2002;Juni;Pumpspeicher ohne natürlichen Zufluss;-;-;-;-
2002;Juni;Windkraft;7131;6641;-;-
2002;Juni;Photovoltaik;144;141;-;-
2002;Juni;Geothermie;-;-;-;-
2002;Juni;Wärmepumpen (Erd- und Umweltwärme);-;-;-;-
2002;Juni;Solarthermie;-;-;-;-
2002;Juni;Feste biogene Stoffe;17388;16235;-;181727
2002;Juni;Flüssige biogene Stoffe;-;-;-;-
2002;Juni;Biogas;2330;2186;-;9105
2002;Juni;Biomethan (Bioerdgas);-;-;-;-
2002;Juni;Klärgas;957;944;-;5310
2002;Juni;Deponiegas;10046;9583;-;55558
2002;Juni;Sonstige erneuerbare Energien;22105;20319;-;217674
2002;Juni;Klärschlamm;2881;2520;-;32441
2002;Juni;Abfall (Hausmüll, Industrie);332989;244024;-;4782863
2002;Juni;Abfall (Industrie);-;-;-;-
2002;Juni;Abfall (Hausmüll, Siedlungsabfälle);-;-;-;-
2002;Juni;Kernenergie;13158624;12456241;-;-
2002;Juni;Wärme;-;-;-;-
2002;Juni;Strom (Elektrokessel);-;-;-;-
2002;Juni;Sonstige Energieträger;803;803;-;3279
2002;Juni;Andere Speicher;-;-;-;-
2002;Juni;Insgesamt;38579546;36033335;-;15487018
2002;Juli;Steinkohlen;8416559;7743337;-;76527000
2002;Juli;Steinkohlenkoks;-;-;-;-
2002;Juli;Steinkohlenbriketts;-;-;-;-
2002;Juli;Kohlenwertstoffe aus Steinkohle;-;-;-;-
2002;Juli;Sonstige Steinkohlen;-;-;-;-
2002;Juli;Rohbraunkohlen;12648410;11700442;-;122472420
2002;Juli;Hartbraunkohlen;141324;128576;-;1319471
2002;Juli;Braunkohlenbriketts;2648;2225;-;55795
2002;Juli;Braunkohlenkoks;-;-;-;-
2002;Juli;Wirbelschichtkohle;-;-;-;-
2002;Juli;Staub- und Trockenkohle;44758;40226;-;415831
2002;Juli;Sonstige Braunkohlen;14186;13138;-;128058
2002;Juli;Dieselkraftstoff;317;261;-;3002
2002;Juli;Heizöl, leicht;27362;24877;-;460995
2002;Juli;Heizöl, schwer;37297;34372;-;405252
2002;Juli;Flüssiggas;-;-;-;-
2002;Juli;Raffineriegas;-;-;-;-
2002;Juli;Petrolkoks;2177;1949;-;140947
2002;Juli;Sonstige Mineralölprodukte;53378;48777;-;500387
2002;Juli;Erdgas, Erdölgas;2338346;2236580;-;16150296
2002;Juli;Grubengas;21773;19548;-;282820
2002;Juli;Kokereigas;5192;4655;-;68186
2002;Juli;Hochofengas;283139;267652;-;2835956
2002;Juli;Sonstige hergestellte Gase;24744;22791;-;131464
2002;Juli;Wasserstoff;-;-;-;-
2002;Juli;Laufwasser;1511959;1495199;-;-
2002;Juli;Speicherwasser;95890;93233;-;-
2002;Juli;Pumpspeicherwasser;315762;308115;-;-
2002;Juli;Pumpspeicher mit natürlichem Zufluss;-;-;-;-
2002;Juli;Pumpspeicher ohne natürlichen Zufluss;-;-;-;-
2002;Juli;Windkraft;4445;4007;-;-
2002;Juli;Photovoltaik;132;130;-;-
2002;Juli;Geothermie;-;-;-;-
2002;Juli;Wärmepumpen (Erd- und Umweltwärme);-;-;-;-
2002;Juli;Solarthermie;-;-;-;-
2002;Juli;Feste biogene Stoffe;17033;15803;-;186568
2002;Juli;Flüssige biogene Stoffe;-;-;-;-
2002;Juli;Biogas;2506;2343;-;9667
2002;Juli;Biomethan (Bioerdgas);-;-;-;-
2002;Juli;Klärgas;1057;1042;-;5805
2002;Juli;Deponiegas;8962;8600;-;55178
2002;Juli;Sonstige erneuerbare Energien;30208;27525;-;286610
2002;Juli;Klärschlamm;2569;2285;-;27714
2002;Juli;Abfall (Hausmüll, Industrie);374351;282982;-;5164897
2002;Juli;Abfall (Industrie);-;-;-;-
2002;Juli;Abfall (Hausmüll, Siedlungsabfälle);-;-;-;-
2002;Juli;Kernenergie;13417968;12693108;-;-
2002;Juli;Wärme;-;-;-;-
2002;Juli;Strom (Elektrokessel);-;-;-;-
2002;Juli;Sonstige Energieträger;4397;3628;-;16441
2002;Juli;Andere Speicher;-;-;-;-
2002;Juli;Insgesamt;39848850;37227406;-;16283157
2002;August;Steinkohlen;9336583;8592100;-;86113717
2002;August;Steinkohlenkoks;-;-;-;-
2002;August;Steinkohlenbriketts;-;-;-;-
2002;August;Kohlenwertstoffe aus Steinkohle;-;-;-;-
2002;August;Sonstige Steinkohlen;-;-;-;-
2002;August;Rohbraunkohlen;12447372;11491770;-;122281576
2002;August;Hartbraunkohlen;189513;172558;-;1957013
2002;August;Braunkohlenbriketts;3036;2601;-;64907
2002;August;Braunkohlenkoks;-;-;-;-
2002;August;Wirbelschichtkohle;-;-;-;-
2002;August;Staub- und Trockenkohle;37239;32848;-;340752
2002;August;Sonstige Braunkohlen;9470;8755;-;87828
2002;August;Dieselkraftstoff;96;81;-;1045
2002;August;Heizöl, leicht;48722;44419;-;556789
2002;August;Heizöl, schwer;36661;33610;-;452918
2002;August;Flüssiggas;-;-;-;-
2002;August;Raffineriegas;-;-;-;-
2002;August;Petrolkoks;11317;10600;-;218710
2002;August;Sonstige Mineralölprodukte;116224;106225;-;1049153
2002;August;Erdgas, Erdölgas;2247046;2149390;-;15396596
2002;August;Grubengas;24856;22280;-;279523
2002;August;Kokereigas;5506;4933;-;62069
2002;August;Hochofengas;304702;285008;-;3077219
2002;August;Sonstige hergestellte Gase;19367;17585;-;104455
2002;August;Wasserstoff;-;-;-;-
2002;August;Laufwasser;1647983;1630664;-;-
2002;August;Speicherwasser;100794;97294;-;-
2002;August;Pumpspeicherwasser;372208;364637;-;-
2002;August;Pumpspeicher mit natürlichem Zufluss;-;-;-;-
2002;August;Pumpspeicher ohne natürlichen Zufluss;-;-;-;-
2002;August;Windkraft;4290;4249;-;-
2002;August;Photovoltaik;114;112;-;-
2002;August;Geothermie;-;-;-;-
2002;August;Wärmepumpen (Erd- und Umweltwärme);-;-;-;-
2002;August;Solarthermie;-;-;-;-
2002;August;Feste biogene Stoffe;14385;12969;-;219943
2002;August;Flüssige biogene Stoffe;-;-;-;-
2002;August;Biogas;2427;2262;-;9841
2002;August;Biomethan (Bioerdgas);-;-;-;-
2002;August;Klärgas;1006;992;-;5479
2002;August;Deponiegas;9447;8988;-;50295
2002;August;Sonstige erneuerbare Energien;26908;24610;-;289518
2002;August;Klärschlamm;2925;2610;-;30208
2002;August;Abfall (Hausmüll, Industrie);355557;267389;-;4996609
2002;August;Abfall (Industrie);-;-;-;-
2002;August;Abfall (Hausmüll, Siedlungsabfälle);-;-;-;-
2002;August;Kernenergie;11942734;11298981;-;-
2002;August;Wärme;-;-;-;-
2002;August;Strom (Elektrokessel);-;-;-;-
2002;August;Sonstige Energieträger;3755;3159;-;36532
2002;August;Andere Speicher;-;-;-;-
2002;August;Insgesamt;39322242;36693679;-;15067913
2002;September;Steinkohlen;10388968;9597087;-;93759522
2002;September;Steinkohlenkoks;-;-;-;-
2002;September;Steinkohlenbriketts;-;-;-;-
2002;September;Kohlenwertstoffe aus Steinkohle;-;-;-;-
2002;September;Sonstige Steinkohlen;-;-;-;-
2002;September;Rohbraunkohlen;11689248;10773158;-;114562945
2002;September;Hartbraunkohlen;175882;160266;-;1706563
2002;September;Braunkohlenbriketts;5446;4857;-;81634
2002;September;Braunkohlenkoks;-;-;-;-
2002;September;Wirbelschichtkohle;-;-;-;-
2002;September;Staub- und Trockenkohle;53424;47914;-;398801
2002;September;Sonstige Braunkohlen;12678;11658;-;115997
2002;September;Dieselkraftstoff;239;206;-;2318
2002;September;Heizöl, leicht;40948;37628;-;523530
2002;September;Heizöl, schwer;51414;47411;-;688940
2002;September;Flüssiggas;-;-;-;-
2002;September;Raffineriegas;-;-;-;-
2002;September;Petrolkoks;29936;27604;-;301650
2002;September;Sonstige Mineralölprodukte;88852;81303;-;805009
2002;September;Erdgas, Erdölgas;3135064;3001504;-;20819928
2002;September;Grubengas;21547;19251;-;250199
2002;September;Kokereigas;3787;3380;-;44178
2002;September;Hochofengas;291554;272638;-;2898090
2002;September;Sonstige hergestellte Gase;21706;19924;-;114518
2002;September;Wasserstoff;-;-;-;-
2002;September;Laufwasser;1460259;1444455;-;-
2002;September;Speicherwasser;172924;169143;-;-
2002;September;Pumpspeicherwasser;335040;328248;-;-
2002;September;Pumpspeicher mit natürlichem Zufluss;-;-;-;-
2002;September;Pumpspeicher ohne natürlichen Zufluss;-;-;-;-
2002;September;Windkraft;38144;37624;-;-
2002;September;Photovoltaik;106;106;-;-
2002;September;Geothermie;-;-;-;-
2002;September;Wärmepumpen (Erd- und Umweltwärme);-;-;-;-
