GENESIS-Tabelle: 43311-0002
Elektrizitätserzeugung, Nettowärmeerzeugung,;;;;;;
Brennstoffeinsatz: Deutschland, Monate, Energieträger;;;;;;
Monatserhebung über die Elektrizitätsversorgung;;;;;;
Deutschland;;;;;;
;;;Elektrizitätserzeugung (brutto);Elektrizitätserzeugung (netto);Nettowärmeerzeugung;Brennstoffeinsatz
;;;MWh;MWh;MWh;GJ
2005;Februar;Abfall (Industrie);-;-;-;-
2005;Februar;Abfall (Hausmüll, Siedlungsabfälle);-;-;-;-
2005;Februar;Kernenergie;14219456;13506022;-;-
2005;Februar;Wärme;-;-;-;-
2005;Februar;Strom (Elektrokessel);-;-;-;-
2005;Februar;Sonstige Energieträger;31080;26790;78724;441535
2005;Februar;Andere Speicher;-;-;-;-
2005;Februar;Insgesamt;47542156;44478684;14067969;317569660
2005;März;Steinkohlen;11678701;10756976;4408982;111816073
2005;März;Steinkohlenkoks;-;-;-;-
2005;März;Steinkohlenbriketts;-;-;-;-
2005;März;Kohlenwertstoffe aus Steinkohle;-;-;-;-
2005;März;Sonstige Steinkohlen;-;-;-;-
2005;März;Rohbraunkohlen;12775780;11751355;976882;125672936
2005;März;Hartbraunkohlen;-;-;-;-
2005;März;Braunkohlenbriketts;4843;4254;17441;112258
2005;März;Braunkohlenkoks;-;-;-;-
2005;März;Wirbelschichtkohle;14371;11287;28515;245318
2005;März;Staub- und Trockenkohle;55960;50363;125909;844216
2005;März;Sonstige Braunkohlen;9277;8779;1066;81366
2005;März;Dieselkraftstoff;863;847;-;8939
2005;März;Heizöl, leicht;73334;68018;83238;1151162
2005;März;Heizöl, schwer;57673;53449;12358;548039
2005;März;Flüssiggas;-;-;-;-
2005;März;Raffineriegas;-;-;-;-
2005;März;Petrolkoks;160960;149778;20465;1459788
2005;März;Sonstige Mineralölprodukte;176529;164615;4238;1574324
2005;März;Erdgas, Erdölgas;5283082;5106069;5945574;54383260
2005;März;Grubengas;32360;29567;4025;310898
2005;März;Kokereigas;4763;4305;-;46613
2005;März;Hochofengas;267513;250969;6359;2604533
2005;März;Sonstige hergestellte Gase;26072;24049;73886;415665
2005;März;Wasserstoff;-;-;-;-
2005;März;Laufwasser;1392540;1363863;-;-
2005;März;Speicherwasser;44258;43574;-;-
2005;März;Pumpspeicherwasser;654379;643355;-;-
2005;März;Pumpspeicher mit natürlichem Zufluss;-;-;-;-
2005;März;Pumpspeicher ohne natürlichen Zufluss;-;-;-;-
2005;März;Windkraft;29589;29401;-;-
2005;März;Photovoltaik;304;295;-;-
2005;März;Geothermie;-;-;3221;-
2005;März;Wärmepumpen (Erd- und Umweltwärme);-;-;-;-
2005;März;Solarthermie;-;-;-;-
2005;März;Feste biogene Stoffe;121080;112313;128566;2105707
2005;März;Flüssige biogene Stoffe;316;299;36;2775
2005;März;Biogas;1748;1652;2512;25208
2005;März;Biomethan (Bioerdgas);-;-;-;-
2005;März;Klärgas;1827;1762;2227;18010
2005;März;Deponiegas;15538;15088;5730;132100
2005;März;Sonstige erneuerbare Energien;48951;45085;5768;467080
2005;März;Klärschlamm;14679;13268;1425;227743
2005;März;Abfall (Hausmüll, Industrie);387031;277284;708386;8483330
2005;März;Abfall (Industrie);-;-;-;-
2005;März;Abfall (Hausmüll, Siedlungsabfälle);-;-;-;-
2005;März;Kernenergie;15534861;14754471;-;-
2005;März;Wärme;-;-;-;-
2005;März;Strom (Elektrokessel);-;-;-;-
2005;März;Sonstige Energieträger;41914;37380;77912;544563
2005;März;Andere Speicher;-;-;-;-
2005;März;Insgesamt;48911098;45773771;12644721;313281905
2005;April;Steinkohlen;10761326;9921218;2836132;101328478
2005;April;Steinkohlenkoks;-;-;-;-
2005;April;Steinkohlenbriketts;-;-;-;-
2005;April;Kohlenwertstoffe aus Steinkohle;-;-;-;-
2005;April;Sonstige Steinkohlen;-;-;-;-
2005;April;Rohbraunkohlen;11907711;10942705;709738;115913917
2005;April;Hartbraunkohlen;-;-;-;-
2005;April;Braunkohlenbriketts;4023;3504;18136;104446
2005;April;Braunkohlenkoks;-;-;-;-
2005;April;Wirbelschichtkohle;26435;21604;26762;385063
2005;April;Staub- und Trockenkohle;37837;35439;70093;580182
2005;April;Sonstige Braunkohlen;11824;11207;1378;103578
2005;April;Dieselkraftstoff;258;236;-;3046
2005;April;Heizöl, leicht;45094;39755;53938;692708
2005;April;Heizöl, schwer;58146;53566;7500;541954
2005;April;Flüssiggas;-;-;-;-
2005;April;Raffineriegas;-;-;-;-
2005;April;Petrolkoks;121915;112946;15301;1119935
2005;April;Sonstige Mineralölprodukte;145116;133302;2361;1305822
2005;April;Erdgas, Erdölgas;4251590;4115405;3888301;41210499
2005;April;Grubengas;31972;29000;3916;300846
2005;April;Kokereigas;1389;1244;-;13230
2005;April;Hochofengas;237311;225042;2530;2350910
2005;April;Sonstige hergestellte Gase;23809;21842;65191;378630
2005;April;Wasserstoff;-;-;-;-
2005;April;Laufwasser;1589935;1562184;-;-
2005;April;Speicherwasser;60259;59500;-;-
2005;April;Pumpspeicherwasser;618778;609769;-;-
2005;April;Pumpspeicher mit natürlichem Zufluss;-;-;-;-
2005;April;Pumpspeicher ohne natürlichen Zufluss;-;-;-;-
2005;April;Windkraft;19215;19036;-;-
2005;April;Photovoltaik;416;410;-;-
2005;April;Geothermie;-;-;2182;-
2005;April;Wärmepumpen (Erd- und Umweltwärme);-;-;-;-
2005;April;Solarthermie;-;-;-;-
2005;April;Feste biogene Stoffe;110255;102545;112455;1926169
2005;April;Flüssige biogene Stoffe;219;207;26;1915
2005;April;Biogas;1491;1409;1549;20735
2005;April;Biomethan (Bioerdgas);-;-;-;-
2005;April;Klärgas;1887;1831;2210;19446
2005;April;Deponiegas;15654;15205;5633;138033
2005;April;Sonstige erneuerbare Energien;60136;55397;3833;558804
2005;April;Klärschlamm;14761;13303;898;216809
2005;April;Abfall (Hausmüll, Industrie);403439;292552;572094;8246809
2005;April;Abfall (Industrie);-;-;-;-
2005;April;Abfall (Hausmüll, Siedlungsabfälle);-;-;-;-
2005;April;Kernenergie;13970268;13267979;-;-
2005;April;Wärme;-;-;-;-
2005;April;Strom (Elektrokessel);-;-;-;-
2005;April;Sonstige Energieträger;38889;27305;73720;412069
2005;April;Andere Speicher;-;-;-;-
2005;April;Insgesamt;44571359;41696647;8475878;277874034
2005;Mai;Steinkohlen;9084781;8371586;2131634;85902675
2005;Mai;Steinkohlenkoks;-;-;-;-
2005;Mai;Steinkohlenbriketts;-;-;-;-
2005;Mai;Kohlenwertstoffe aus Steinkohle;-;-;-;-
2005;Mai;Sonstige Steinkohlen;-;-;-;-
2005;Mai;Rohbraunkohlen;11724403;10758057;650432;113568859
2005;Mai;Hartbraunkohlen;-;-;-;-
2005;Mai;Braunkohlenbriketts;2701;2299;12623;71120
2005;Mai;Braunkohlenkoks;-;-;-;-
2005;Mai;Wirbelschichtkohle;33862;27957;14943;429491
2005;Mai;Staub- und Trockenkohle;54177;48554;56147;703921
2005;Mai;Sonstige Braunkohlen;12015;11331;1274;105520
2005;Mai;Dieselkraftstoff;105;98;-;912
2005;Mai;Heizöl, leicht;46884;41781;30638;603235
2005;Mai;Heizöl, schwer;33634;31097;4571;323065
2005;Mai;Flüssiggas;848;793;1723;12204
2005;Mai;Raffineriegas;-;-;-;-
2005;Mai;Petrolkoks;152082;142064;5773;1382070
2005;Mai;Sonstige Mineralölprodukte;110902;103403;2504;1009879
2005;Mai;Erdgas, Erdölgas;3733215;3611203;3358742;36106452
2005;Mai;Grubengas;32439;29665;4767;310556
2005;Mai;Kokereigas;3478;3143;-;33443
2005;Mai;Hochofengas;241309;222559;2193;2298499
2005;Mai;Sonstige hergestellte Gase;20701;19058;58036;320128
2005;Mai;Wasserstoff;-;-;-;-
2005;Mai;Laufwasser;1747816;1723590;-;-
2005;Mai;Speicherwasser;65986;65132;-;-
2005;Mai;Pumpspeicherwasser;604107;596218;-;-
2005;Mai;Pumpspeicher mit natürlichem Zufluss;-;-;-;-
2005;Mai;Pumpspeicher ohne natürlichen Zufluss;-;-;-;-
2005;Mai;Windkraft;19431;19347;-;-
2005;Mai;Photovoltaik;463;457;-;-
2005;Mai;Geothermie;-;-;1479;-
2005;Mai;Wärmepumpen (Erd- und Umweltwärme);-;-;-;-
2005;Mai;Solarthermie;-;-;-;-
2005;Mai;Feste biogene Stoffe;101364;93879;77757;1680397
2005;Mai;Flüssige biogene Stoffe;230;217;26;2009
2005;Mai;Biogas;1307;1180;1634;19417
2005;Mai;Biomethan (Bioerdgas);-;-;-;-
2005;Mai;Klärgas;2052;1972;2261;19866
2005;Mai;Deponiegas;19096;18587;5665;149728
2005;Mai;Sonstige erneuerbare Energien;33309;30643;1846;318642
2005;Mai;Klärschlamm;13257;11937;767;143035
2005;Mai;Abfall (Hausmüll, Industrie);436628;318258;514503;8954029
2005;Mai;Abfall (Industrie);-;-;-;-
2005;Mai;Abfall (Hausmüll, Siedlungsabfälle);-;-;-;-
2005;Mai;Kernenergie;11971670;11361426;-;-
2005;Mai;Wärme;-;-;-;-
2005;Mai;Strom (Elektrokessel);-;-;-;-
2005;Mai;Sonstige Energieträger;35063;32934;72153;506419
2005;Mai;Andere Speicher;-;-;-;-
2005;Mai;Insgesamt;40339315;37700423;7014092;254975571
2005;Juni;Steinkohlen;9305401;8576806;1300843;86964761
2005;Juni;Steinkohlenkoks;-;-;-;-
2005;Juni;Steinkohlenbriketts;-;-;-;-
2005;Juni;Kohlenwertstoffe aus Steinkohle;-;-;-;-
2005;Juni;Sonstige Steinkohlen;-;-;-;-
2005;Juni;Rohbraunkohlen;11616537;10680099;494006;112791773
2005;Juni;Hartbraunkohlen;-;-;-;-
2005;Juni;Braunkohlenbriketts;2580;2223;15495;84594
2005;Juni;Braunkohlenkoks;-;-;-;-
2005;Juni;Wirbelschichtkohle;23609;19777;6508;294379
2005;Juni;Staub- und Trockenkohle;51840;46311;28583;611853
2005;Juni;Sonstige Braunkohlen;19928;19009;2149;180382
2005;Juni;Dieselkraftstoff;376;348;-;4191
2005;Juni;Heizöl, leicht;62140;57390;33652;784296
2005;Juni;Heizöl, schwer;42588;39414;4826;413447
2005;Juni;Flüssiggas;-;-;-;-
2005;Juni;Raffineriegas;-;-;-;-
2005;Juni;Petrolkoks;146940;136926;3476;1312053
2005;Juni;Sonstige Mineralölprodukte;103747;95736;1374;950454
2005;Juni;Erdgas, Erdölgas;3831802;3691666;2933230;37478486
2005;Juni;Grubengas;36429;33471;10326;364590
2005;Juni;Kokereigas;3857;3492;-;39083
2005;Juni;Hochofengas;223989;211398;2900;1124183
2005;Juni;Sonstige hergestellte Gase;20556;18681;55333;320992
2005;Juni;Wasserstoff;-;-;-;-
2005;Juni;Laufwasser;1382987;1357713;-;-
2005;Juni;Speicherwasser;62509;61620;-;-
2005;Juni;Pumpspeicherwasser;602414;594885;-;-
2005;Juni;Pumpspeicher mit natürlichem Zufluss;-;-;-;-
2005;Juni;Pumpspeicher ohne natürlichen Zufluss;-;-;-;-
2005;Juni;Windkraft;14461;14367;-;-
2005;Juni;Photovoltaik;521;516;-;-
2005;Juni;Geothermie;-;-;1032;-
2005;Juni;Wärmepumpen (Erd- und Umweltwärme);-;-;-;-
2005;Juni;Solarthermie;-;-;-;-
2005;Juni;Feste biogene Stoffe;90874;82774;93236;1529789
2005;Juni;Flüssige biogene Stoffe;269;254;34;2401
2005;Juni;Biogas;1755;1504;1521;19131
2005;Juni;Biomethan (Bioerdgas);-;-;-;-
2005;Juni;Klärgas;1545;1502;1773;18612
2005;Juni;Deponiegas;18283;17814;9548;142569
2005;Juni;Sonstige erneuerbare Energien;39897;36775;820;367223
2005;Juni;Klärschlamm;15338;13879;807;192219
2005;Juni;Abfall (Hausmüll, Industrie);534243;399581;562947;10088616
2005;Juni;Abfall (Industrie);-;-;-;-
2005;Juni;Abfall (Hausmüll, Siedlungsabfälle);-;-;-;-
2005;Juni;Kernenergie;11435459;10796613;-;-
2005;Juni;Wärme;-;-;-;-
2005;Juni;Strom (Elektrokessel);-;-;-;-
2005;Juni;Sonstige Energieträger;30858;27321;58378;443809
2005;Juni;Andere Speicher;-;-;-;-
2005;Juni;Insgesamt;39723733;37039865;5622797;256523887
2005;Juli;Steinkohlen;8894301;8154736;1016799;83517119
2005;Juli;Steinkohlenkoks;-;-;-;-
2005;Juli;Steinkohlenbriketts;-;-;-;-
2005;Juli;Kohlenwertstoffe aus Steinkohle;-;-;-;-
2005;Juli;Sonstige Steinkohlen;-;-;-;-
2005;Juli;Rohbraunkohlen;12364664;11405357;379555;119357175
2005;Juli;Hartbraunkohlen;-;-;-;-
2005;Juli;Braunkohlenbriketts;3793;3254;17942;107117
2005;Juli;Braunkohlenkoks;-;-;-;-
2005;Juli;Wirbelschichtkohle;28460;23155;19119;375044
2005;Juli;Staub- und Trockenkohle;32386;27942;28637;475822
2005;Juli;Sonstige Braunkohlen;17427;16443;1032;153928
2005;Juli;Dieselkraftstoff;281;263;-;2847
2005;Juli;Heizöl, leicht;44225;39443;17587;550802
2005;Juli;Heizöl, schwer;46273;42163;4169;436610
2005;Juli;Flüssiggas;-;-;-;-
2005;Juli;Raffineriegas;-;-;-;-
2005;Juli;Petrolkoks;148883;138010;4142;1355962
2005;Juli;Sonstige Mineralölprodukte;11897;11068;416;120437
2005;Juli;Erdgas, Erdölgas;3974815;3827422;2669803;37816260
2005;Juli;Grubengas;41570;38329;10744;405441
2005;Juli;Kokereigas;6802;6185;-;66067
2005;Juli;Hochofengas;253788;237925;1821;2306368
2005;Juli;Sonstige hergestellte Gase;20005;18076;60093;319640
2005;Juli;Wasserstoff;-;-;-;-
2005;Juli;Laufwasser;1435361;1407032;-;-
2005;Juli;Speicherwasser;64016;63245;-;-
2005;Juli;Pumpspeicherwasser;612826;604501;-;-
2005;Juli;Pumpspeicher mit natürlichem Zufluss;-;-;-;-
2005;Juli;Pumpspeicher ohne natürlichen Zufluss;-;-;-;-
2005;Juli;Windkraft;19912;19535;-;-
2005;Juli;Photovoltaik;458;453;-;-
2005;Juli;Geothermie;-;-;745;-
2005;Juli;Wärmepumpen (Erd- und Umweltwärme);-;-;-;-
2005;Juli;Solarthermie;-;-;-;-
2005;Juli;Feste biogene Stoffe;88953;81688;92750;1510866
2005;Juli;Flüssige biogene Stoffe;285;270;21;2467
2005;Juli;Biogas;1469;1345;1952;21896
2005;Juli;Biomethan (Bioerdgas);-;-;-;-
2005;Juli;Klärgas;1638;1593;1843;19352
2005;Juli;Deponiegas;17022;16516;8625;131139
2005;Juli;Sonstige erneuerbare Energien;38157;35271;901;359674
2005;Juli;Klärschlamm;13622;12406;544;228865
2005;Juli;Abfall (Hausmüll, Industrie);604544;465617;570905;12168504
2005;Juli;Abfall (Industrie);-;-;-;-
2005;Juli;Abfall (Hausmüll, Siedlungsabfälle);-;-;-;-
2005;Juli;Kernenergie;12048446;11395252;-;-
2005;Juli;Wärme;-;-;-;-
2005;Juli;Strom (Elektrokessel);-;-;-;-
2005;Juli;Sonstige Energieträger;36008;32836;53689;478148
2005;Juli;Andere Speicher;-;-;-;-
2005;Juli;Insgesamt;40872287;38127328;4963834;262287550
2005;August;Steinkohlen;7629825;7022513;1158081;73670264
2005;August;Steinkohlenkoks;-;-;-;-
2005;August;Steinkohlenbriketts;-;-;-;-
2005;August;Kohlenwertstoffe aus Steinkohle;-;-;-;-
2005;August;Sonstige Steinkohlen;-;-;-;-
2005;August;Rohbraunkohlen;12007365;11058626;498405;116271734
2005;August;Hartbraunkohlen;-;-;-;-
2005;August;Braunkohlenbriketts;3607;3126;15783;94276
2005;August;Braunkohlenkoks;-;-;-;-
2005;August;Wirbelschichtkohle;13081;10504;12054;166749
2005;August;Staub- und Trockenkohle;7354;6119;10456;151336
2005;August;Sonstige Braunkohlen;14687;14075;1630;135438
2005;August;Dieselkraftstoff;39;34;81;1182
2005;August;Heizöl, leicht;34538;31349;14843;427269
2005;August;Heizöl, schwer;54260;50384;3946;510798
2005;August;Flüssiggas;237;223;1422;8188
2005;August;Raffineriegas;-;-;-;-
2005;August;Petrolkoks;199083;184735;4825;1863003
2005;August;Sonstige Mineralölprodukte;14906;13810;602;147160
2005;August;Erdgas, Erdölgas;3352493;3240602;2739444;32656044
2005;August;Grubengas;40848;37334;9699;392354
2005;August;Kokereigas;5811;5239;-;53639
2005;August;Hochofengas;245374;233109;2448;2351617
2005;August;Sonstige hergestellte Gase;22828;20626;66734;376113
2005;August;Wasserstoff;-;-;-;-
2005;August;Laufwasser;1377389;1350417;-;-
2005;August;Speicherwasser;70338;69618;-;-
2005;August;Pumpspeicherwasser;650900;641854;-;-
2005;August;Pumpspeicher mit natürlichem Zufluss;-;-;-;-
2005;August;Pumpspeicher ohne natürlichen Zufluss;-;-;-;-
2005;August;Windkraft;19729;19621;-;-
2005;August;Photovoltaik;431;425;-;-
2005;August;Geothermie;-;-;897;-
2005;August;Wärmepumpen (Erd- und Umweltwärme);-;-;-;-
2005;August;Solarthermie;-;-;-;-
2005;August;Feste biogene Stoffe;105643;98817;87319;1692981
2005;August;Flüssige biogene Stoffe;2766;2598;794;24835
2005;August;Biogas;1226;1158;1359;17821
2005;August;Biomethan (Bioerdgas);-;-;-;-
2005;August;Klärgas;1789;1705;2030;19575
2005;August;Deponiegas;17876;17359;5457;140107
2005;August;Sonstige erneuerbare Energien;39623;36354;1135;382299
2005;August;Klärschlamm;10081;9159;635;240529
2005;August;Abfall (Hausmüll, Industrie);633392;485184;607648;11795153
2005;August;Abfall (Industrie);-;-;-;-
2005;August;Abfall (Hausmüll, Siedlungsabfälle);-;-;-;-
2005;August;Kernenergie;12510827;11842732;-;-
2005;August;Wärme;-;-;-;-
2005;August;Strom (Elektrokessel);-;-;-;-
2005;August;Sonstige Energieträger;48873;46776;59211;635521
2005;August;Andere Speicher;-;-;-;-
2005;August;Insgesamt;39137219;36556185;5306940;244225985
2005;September;Steinkohlen;8961966;8236807;1405547;83921523
2005;September;Steinkohlenkoks;-;-;-;-
2005;September;Steinkohlenbriketts;-;-;-;-
2005;September;Kohlenwertstoffe aus Steinkohle;-;-;-;-
2005;September;Sonstige Steinkohlen;-;-;-;-
2005;September;Rohbraunkohlen;11624762;10702399;588098;113397772
2005;September;Hartbraunkohlen;-;-;-;-
2005;September;Braunkohlenbriketts;2879;-;9910;63327
2005;September;Braunkohlenkoks;-;-;-;-
2005;September;Wirbelschichtkohle;15669;13167;9546;202500
2005;September;Staub- und Trockenkohle;52332;47339;39010;649329
2005;September;Sonstige Braunkohlen;14472;13631;1352;131431
2005;September;Dieselkraftstoff;268;219;10;3332
2005;September;Heizöl, leicht;210885;204102;110412;601726
2005;September;Heizöl, schwer;38862;35712;9875;438406
2005;September;Flüssiggas;403;393;982;6802
2005;September;Raffineriegas;-;-;-;-
2005;September;Petrolkoks;163221;150590;7265;1497377
2005;September;Sonstige Mineralölprodukte;17373;15987;751;176106
2005;September;Erdgas, Erdölgas;3652299;3521347;2711181;37072593
2005;September;Grubengas;41245;37539;10698;386797
2005;September;Kokereigas;8062;7220;-;73563
2005;September;Hochofengas;228691;215911;3403;2193164
2005;September;Sonstige hergestellte Gase;22050;20417;55773;323869
2005;September;Wasserstoff;-;-;-;-
2005;September;Laufwasser;1214161;1191502;-;-
2005;September;Speicherwasser;55750;55159;-;-
2005;September;Pumpspeicherwasser;557499;547704;-;-
2005;September;Pumpspeicher mit natürlichem Zufluss;-;-;-;-
2005;September;Pumpspeicher ohne natürlichen Zufluss;-;-;-;-
2005;September;Windkraft;16363;16000;-;-
2005;September;Photovoltaik;394;388;-;-
2005;September;Geothermie;-;-;1237;-
2005;September;Wärmepumpen (Erd- und Umweltwärme);-;-;-;-
2005;September;Solarthermie;-;-;-;-
2005;September;Feste biogene Stoffe;118886;109964;75892;1756483
2005;September;Flüssige biogene Stoffe;3537;3334;1076;31547
2005;September;Biogas;1356;1270;1929;20125
2005;September;Biomethan (Bioerdgas);-;-;-;-
2005;September;Klärgas;1701;1645;1958;18091
2005;September;Deponiegas;17760;17417;6263;148324
2005;September;Sonstige erneuerbare Energien;45030;41848;401;413960
2005;September;Klärschlamm;12423;11302;678;232598
2005;September;Abfall (Hausmüll, Industrie);604326;461048;613841;11331278
2005;September;Abfall (Industrie);-;-;-;-
2005;September;Abfall (Hausmüll, Siedlungsabfälle);-;-;-;-
2005;September;Kernenergie;13022359;12328712;-;-
2005;September;Wärme;-;-;-;-
2005;September;Strom (Elektrokessel);-;-;-;-
2005;September;Sonstige Energieträger;53566;49397;67895;663615
2005;September;Andere Speicher;-;-;-;-
2005;September;Insgesamt;40780549;38061973;5734982;255755639
2005;Oktober;Steinkohlen;9972511;9168319;2357050;94158005
2005;Oktober;Steinkohlenkoks;-;-;-;-
2005;Oktober;Steinkohlenbriketts;-;-;-;-
2005;Oktober;Kohlenwertstoffe aus Steinkohle;-;-;-;-
2005;Oktober;Sonstige Steinkohlen;-;-;-;-
2005;Oktober;Rohbraunkohlen;12673203;11694681;707207;123273068
2005;Oktober;Hartbraunkohlen;-;-;-;-
2005;Oktober;Braunkohlenbriketts;5378;4696;17293;111831
2005;Oktober;Braunkohlenkoks;-;-;-;-
2005;Oktober;Wirbelschichtkohle;41090;35227;18513;506322
2005;Oktober;Staub- und Trockenkohle;56354;51282;74213;736489
2005;Oktober;Sonstige Braunkohlen;23378;22166;2219;212493
2005;Oktober;Dieselkraftstoff;406;350;-;4251
2005;Oktober;Heizöl, leicht;40752;35781;39035;639937
2005;Oktober;Heizöl, schwer;34489;31851;5219;340053
2005;Oktober;Flüssiggas;-;-;-;-
2005;Oktober;Raffineriegas;-;-;-;-
2005;Oktober;Petrolkoks;202557;187300;14760;1833242
2005;Oktober;Sonstige Mineralölprodukte;26304;24487;1422;248998
2005;Oktober;Erdgas, Erdölgas;4092292;3959112;3639561;39670893
2005;Oktober;Grubengas;41894;38831;10702;404397
2005;Oktober;Kokereigas;3611;3309;-;34473
2005;Oktober;Hochofengas;256075;238683;3911;2412819
2005;Oktober;Sonstige hergestellte Gase;16499;15450;47044;252831
2005;Oktober;Wasserstoff;-;-;-;-
2005;Oktober;Laufwasser;1076378;1056337;-;-
2005;Oktober;Speicherwasser;47714;47199;-;-
2005;Oktober;Pumpspeicherwasser;591988;581261;-;-
2005;Oktober;Pumpspeicher mit natürlichem Zufluss;-;-;-;-
2005;Oktober;Pumpspeicher ohne natürlichen Zufluss;-;-;-;-
2005;Oktober;Windkraft;29525;29354;-;-
2005;Oktober;Photovoltaik;337;330;-;-
2005;Oktober;Geothermie;-;-;2269;-
2005;Oktober;Wärmepumpen (Erd- und Umweltwärme);-;-;-;-
2005;Oktober;Solarthermie;-;-;-;-
2005;Oktober;Feste biogene Stoffe;127942;120930;88550;2061536
2005;Oktober;Flüssige biogene Stoffe;3667;3468;1556;32768
2005;Oktober;Biogas;1561;1451;2322;22701
2005;Oktober;Biomethan (Bioerdgas);-;-;-;-
2005;Oktober;Klärgas;1768;1702;2105;18836
2005;Oktober;Deponiegas;16136;15534;11197;138129
2005;Oktober;Sonstige erneuerbare Energien;47284;43821;1168;438920
2005;Oktober;Klärschlamm;14324;13062;649;153886
2005;Oktober;Abfall (Hausmüll, Industrie);566531;427207;672476;10788450
2005;Oktober;Abfall (Industrie);-;-;-;-
2005;Oktober;Abfall (Hausmüll, Siedlungsabfälle);-;-;-;-
2005;Oktober;Kernenergie;14217736;13483932;-;-
2005;Oktober;Wärme;-;-;-;-
2005;Oktober;Strom (Elektrokessel);-;-;-;-
2005;Oktober;Sonstige Energieträger;54031;49136;79957;620537
2005;Oktober;Andere Speicher;-;-;-;-
2005;Oktober;Insgesamt;44283717;41386248;7800398;279115864
2005;November;Steinkohlen;11686277;10766588;3598001;110791356
2005;November;Steinkohlenkoks;-;-;-;-
2005;November;Steinkohlenbriketts;-;-;-;-
2005;November;Kohlenwertstoffe aus Steinkohle;-;-;-;-
2005;November;Sonstige Steinkohlen;-;-;-;-
2005;November;Rohbraunkohlen;13236760;12197389;1042098;128706933
2005;November;Hartbraunkohlen;-;-;-;-
2005;November;Braunkohlenbriketts;3613;3134;15639;94543
2005;November;Braunkohlenkoks;-;-;-;-
2005;November;Wirbelschichtkohle;37152;31220;36962;523242
2005;November;Staub- und Trockenkohle;54731;49672;109137;768272
2005;November;Sonstige Braunkohlen;27052;25731;3501;242837
2005;November;Dieselkraftstoff;2956;2903;-;28898
2005;November;Heizöl, leicht;95520;90212;54100;1518803
2005;November;Heizöl, schwer;46757;43359;8552;472176
2005;November;Flüssiggas;-;-;-;-
2005;November;Raffineriegas;-;-;-;-
2005;November;Petrolkoks;190412;175482;23328;1816784
2005;November;Sonstige Mineralölprodukte;133883;122687;5377;1201557
2005;November;Erdgas, Erdölgas;5805478;5621068;5378497;57464616
2005;November;Grubengas;19187;17733;10444;176046
2005;November;Kokereigas;4045;3555;-;34246
2005;November;Hochofengas;215711;203025;4443;2098738
2005;November;Sonstige hergestellte Gase;25390;23797;69779;390452
2005;November;Wasserstoff;-;-;-;-
2005;November;Laufwasser;783577;767565;-;-
2005;November;Speicherwasser;29305;28800;-;-
2005;November;Pumpspeicherwasser;619345;610760;-;-
2005;November;Pumpspeicher mit natürlichem Zufluss;-;-;-;-
2005;November;Pumpspeicher ohne natürlichen Zufluss;-;-;-;-
2005;November;Windkraft;28112;27725;-;-
2005;November;Photovoltaik;249;240;-;-
2005;November;Geothermie;-;-;3127;-
2005;November;Wärmepumpen (Erd- und Umweltwärme);-;-;-;-
2005;November;Solarthermie;-;-;-;-
2005;November;Feste biogene Stoffe;266929;260491;126627;1944338
2005;November;Flüssige biogene Stoffe;3455;3267;2230;30869
2005;November;Biogas;1523;1433;2114;21384
2005;November;Biomethan (Bioerdgas);-;-;-;-
2005;November;Klärgas;2111;2015;2402;21862
2005;November;Deponiegas;16641;16178;11981;142014
2005;November;Sonstige erneuerbare Energien;57289;52818;3698;528932
2005;November;Klärschlamm;15913;14481;1105;198019
2005;November;Abfall (Hausmüll, Industrie);557420;417386;891057;12009436
2005;November;Abfall (Industrie);-;-;-;-
2005;November;Abfall (Hausmüll, Siedlungsabfälle);-;-;-;-
2005;November;Kernenergie;13449231;12751919;-;-
2005;November;Wärme;-;-;-;-
2005;November;Strom (Elektrokessel);-;-;-;-
2005;November;Sonstige Energieträger;55420;51295;86580;655597
2005;November;Andere Speicher;-;-;-;-
2005;November;Insgesamt;47471443;44383928;11490778;321881950
2005;Dezember;Steinkohlen;12105737;11142512;4594514;116568689
2005;Dezember;Steinkohlenkoks;-;-;-;-
2005;Dezember;Steinkohlenbriketts;-;-;-;-
2005;Dezember;Kohlenwertstoffe aus Steinkohle;-;-;-;-
2005;Dezember;Sonstige Steinkohlen;-;-;-;-
2005;Dezember;Rohbraunkohlen;13466829;12399253;1210567;134067181
2005;Dezember;Hartbraunkohlen;-;-;-;-
2005;Dezember;Braunkohlenbriketts;8942;8010;17175;186841
2005;Dezember;Braunkohlenkoks;-;-;-;-
2005;Dezember;Wirbelschichtkohle;28121;22644;35283;397117
2005;Dezember;Staub- und Trockenkohle;51373;48650;131248;822482
2005;Dezember;Sonstige Braunkohlen;26438;25199;4092;239659
2005;Dezember;Dieselkraftstoff;2479;2422;-;25281
2005;Dezember;Heizöl, leicht;71208;66644;86559;939633
2005;Dezember;Heizöl, schwer;53080;49318;10953;521191
2005;Dezember;Flüssiggas;-;-;-;-
2005;Dezember;Raffineriegas;-;-;-;-
2005;Dezember;Petrolkoks;171180;157872;36564;1563175
2005;Dezember;Sonstige Mineralölprodukte;128259;117591;5195;1156079
2005;Dezember;Erdgas, Erdölgas;6096782;5892630;6695886;62806683
2005;Dezember;Grubengas;39191;34964;9171;379200
2005;Dezember;Kokereigas;517;450;-;5014
2005;Dezember;Hochofengas;251296;234473;2548;2110690
