date,LR,NN,LASSO,Ridge,OekoInstitue
2018-01,12.953806123317522,12.800821,12.956541231851595,13.007830302241267,12.400805397
2018-02,12.758546237313308,12.620186,12.763309545200293,12.806142350179657,12.9644783695
2018-03,13.837298249863432,13.654676,13.83382499028141,13.864470241981119,13.8099878284
2018-04,13.809535215381612,13.651155,13.808909783052929,13.808807922975888,14.5145790442
2018-05,14.223359960875895,14.066891,14.222081765607268,14.196318440453458,14.7964155305
2018-06,14.414575231160695,14.237059,14.409589382208667,14.382777300095585,14.9373337736
2018-07,14.902242087765753,14.724207,14.897774314685805,14.882783725008327,14.2327425579
2018-08,14.556659604668857,14.409109,14.55728756671678,14.536134155334576,14.373660801
2018-09,14.530760388957328,14.377022,14.529854629747316,14.48707095612533,14.9373337736
2018-10,14.816399091606865,14.6279335,14.809108041741375,14.758833441763967,14.7964155305
2018-11,13.722704115489897,13.547993,13.719009688284618,13.714015585112676,14.2327425579
2018-12,12.754173098062802,12.66835,12.767049621859275,12.782538510758286,13.1053966127
2019-01,13.176073569825656,13.020998,13.176831336040761,13.199738164283563,12.5788763802
2019-02,13.060595842235468,12.912552,13.065918248122136,13.095162756084527,13.1506434884
2019-03,13.99469203802579,13.80438,13.982565288584796,14.012468227771407,14.0082941507
2019-04,14.078127153138787,13.903673,14.071055439278513,14.076299349159449,14.7230030359
2019-05,14.4718642216421,14.292274,14.458355821555216,14.431704525081939,15.00888659
2019-06,14.187634357138366,14.057856,14.19883682220222,14.159059667632818,15.1518283671
2019-07,15.008067120138982,14.811386,14.99387718737444,14.992002951247745,14.4371194818
2019-08,14.43500011428446,14.308575,14.4529231487879,14.426125340501365,14.5800612589
2019-09,14.583397279311551,14.421654,14.579926477981951,14.545831575051615,15.1518283671
2019-10,14.728167433071775,14.539726,14.712486859095886,14.690724821547223,15.00888659
2019-11,13.42450872616421,13.252577,13.41972717573884,13.454676543260005,14.4371194818
2019-12,12.735249344211478,12.651304,12.77329945077775,12.788541368229547,13.2935852654
2020-01,12.990476090175328,12.85627,13.004767471035503,13.040183638098428,12.7569473634
2020-02,12.936839680825418,12.790567,12.946882828780897,12.998734600250438,13.3368086072
2020-03,11.406821108638317,11.2270355,11.4001042744437,11.528405972658007,14.2066004729
2020-04,8.401584997495693,8.352516,8.55918910095976,8.63998224692937,14.9314270277
2020-05,9.455883808977159,9.318432,9.524357832550512,9.757298245665009,15.2213576496
2020-06,10.129719655042315,9.928791,10.137448149795274,10.47031260115103,15.3663229605
