GENESIS-Tabelle: 43411-0001
Nettowärmeerzeugung, Brennstoffeinsatz, -bezug, -bestand:;;;;;
Deutschland, Jahre, Energieträger;;;;;
Erhebung über Erzeugung und Verwendung von Wärme;;;;;
Deutschland;;;;;
;;Nettowärmeerzeugung;Brennstoffeinsatz;Brennstoffbezug;Brennstoffbestand
2016;Flüssige biogene Stoffe;-;-;-;-
2016;Biogas;697667;4262543;4262543;-
2016;Klärgas;.;.;.;-
2016;Deponiegas;.;.;.;-
2016;Sonstige erneuerbare Energien;.;.;.;-
2016;Klärschlamm;-;-;-;-
2016;Abfall (Hausmüll, Industrie);-;-;-;-
2016;Abfall (Industrie);.;.;.;.
2016;Abfall (Hausmüll, Siedlungsabfälle);.;.;.;.
2016;Kernenergie;x;x;x;x
2016;Wärme;.;.;.;-
2016;Sonstige Energieträger;.;.;.;-
2017;Steinkohlen;.;.;.;.
2017;Steinkohlenkoks;.;.;.;-
2017;Steinkohlenbriketts;-;-;-;-
2017;Kohlenwertstoffe aus Steinkohle;.;.;.;.
2017;Sonstige Steinkohlen;-;-;-;-
2017;Rohbraunkohlen;-;-;-;-
2017;Hartbraunkohlen;-;-;-;-
2017;Braunkohlenbriketts;-;-;-;-
2017;Braunkohlenkoks;-;-;-;-
2017;Wirbelschichtkohle;-;-;-;-
2017;Staub- und Trockenkohle;319501;1313200;1310780;12613
2017;Sonstige Braunkohlen;-;-;-;-
2017;Dieselkraftstoff;-;-;-;-
2017;Heizöl, leicht;576081;2426714;2504734;4192138
2017;Heizöl, schwer;.;.;.;.
2017;Flüssiggas;.;.;.;.
2017;Raffineriegas;-;-;-;-
2017;Petrolkoks;-;-;-;-
2017;Sonstige Mineralölprodukte;.;.;.;-
2017;Erdgas, Erdölgas;13479938;58667617;58667664;.
2017;Grubengas;.;315867;315867;-
2017;Kokereigas;.;.;.;-
2017;Hochofengas;-;-;-;-
2017;Sonstige hergestellte Gase;.;.;.;-
2017;Geothermie;.;x;x;x
2017;Solarthermie;.;x;x;x
2017;Feste biogene Stoffe;1623632;8048726;8079036;631316
2017;Flüssige biogene Stoffe;.;.;.;-
2017;Biogas;612500;3473978;3473978;-
2017;Klärgas;.;.;.;-
2017;Deponiegas;.;.;.;-
2017;Sonstige erneuerbare Energien;.;.;.;-
2017;Klärschlamm;-;-;-;-
2017;Abfall (Hausmüll, Industrie);-;-;-;-
2017;Abfall (Industrie);.;.;.;.
2017;Abfall (Hausmüll, Siedlungsabfälle);.;.;.;.
2017;Kernenergie;x;x;x;x
2017;Wärme;.;.;.;-
2017;Sonstige Energieträger;.;.;.;-
__________
© Statistisches Bundesamt (Destatis), 2020
Stand: 22.06.2020 / 18:23:44
