GENESIS-Tabelle: 43411-0001
Nettowärmeerzeugung, Brennstoffeinsatz, -bezug, -bestand:;;;;;
Deutschland, Jahre, Energieträger;;;;;
Erhebung über Erzeugung und Verwendung von Wärme;;;;;
Deutschland;;;;;
;;Nettowärmeerzeugung;Brennstoffeinsatz;Brennstoffbezug;Brennstoffbestand
2005;Heizöl, leicht;1503759;6682924;5777627;2569776
2005;Heizöl, schwer;.;.;.;.
2005;Flüssiggas;4414;18293;0;0
2005;Raffineriegas;0;0;0;0
2005;Petrolkoks;0;0;0;0
2005;Sonstige Mineralölprodukte;0;0;18192;11413
2005;Erdgas, Erdölgas;20596999;98846083;0;0
2005;Grubengas;.;.;0;0
2005;Kokereigas;0;0;0;0
2005;Hochofengas;0;0;0;0
2005;Sonstige hergestellte Gase;.;.;0;0
2005;Geothermie;.;x;x;x
2005;Solarthermie;0;x;x;x
2005;Feste biogene Stoffe;942507;6753015;0;0
2005;Flüssige biogene Stoffe;.;.;0;0
2005;Biogas;.;.;0;0
2005;Klärgas;4930;37316;0;0
2005;Deponiegas;59491;231457;0;0
2005;Sonstige erneuerbare Energien;.;0;0;0
2005;Klärschlamm;.;.;0;0
2005;Abfall (Hausmüll, Industrie);415363;2359646;0;0
2005;Abfall (Industrie);0;0;0;0
2005;Abfall (Hausmüll, Siedlungsabfälle);0;0;0;0
2005;Kernenergie;x;x;x;x
2005;Wärme;0;0;0;0
2005;Sonstige Energieträger;251864;1976029;0;0
2006;Steinkohlen;726315;4437900;4365862;40663
2006;Steinkohlenkoks;.;.;0;.
2006;Steinkohlenbriketts;0;0;0;0
2006;Kohlenwertstoffe aus Steinkohle;0;0;0;0
2006;Sonstige Steinkohlen;.;.;.;.
2006;Rohbraunkohlen;.;.;.;0
2006;Hartbraunkohlen;0;0;0;0
2006;Braunkohlenbriketts;0;0;0;0
2006;Braunkohlenkoks;0;0;0;0
2006;Wirbelschichtkohle;0;0;0;0
2006;Staub- und Trockenkohle;172115;725884;727399;5082
2006;Sonstige Braunkohlen;0;0;0;0
2006;Dieselkraftstoff;.;.;.;.
2006;Heizöl, leicht;1452059;6656489;6123749;2508362
2006;Heizöl, schwer;.;.;.;0
2006;Flüssiggas;6482;31381;0;0
2006;Raffineriegas;0;0;0;0
2006;Petrolkoks;0;0;0;0
2006;Sonstige Mineralölprodukte;0;0;29909;11691
2006;Erdgas, Erdölgas;18177888;86111115;0;0
2006;Grubengas;42281;202546;0;0
2006;Kokereigas;0;0;0;0
2006;Hochofengas;0;0;0;0
2006;Sonstige hergestellte Gase;.;.;0;0
2006;Geothermie;.;x;x;x
2006;Solarthermie;0;x;x;x
2006;Feste biogene Stoffe;952457;6919769;0;0
2006;Flüssige biogene Stoffe;3159;14352;0;0
2006;Biogas;28122;270166;0;0
2006;Klärgas;10315;54139;0;0
2006;Deponiegas;13443;87709;0;0
2006;Sonstige erneuerbare Energien;49461;176597;0;0
