;;;Originalwerte
Hotels, Gasthöfe und Pensionen;2017;Dezember;99,2
Hotels, Gasthöfe und Pensionen;2018;Januar;81,1
Hotels, Gasthöfe und Pensionen;2018;Februar;83,1
Hotels, Gasthöfe und Pensionen;2018;März;95,4
Hotels, Gasthöfe und Pensionen;2018;April;103,3
Hotels, Gasthöfe und Pensionen;2018;Mai;108,8
Hotels, Gasthöfe und Pensionen;2018;Juni;115,3
Hotels, Gasthöfe und Pensionen;2018;Juli;113,7
Hotels, Gasthöfe und Pensionen;2018;August;113,4
Hotels, Gasthöfe und Pensionen;2018;September;127,7
Hotels, Gasthöfe und Pensionen;2018;Oktober;117,2
Hotels, Gasthöfe und Pensionen;2018;November;100,5
Hotels, Gasthöfe und Pensionen;2018;Dezember;99
Hotels, Gasthöfe und Pensionen;2019;Januar;82,9
Hotels, Gasthöfe und Pensionen;2019;Februar;85,6
Hotels, Gasthöfe und Pensionen;2019;März;99,7
Hotels, Gasthöfe und Pensionen;2019;April;101,2
Hotels, Gasthöfe und Pensionen;2019;Mai;112,9
Hotels, Gasthöfe und Pensionen;2019;Juni;114,6
Hotels, Gasthöfe und Pensionen;2019;Juli;112,5
Hotels, Gasthöfe und Pensionen;2019;August;112,1
Hotels, Gasthöfe und Pensionen;2019;September;123,6
Hotels, Gasthöfe und Pensionen;2019;Oktober;118,2
Hotels, Gasthöfe und Pensionen;2019;November;103,3
Hotels, Gasthöfe und Pensionen;2019;Dezember;99
Hotels, Gasthöfe und Pensionen;2020;Januar;81,3
Hotels, Gasthöfe und Pensionen;2020;Februar;86,3
Hotels, Gasthöfe und Pensionen;2020;März;48
Hotels, Gasthöfe und Pensionen;2020;April;10
Hotels, Gasthöfe und Pensionen;2020;Mai;...
Hotels, Gasthöfe und Pensionen;2020;Juni;...
Hotels, Gasthöfe und Pensionen;2020;Juli;...
Hotels, Gasthöfe und Pensionen;2020;August;...
Hotels, Gasthöfe und Pensionen;2020;September;...
Hotels, Gasthöfe und Pensionen;2020;Oktober;...
Hotels, Gasthöfe und Pensionen;2020;November;...
Hotels, Gasthöfe und Pensionen;2020;Dezember;...
Gastronomie;1994;Januar;152,3
Gastronomie;1994;Februar;147,6
Gastronomie;1994;März;166
Gastronomie;1994;April;168,1
Gastronomie;1994;Mai;182,6
Gastronomie;1994;Juni;175,8
Gastronomie;1994;Juli;180,5
Gastronomie;1994;August;178,8
Gastronomie;1994;September;178,2
Gastronomie;1994;Oktober;176,7
Gastronomie;1994;November;164,4
Gastronomie;1994;Dezember;180,8
Gastronomie;1995;Januar;146,9
Gastronomie;1995;Februar;149,1
Gastronomie;1995;März;161,9
Gastronomie;1995;April;167,7
Gastronomie;1995;Mai;181,1
Gastronomie;1995;Juni;176,7
Gastronomie;1995;Juli;177,9
Gastronomie;1995;August;176,1
Gastronomie;1995;September;174,8
Gastronomie;1995;Oktober;174
Gastronomie;1995;November;159,8
Gastronomie;1995;Dezember;173,9
Gastronomie;1996;Januar;143,1
Gastronomie;1996;Februar;144,1
Gastronomie;1996;März;161,7
Gastronomie;1996;April;163,6
Gastronomie;1996;Mai;174,1
Gastronomie;1996;Juni;167,1
Gastronomie;1996;Juli;171,1
Gastronomie;1996;August;172
Gastronomie;1996;September;165,8
Gastronomie;1996;Oktober;168,1
Gastronomie;1996;November;153,6
Gastronomie;1996;Dezember;166,1
Gastronomie;1997;Januar;138,6
Gastronomie;1997;Februar;138,3
Gastronomie;1997;März;156,9
Gastronomie;1997;April;155,9
Gastronomie;1997;Mai;172,9
Gastronomie;1997;Juni;163,7
Gastronomie;1997;Juli;168,1
Gastronomie;1997;August;169,3
Gastronomie;1997;September;165,8
Gastronomie;1997;Oktober;163
Gastronomie;1997;November;151,1
Gastronomie;1997;Dezember;164,6
Gastronomie;1998;Januar;140,5
Gastronomie;1998;Februar;137
Gastronomie;1998;März;150,2
Gastronomie;1998;April;151,6
Gastronomie;1998;Mai;166,1
Gastronomie;1998;Juni;154,2
Gastronomie;1998;Juli;160,4
Gastronomie;1998;August;161
Gastronomie;1998;September;155,3
Gastronomie;1998;Oktober;155,1
Gastronomie;1998;November;144,1
Gastronomie;1998;Dezember;160,2
Gastronomie;1999;Januar;135,6
Gastronomie;1999;Februar;130,2
Gastronomie;1999;März;144,7
Gastronomie;1999;April;148,5
Gastronomie;1999;Mai;161,9
Gastronomie;1999;Juni;152,7
Gastronomie;1999;Juli;161,7
Gastronomie;1999;August;157,2
Gastronomie;1999;September;157,1
Gastronomie;1999;Oktober;155
Gastronomie;1999;November;143
Gastronomie;1999;Dezember;157,6
Gastronomie;2000;Januar;131,3
Gastronomie;2000;Februar;130,9
Gastronomie;2000;März;142,3
Gastronomie;2000;April;147,4
Gastronomie;2000;Mai;156,4
Gastronomie;2000;Juni;155,7
Gastronomie;2000;Juli;154,9
Gastronomie;2000;August;153,2
Gastronomie;2000;September;153,5
Gastronomie;2000;Oktober;149,7
Gastronomie;2000;November;136,9
Gastronomie;2000;Dezember;153,6
Gastronomie;2001;Januar;128,2
Gastronomie;2001;Februar;126,7
Gastronomie;2001;März;140,7
Gastronomie;2001;April;142,9
Gastronomie;2001;Mai;155,7
Gastronomie;2001;Juni;152,6
Gastronomie;2001;Juli;155,9
Gastronomie;2001;August;154,7
Gastronomie;2001;September;147,5
Gastronomie;2001;Oktober;150,2
Gastronomie;2001;November;138,5
Gastronomie;2001;Dezember;153
Gastronomie;2002;Januar;121,5
Gastronomie;2002;Februar;118,1
Gastronomie;2002;März;134,4
Gastronomie;2002;April;133,6
Gastronomie;2002;Mai;142,9
Gastronomie;2002;Juni;137,4
Gastronomie;2002;Juli;138,7
Gastronomie;2002;August;139,5
Gastronomie;2002;September;135,4
Gastronomie;2002;Oktober;131,3
Gastronomie;2002;November;121,4
Gastronomie;2002;Dezember;132,8
Gastronomie;2003;Januar;112,1
Gastronomie;2003;Februar;110,1
Gastronomie;2003;März;122,9
Gastronomie;2003;April;122,8
Gastronomie;2003;Mai;133,4
Gastronomie;2003;Juni;130,3
Gastronomie;2003;Juli;132,3
Gastronomie;2003;August;133,1
Gastronomie;2003;September;129,3
Gastronomie;2003;Oktober;126,8
Gastronomie;2003;November;117,8
Gastronomie;2003;Dezember;129,3
Gastronomie;2004;Januar;107,8
Gastronomie;2004;Februar;108,1
Gastronomie;2004;März;114,8
Gastronomie;2004;April;120
Gastronomie;2004;Mai;128,1
Gastronomie;2004;Juni;120,8
Gastronomie;2004;Juli;127,2
Gastronomie;2004;August;125,2
Gastronomie;2004;September;123,6
Gastronomie;2004;Oktober;123,1
Gastronomie;2004;November;112,6
Gastronomie;2004;Dezember;125,2
Gastronomie;2005;Januar;104,5
Gastronomie;2005;Februar;99,8
Gastronomie;2005;März;112,1
Gastronomie;2005;April;116
Gastronomie;2005;Mai;122,9
Gastronomie;2005;Juni;120
Gastronomie;2005;Juli;125,4
Gastronomie;2005;August;122,3
Gastronomie;2005;September;123,3
Gastronomie;2005;Oktober;120,8
Gastronomie;2005;November;108,8
Gastronomie;2005;Dezember;123,8
Gastronomie;2006;Januar;101,3
Gastronomie;2006;Februar;98,7
Gastronomie;2006;März;107,6
Gastronomie;2006;April;114,6
Gastronomie;2006;Mai;120,7
Gastronomie;2006;Juni;119,4
Gastronomie;2006;Juli;124,2
Gastronomie;2006;August;119,4
Gastronomie;2006;September;123,6
Gastronomie;2006;Oktober;118,6
Gastronomie;2006;November;108,8
Gastronomie;2006;Dezember;124,6
Gastronomie;2007;Januar;98,9
Gastronomie;2007;Februar;98
Gastronomie;2007;März;110,6
Gastronomie;2007;April;114,2
Gastronomie;2007;Mai;118,5
Gastronomie;2007;Juni;117,3
Gastronomie;2007;Juli;119,2
Gastronomie;2007;August;118,2
Gastronomie;2007;September;116,4
Gastronomie;2007;Oktober;115,6
Gastronomie;2007;November;107,6
Gastronomie;2007;Dezember;120,1
Gastronomie;2008;Januar;96,4
Gastronomie;2008;Februar;99,1
Gastronomie;2008;März;104,9
Gastronomie;2008;April;107
Gastronomie;2008;Mai;118,1
Gastronomie;2008;Juni;112,2
Gastronomie;2008;Juli;115,6
Gastronomie;2008;August;116,6
Gastronomie;2008;September;111,7
Gastronomie;2008;Oktober;111,7
Gastronomie;2008;November;103,8
Gastronomie;2008;Dezember;113,8
Gastronomie;2009;Januar;88,3
Gastronomie;2009;Februar;86,2
Gastronomie;2009;März;95,3
Gastronomie;2009;April;102
Gastronomie;2009;Mai;110,7
Gastronomie;2009;Juni;104,7
Gastronomie;2009;Juli;110,6
Gastronomie;2009;August;111,4
Gastronomie;2009;September;105,2
Gastronomie;2009;Oktober;103,2
Gastronomie;2009;November;94,7
Gastronomie;2009;Dezember;106,5
Gastronomie;2010;Januar;83,6
Gastronomie;2010;Februar;83,7
Gastronomie;2010;März;95,1
Gastronomie;2010;April;98,2
Gastronomie;2010;Mai;104
Gastronomie;2010;Juni;102,7
Gastronomie;2010;Juli;109,5
Gastronomie;2010;August;106,8
Gastronomie;2010;September;105,4
Gastronomie;2010;Oktober;105,7
Gastronomie;2010;November;95,6
Gastronomie;2010;Dezember;103
Gastronomie;2011;Januar;86,9
Gastronomie;2011;Februar;84,9
Gastronomie;2011;März;97,1
Gastronomie;2011;April;101,5
Gastronomie;2011;Mai;106,7
Gastronomie;2011;Juni;105,6
Gastronomie;2011;Juli;110,4
Gastronomie;2011;August;106,1
Gastronomie;2011;September;108,2
Gastronomie;2011;Oktober;106,3
Gastronomie;2011;November;97,7
Gastronomie;2011;Dezember;108,7
Gastronomie;2012;Januar;86,4
Gastronomie;2012;Februar;86
Gastronomie;2012;März;98,2
Gastronomie;2012;April;98
Gastronomie;2012;Mai;106,6
Gastronomie;2012;Juni;103,5
Gastronomie;2012;Juli;106,9
Gastronomie;2012;August;107,1
Gastronomie;2012;September;107,2
Gastronomie;2012;Oktober;102,9
Gastronomie;2012;November;96,8
Gastronomie;2012;Dezember;108,1
Gastronomie;2013;Januar;84
Gastronomie;2013;Februar;82,5
Gastronomie;2013;März;95,6
Gastronomie;2013;April;96
Gastronomie;2013;Mai;104
Gastronomie;2013;Juni;103,9
Gastronomie;2013;Juli;107
Gastronomie;2013;August;106,6
Gastronomie;2013;September;104,9
Gastronomie;2013;Oktober;102,3
Gastronomie;2013;November;96,7
Gastronomie;2013;Dezember;105,9
Gastronomie;2014;Januar;85,5
Gastronomie;2014;Februar;84,7
Gastronomie;2014;März;96,4
Gastronomie;2014;April;95,2
Gastronomie;2014;Mai;105,2
Gastronomie;2014;Juni;101,8
Gastronomie;2014;Juli;106,3
Gastronomie;2014;August;107,3
Gastronomie;2014;September;104,5
Gastronomie;2014;Oktober;104,4
Gastronomie;2014;November;97,1
Gastronomie;2014;Dezember;107,6
Gastronomie;2015;Januar;85,1
Gastronomie;2015;Februar;83,6
Gastronomie;2015;März;92,9
Gastronomie;2015;April;96,6
Gastronomie;2015;Mai;106,3
Gastronomie;2015;Juni;104,2
Gastronomie;2015;Juli;109,1
Gastronomie;2015;August;109
Gastronomie;2015;September;104,6
Gastronomie;2015;Oktober;104,4
Gastronomie;2015;November;95,9
Gastronomie;2015;Dezember;108,4
Gastronomie;2016;Januar;85,3
Gastronomie;2016;Februar;85,7
Gastronomie;2016;März;93,6
Gastronomie;2016;April;98,5
Gastronomie;2016;Mai;104,9
Gastronomie;2016;Juni;102,8
Gastronomie;2016;Juli;110,2
Gastronomie;2016;August;106,4
Gastronomie;2016;September;108,6
Gastronomie;2016;Oktober;103,8
Gastronomie;2016;November;94,4
Gastronomie;2016;Dezember;107,6
Gastronomie;2017;Januar;85
Gastronomie;2017;Februar;85,7
Gastronomie;2017;März;98,2
Gastronomie;2017;April;100,5
Gastronomie;2017;Mai;106,6
Gastronomie;2017;Juni;107,9
Gastronomie;2017;Juli;111,5
Gastronomie;2017;August;107,9
Gastronomie;2017;September;108,9
Gastronomie;2017;Oktober;105,8
Gastronomie;2017;November;96,5
Gastronomie;2017;Dezember;110,2
Gastronomie;2018;Januar;87,9
Gastronomie;2018;Februar;85,7
Gastronomie;2018;März;97,1
Gastronomie;2018;April;102,4
Gastronomie;2018;Mai;107,8
Gastronomie;2018;Juni;108,4
Gastronomie;2018;Juli;111,2
Gastronomie;2018;August;110,1
Gastronomie;2018;September;109,6
Gastronomie;2018;Oktober;106,6
Gastronomie;2018;November;101,1
Gastronomie;2018;Dezember;112,6
Gastronomie;2019;Januar;88,2
Gastronomie;2019;Februar;90,5
Gastronomie;2019;März;100,8
Gastronomie;2019;April;101,6
Gastronomie;2019;Mai;108
Gastronomie;2019;Juni;109,9
Gastronomie;2019;Juli;110,6
Gastronomie;2019;August;112
Gastronomie;2019;September;108,7
Gastronomie;2019;Oktober;106,4
Gastronomie;2019;November;102,4
Gastronomie;2019;Dezember;111,1
Gastronomie;2020;Januar;91
Gastronomie;2020;Februar;91,4
Gastronomie;2020;März;58
Gastronomie;2020;April;32
Gastronomie;2020;Mai;...
Gastronomie;2020;Juni;...
Gastronomie;2020;Juli;...
Gastronomie;2020;August;...
Gastronomie;2020;September;...
Gastronomie;2020;Oktober;...
Gastronomie;2020;November;...
Gastronomie;2020;Dezember;...
