;;;Arbeitslose;Arbeitslosenquote aller zivilen Erwerbspersonen;Arbeitslosenquote d. abhängigen ziv. Erwerbspers.;Gemeldete Arbeitsstellen;Kurzarbeiter;Kurzarbeitende Betriebe
Insgesamt;2012;Juli;2875971;6,8;7,5;499847;53995;4408
Insgesamt;2012;August;2905113;6,8;7,6;493380;47141;3846
Insgesamt;2012;September;2788249;6,5;7,3;484507;65796;4070
Insgesamt;2012;Oktober;2753361;6,5;7,2;468074;84662;4484
Insgesamt;2012;November;2751485;6,5;7,2;450605;97845;5167
Insgesamt;2012;Dezember;2839824;6,7;7,5;420537;358556;33974
Insgesamt;2013;Januar;3138232;7,4;8,2;420012;486880;49160
Insgesamt;2013;Februar;3156246;7,4;8,3;448442;495354;51665
Insgesamt;2013;März;3097817;7,3;8,1;462660;430116;49906
Insgesamt;2013;April;3020275;7,1;7,9;460197;113342;8042
Insgesamt;2013;Mai;2936915;6,8;7,6;457010;86447;6611
Insgesamt;2013;Juni;2864666;6,6;7,4;458732;98672;8105
Insgesamt;2013;Juli;2914096;6,8;7,6;468686;81001;6368
Insgesamt;2013;August;2945710;6,8;7,6;470938;60167;5284
Insgesamt;2013;September;2848950;6,6;7,4;472550;69565;5220
Insgesamt;2013;Oktober;2801191;6,5;7,3;466033;82594;5203
Insgesamt;2013;November;2806146;6,5;7,3;457996;80161;5412
Insgesamt;2013;Dezember;2873806;6,7;7,5;440443;205840;21620
Insgesamt;2014;Januar;3135802;7,3;8,1;425198;353525;36215
Insgesamt;2014;Februar;3137867;7,3;8,1;456229;354593;35350
Insgesamt;2014;März;3054722;7,1;7,9;475714;202319;24975
Insgesamt;2014;April;2943335;6,8;7,6;485334;77190;5673
Insgesamt;2014;Mai;2882029;6,6;7,4;481436;72090;5308
Insgesamt;2014;Juni;2832780;6,5;7,3;494628;66211;4730
Insgesamt;2014;Juli;2871351;6,6;7,4;501968;53731;4343
Insgesamt;2014;August;2901823;6,7;7,5;515092;44366;3666
Insgesamt;2014;September;2807806;6,5;7,2;518317;50648;3915
Insgesamt;2014;Oktober;2732769;6,3;7;517432;61119;4159
Insgesamt;2014;November;2716852;6,3;7;514599;63391;4490
Insgesamt;2014;Dezember;2763521;6,4;7,1;497768;204062;25511
Insgesamt;2015;Januar;3031604;7;7,8;485172;326560;40436
Insgesamt;2015;Februar;3017003;6,9;7,8;518890;351530;43925
Insgesamt;2015;März;2931505;6,8;7,6;542049;251213;33424
Insgesamt;2015;April;2842844;6,5;7,3;551595;66744;4866
Insgesamt;2015;Mai;2761696;6,3;7;556784;57367;4359
Insgesamt;2015;Juni;2711187;6,2;6,9;572200;58710;4281
Insgesamt;2015;Juli;2772642;6,3;7;588677;48825;3819
Insgesamt;2015;August;2795597;6,4;7,1;596542;39833;3240
Insgesamt;2015;September;2708043;6,2;6,9;599573;51484;3492
Insgesamt;2015;Oktober;2649277;6;6,7;612236;60536;3714
Insgesamt;2015;November;2633157;6;6,7;610285;65634;4141
Insgesamt;2015;Dezember;2681415;6,1;6,8;590913;177060;22242
Insgesamt;2016;Januar;2920421;6,7;7,4;580844;342648;43720
Insgesamt;2016;Februar;2911165;6,6;7,4;613885;342967;43056
Insgesamt;2016;März;2844891;6,5;7,2;634516;251670;34011
Insgesamt;2016;April;2743864;6,3;7;640131;66726;4404
Insgesamt;2016;Mai;2664014;6;6,7;654788;56664;3908
Insgesamt;2016;Juni;2614217;5,9;6,6;664872;53933;3861
Insgesamt;2016;Juli;2661042;6;6,7;673889;42549;3270
Insgesamt;2016;August;2684289;6,1;6,7;685238;49723;3023
