STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;MO_N;MO_TT;MO_TX;MO_TN;MO_FK;MX_TX;MX_FX;MX_TN;MO_SD_S;QN_6;MO_RR;MX_RS;eor
       5792;20181101;20181130;    3;  5.22;  -4.46;   -1.80;   -6.94;    3.93;   5.5;  33.4; -15.4; 171.05;    9;    19.8;    6.8;eor
       5792;20181201;20181231;    3;  6.24;  -9.60;   -6.97;  -12.09;    4.29;   0.0;  44.0; -18.6;  82.57;    9;   361.7;   42.2;eor
       5792;20190101;20190131;    3;  -999; -14.44;  -11.09;  -16.85;    3.97;  -5.0;  33.9; -22.4; 109.80;    9;   483.5;   65.9;eor
       5792;20190201;20190228;    3;  4.72;  -7.00;   -4.30;   -9.73;    3.79;   4.9;  37.3; -18.6; 189.63;    9;   128.3;   29.4;eor
       5792;20190301;20190331;    3;  5.34;  -8.28;   -5.15;  -11.44;    4.35;   3.8;  40.1; -18.5; 187.23;    9;   219.3;   37.7;eor
       5792;20190401;20190430;    3;  5.22;  -5.35;   -2.41;   -7.77;    3.50;   7.0;  32.9; -13.5; 210.15;    9;   150.0;   25.4;eor
       5792;20190501;20190531;    3;  6.67;  -5.46;   -3.01;   -7.76;    3.10;   3.2;  26.7; -16.0; 122.26;    3;   447.8;   78.5;eor
       5792;20190601;20190630;    3;  3.92;   5.45;    8.68;    2.73;    3.37;  16.2;  29.6;  -1.7; 311.30;    3;    84.6;   21.3;eor
       5792;20190701;20190731;    3;  6.47;   4.32;    6.84;    1.93;    3.00;  15.1;  27.5;  -6.6; 165.12;    3;   146.8;   42.5;eor
       5792;20190801;20190831;    3;  6.04;   4.90;    7.56;    2.38;    3.23;  13.4;  26.5;  -5.7; 186.48;    3;   160.7;   27.5;eor
       5792;20190901;20190930;    3;  5.41;   1.49;    4.14;   -1.14;    3.37;  10.2;  29.1;  -5.3; 178.63;    3;   152.7;   53.9;eor
       5792;20191001;20191031;    3;  5.31;  -0.01;    2.58;   -2.91;    4.32;   9.1;  29.6; -10.8; 163.64;    3;   208.1;   35.7;eor
       5792;20191101;20191130;    3;  6.14;  -6.88;   -4.54;   -8.97;    4.63;   4.8;  38.1; -15.4; 103.15;    3;   156.6;   25.4;eor
       5792;20191201;20191231;    3;  -999;  -7.18;   -4.04;   -9.94;    4.39;   4.5;  35.1; -16.5; 120.08;    3;   220.8;   41.9;eor
       5792;20200101;20200131;    1;  4.12;  -6.51;   -2.99;   -9.53;    4.03;   3.8;  35.5; -18.9; 176.67;    3;   119.3;   27.4;eor
       5792;20200201;20200229;    1;  -999;  -8.40;   -4.82;  -11.80;    5.17;   4.7;  43.8; -18.6; 108.28;    3;   318.7;   58.2;eor
       5792;20200301;20200331;    1;  -999;  -8.92;   -6.02;  -12.09;    3.61;   1.7;  31.7; -18.3; 184.37;    3;   146.7;   47.6;eor
       5792;20200401;20200430;    1;  4.19;  -3.07;   -0.04;   -5.49;    2.90;   4.8;  16.9; -15.1; 239.02;    1;    76.8;   18.8;eor
       5792;20200501;20200531;    1;  6.24;  -2.42;    0.25;   -5.38;    3.19;   8.3;  30.8; -11.7; 172.88;    1;    97.5;   20.9;eor
